"sample","percentage","nreads_clade","nreads_taxon","rank","taxid","name"
"15m",7.06,1154,1154,"-",335992,"                  Candidatus Pelagibacter ubique HTCC1062"
"15m",4.94,808,808,"S",1388755,"                Candidatus Pelagibacter sp. HIMB1321"
"15m",4.88,798,798,"S",1977864,"                Candidatus Pelagibacter sp. RS39"
"15m",1.96,320,320,"S",1977865,"                Candidatus Pelagibacter sp. RS40"
"15m",3.87,633,633,"S",859653,"                alpha proteobacterium HIMB5"
"15m",4.86,905,795,"S",1427364,"              Candidatus Thioglobus singularis"
"15m",17.27,2824,2824,"S",316279,"                  Synechococcus sp. CC9902"
"15m",1.89,309,309,"S",166314,"                  Synechococcus sp. WH 8109"
"15m",1.72,281,281,"S",110662,"                  Synechococcus sp. CC9605"
"15m",1.2,196,196,"S",64471,"                  Synechococcus sp. CC9311"
"15m",4.03,659,659,"-",59919,"                      Prochlorococcus marinus subsp. pastoris str. CCMP1986"
"15m",5.2,850,850,"S",1898749,"                Candidatus Nitrosomarinus catalina"
"15m",1.17,191,191,"S",1493513,"                Synechococcus phage ACG-2014i"
"15m",2.03,332,332,"S",754042,"            Synechococcus phage S-SKS1"
"15m",7.17,1172,1172,"-",880159,"              Bathycoccus sp. RCC1105 virus BpV1"
"50m",4.87,510,510,"-",335992,"                  Candidatus Pelagibacter ubique HTCC1062"
"50m",4.55,476,476,"S",1977864,"                Candidatus Pelagibacter sp. RS39"
"50m",3.81,399,399,"S",1388755,"                Candidatus Pelagibacter sp. HIMB1321"
"50m",1.99,208,208,"S",1977865,"                Candidatus Pelagibacter sp. RS40"
"50m",3.05,319,319,"S",859653,"                alpha proteobacterium HIMB5"
"50m",8.52,1022,891,"S",1427364,"              Candidatus Thioglobus singularis"
"50m",1.25,131,131,"-",1125411,"                Candidatus Thioglobus singularis PS1"
"50m",1.6,1055,167,"S",1219,"                  Prochlorococcus marinus"
"50m",4.47,468,468,"-",74547,"                    Prochlorococcus marinus str. MIT 9313"
"50m",1.52,159,159,"-",167555,"                    Prochlorococcus marinus str. NATL1A"
"50m",1.44,151,151,"-",59920,"                    Prochlorococcus marinus str. NATL2A"
"50m",29.81,3119,3119,"S",1898749,"                Candidatus Nitrosomarinus catalina"
"50m",12.86,1346,1346,"S",1410606,"              Candidatus Nitrosopelagicus brevis"
"50m",1.13,118,118,"S",754042,"            Synechococcus phage S-SKS1"
"50m",2.08,218,218,"-",880159,"              Bathycoccus sp. RCC1105 virus BpV1"
"65m",45.91,7129,7129,"S",1898749,"                Candidatus Nitrosomarinus catalina"
"65m",2.02,313,313,"S",1580092,"                Candidatus Nitrosopumilus adriaticus"
"65m",1.76,274,274,"S",1229909,"                Candidatus Nitrosopumilus sediminis"
"65m",8.58,1332,1332,"S",1410606,"              Candidatus Nitrosopelagicus brevis"
"65m",5.36,833,833,"-",335992,"                  Candidatus Pelagibacter ubique HTCC1062"
"65m",3.52,547,547,"S",1977864,"                Candidatus Pelagibacter sp. RS39"
"65m",3.35,520,520,"S",1388755,"                Candidatus Pelagibacter sp. HIMB1321"
"65m",1.59,247,247,"S",1977865,"                Candidatus Pelagibacter sp. RS40"
"65m",2.58,401,401,"S",859653,"                alpha proteobacterium HIMB5"
"65m",10.77,1908,1672,"S",1427364,"              Candidatus Thioglobus singularis"
"65m",1.52,236,236,"-",1125411,"                Candidatus Thioglobus singularis PS1"
"85m",43.98,8737,8737,"S",1898749,"                Candidatus Nitrosomarinus catalina"
"85m",2.28,453,453,"S",1580092,"                Candidatus Nitrosopumilus adriaticus"
"85m",2.14,425,425,"S",1229909,"                Candidatus Nitrosopumilus sediminis"
"85m",8.35,1659,1659,"S",1410606,"              Candidatus Nitrosopelagicus brevis"
"85m",5.77,1147,1147,"-",335992,"                  Candidatus Pelagibacter ubique HTCC1062"
"85m",4.02,799,799,"S",1388755,"                Candidatus Pelagibacter sp. HIMB1321"
"85m",3.28,651,651,"S",1977864,"                Candidatus Pelagibacter sp. RS39"
"85m",2.12,421,421,"S",1977865,"                Candidatus Pelagibacter sp. RS40"
"85m",2.86,569,569,"S",859653,"                alpha proteobacterium HIMB5"
"85m",11.68,2620,2321,"S",1427364,"              Candidatus Thioglobus singularis"
"85m",1.5,299,299,"-",1125411,"                Candidatus Thioglobus singularis PS1"
"110m",4.6,215,215,"S",1977865,"                Candidatus Pelagibacter sp. RS40"
"110m",4.3,201,201,"-",335992,"                  Candidatus Pelagibacter ubique HTCC1062"
"110m",3.44,161,161,"S",1977864,"                Candidatus Pelagibacter sp. RS39"
"110m",3.14,147,147,"S",1388755,"                Candidatus Pelagibacter sp. HIMB1321"
"110m",2.93,137,137,"S",859653,"                alpha proteobacterium HIMB5"
"110m",8.6,461,402,"S",1427364,"              Candidatus Thioglobus singularis"
"110m",1.26,59,59,"-",1125411,"                Candidatus Thioglobus singularis PS1"
"110m",2.2,103,103,"-",74547,"                    Prochlorococcus marinus str. MIT 9313"
"110m",26.82,1254,1254,"S",1898749,"                Candidatus Nitrosomarinus catalina"
"110m",3.55,166,166,"S",1229909,"                Candidatus Nitrosopumilus sediminis"
"110m",2.91,136,136,"S",1580092,"                Candidatus Nitrosopumilus adriaticus"
"110m",4.71,220,220,"S",1410606,"              Candidatus Nitrosopelagicus brevis"
"200m",8.49,280,280,"S",1977865,"                Candidatus Pelagibacter sp. RS40"
"200m",5.12,169,169,"-",335992,"                  Candidatus Pelagibacter ubique HTCC1062"
"200m",5.06,167,167,"S",1388755,"                Candidatus Pelagibacter sp. HIMB1321"
"200m",3.79,125,125,"S",1977864,"                Candidatus Pelagibacter sp. RS39"
"200m",2.46,81,81,"S",1002672,"                Candidatus Pelagibacter sp. IMCC9063"
"200m",4.55,150,150,"S",859653,"                alpha proteobacterium HIMB5"
"200m",1.3,466,43,"-",118884,"          unclassified Gammaproteobacteria"
"200m",6.03,217,199,"S",1427364,"              Candidatus Thioglobus singularis"
"200m",2.73,90,90,"S",1705394,"              Candidatus Thioglobus autotrophicus"
"200m",3.37,111,111,"S",1898749,"                Candidatus Nitrosomarinus catalina"
"500m",5.63,195,195,"S",1977865,"                Candidatus Pelagibacter sp. RS40"
"500m",5.14,178,178,"-",335992,"                  Candidatus Pelagibacter ubique HTCC1062"
"500m",3.35,116,116,"S",1388755,"                Candidatus Pelagibacter sp. HIMB1321"
"500m",3,104,104,"S",1977864,"                Candidatus Pelagibacter sp. RS39"
"500m",3.84,133,133,"S",859653,"                alpha proteobacterium HIMB5"
"500m",7.01,265,243,"S",1427364,"              Candidatus Thioglobus singularis"
"500m",6.43,223,223,"S",1898749,"                Candidatus Nitrosomarinus catalina"
"500m",2.91,101,101,"S",1229909,"                Candidatus Nitrosopumilus sediminis"
"500m",2.14,74,74,"S",1580092,"                Candidatus Nitrosopumilus adriaticus"
"500m",6.69,232,232,"S",1410606,"              Candidatus Nitrosopelagicus brevis"
"500m",1.59,55,55,"S",1603555,"              Candidatus Nitrosotenuis cloacae"
"800m",1.72,20,19,"S",28108,"                Alteromonas macleodii"
"800m",3.44,46,38,"S",1427364,"              Candidatus Thioglobus singularis"
"800m",2.81,31,31,"S",1977865,"                Candidatus Pelagibacter sp. RS40"
"800m",2.72,30,30,"-",335992,"                  Candidatus Pelagibacter ubique HTCC1062"
"800m",1.54,17,17,"S",1388755,"                Candidatus Pelagibacter sp. HIMB1321"
"800m",1.27,14,14,"S",1977864,"                Candidatus Pelagibacter sp. RS39"
"800m",1.36,15,15,"S",859653,"                alpha proteobacterium HIMB5"
"800m",1.09,375,12,"-",1783272,"      Terrabacteria group"
