"sample","percentage","nreads_clade","nreads_taxon","rank","taxid","name"
"WdCr-f2",7.9,62420,46633,"S",187493,"                Thalassolituus oleivorans"
"WdCr-f2",1.46,8593,8593,"-",1298593,"                  Thalassolituus oleivorans MIL-1"
"WdCr-f2",1.22,7194,7194,"-",1208320,"                  Thalassolituus oleivorans R6-15"
"WdCr-f2",5.46,47205,32213,"S",316,"                    Pseudomonas stutzeri"
"WdCr-f2",1.9,11236,11236,"-",996285,"                      Pseudomonas stutzeri DSM 4166"
"WdCr-f2",1.03,6104,6104,"S",29442,"                  Pseudomonas tolaasii"
"WdCr-f2",1.61,12624,9491,"S",28108,"                Alteromonas macleodii"
"WdCr-f2",9.81,57920,57920,"-",563040,"                    Sulfurimonas autotrophica DSM 16294"
"WdCr-f2",1.87,11016,11016,"-",929558,"                    Sulfurimonas gotlandica GD1"
"WdCr-f2",1.19,7006,7006,"S",13690,"                Sphingobium yanoikuyae"
"WdCr-f2",1.24,7358,7333,"S",1747,"                  Cutibacterium acnes"
"WdCr-f2",2.51,14821,14821,"-",243090,"                    Rhodopirellula baltica SH 1"
"WdCr-f2",1.64,9669,9669,"S",1410606,"              Candidatus Nitrosopelagicus brevis"
"WdCr-f2",5.27,31128,31128,"S",374840,"              Enterobacteria phage phiX174 sensu lato"
"Wd-10L",21.74,130545,96069,"S",187493,"                Thalassolituus oleivorans"
"Wd-10L",4.15,18348,18348,"-",1298593,"                  Thalassolituus oleivorans MIL-1"
"Wd-10L",3.65,16128,16128,"-",1208320,"                  Thalassolituus oleivorans R6-15"
"Wd-10L",10.82,64234,47793,"S",28108,"                Alteromonas macleodii"
"Wd-10L",1.24,5457,5457,"-",1004788,"                  Alteromonas macleodii str. 'English Channel 673'"
"Wd-10L",1.05,4626,4626,"-",529120,"                  Alteromonas macleodii ATCC 27126"
"Wd-10L",1.82,12007,8048,"S",316,"                    Pseudomonas stutzeri"
"Wd-10L",1.91,8931,8446,"S",670,"                  Vibrio parahaemolyticus"
"Wd-10L",1.25,5516,5516,"S",1673076,"                Sphingobium sp. C1"
"Wd-10L",4.24,18754,18754,"-",243090,"                    Rhodopirellula baltica SH 1"
"Wd-10L",4.49,19832,19832,"S",374840,"              Enterobacteria phage phiX174 sensu lato"
"Wd-40UP",12.13,61956,45980,"S",187493,"                Thalassolituus oleivorans"
"Wd-40UP",2.26,8564,8564,"-",1298593,"                  Thalassolituus oleivorans MIL-1"
"Wd-40UP",1.96,7412,7412,"-",1208320,"                  Thalassolituus oleivorans R6-15"
"Wd-40UP",1.55,8956,5865,"S",316,"                    Pseudomonas stutzeri"
"Wd-40UP",1.35,6320,5122,"S",303,"                  Pseudomonas putida"
"Wd-40UP",1.15,4364,4364,"S",29442,"                  Pseudomonas tolaasii"
"Wd-40UP",1.27,4802,4802,"S",40215,"                Acinetobacter junii"
"Wd-40UP",1.23,24936,4650,"-",118884,"          unclassified Gammaproteobacteria"
"Wd-40UP",2.1,7962,7962,"-",1303921,"                endosymbiont of Bathymodiolus septemdierum str. Myojin knoll"
"Wd-40UP",1.22,4626,4626,"S",1705394,"              Candidatus Thioglobus autotrophicus"
"Wd-40UP",1.55,5867,5867,"S",1673076,"                Sphingobium sp. C1"
"Wd-40UP",1.4,5320,5320,"S",192812,"                Erythrobacter flavus"
"Wd-40UP",1.12,4254,4239,"S",1747,"                  Cutibacterium acnes"
"Wd-40UP",1.14,5279,4331,"S",1396,"                    Bacillus cereus"
"Wd-40UP",5.21,19766,19766,"-",243090,"                    Rhodopirellula baltica SH 1"
"Wd-40UP",6.78,25713,25713,"S",374840,"              Enterobacteria phage phiX174 sensu lato"
