Name,Run,BioSample,Sample,Metaproteome
"Mock Communities",ERR1877490,SAMEA103899770,P4,P4
"Mock Communities",ERR1877489,SAMEA103899769,P3,P3
"Mock Communities",ERR1877488,SAMEA103899768,P2,P2
"Mock Communities",ERR1877486,SAMEA103899766,C4,C4
"Mock Communities",ERR1877491,SAMEA103899771,U1,U1
"Mock Communities",ERR1877485,SAMEA103899765,C3,C3
"Mock Communities",ERR1877494,SAMEA103899774,U4,U4
"Mock Communities",ERR1877492,SAMEA103899772,U2,U2
"Mock Communities",ERR1877484,SAMEA103899764,C2,C2
"Mock Communities",ERR1877483,SAMEA103899763,C1,C1
"Mock Communities",ERR1877487,SAMEA103899767,P1,P1
"Mock Communities",ERR1877493,SAMEA103899773,U3,U3
