Name,Run,LibraryName,BioSample,Sample,Metaproteome
"Gut Starch Diet",ERR2136831,1191.sample.109,SAMEA104316738,RS-121-2a,121_2A_1_Run1.Baseline
"Gut Starch Diet",ERR2136836,1191.sample.111,SAMEA104316743,RS-121-3a,121_3A_run1.LRS
"Gut Starch Diet",ERR2136838,1191.sample.113,SAMEA104316745,RS-121-4a,121_4A_Run1.HRS
"Gut Starch Diet",ERR2136853,1191.sample.125,SAMEA104316760,RS-148-2a,148_2A_Run1.Baseline
"Gut Starch Diet",ERR2136855,1191.sample.127,SAMEA104316762,RS-148-3a,148_3A_1_Run1.HRS
"Gut Starch Diet",ERR2136857,1191.sample.129,SAMEA104316764,RS-148-4a,148_4A_Run1.LRS
"Gut Starch Diet",ERR2136976,1191.sample.73,SAMEA104316883,RS-163-2a,163_2A_1_Run3.Baseline
"Gut Starch Diet",ERR2136978,1191.sample.75,SAMEA104316885,RS-163-3a,163_3A_1_Run2.LRS
"Gut Starch Diet",ERR2136980,1191.sample.77,SAMEA104316887,RS-163-4a,163_4A_1_Run1.HRS
"Gut Starch Diet",ERR2136840,1191.sample.115,SAMEA104316747,RS-171-2a,171_2A_1_Run1.Baseline
"Gut Starch Diet",ERR2136842,1191.sample.117,SAMEA104316749,RS-171-3a,171_3A_1_Run2.LRS
"Gut Starch Diet",ERR2136844,1191.sample.119,SAMEA104316751,RS-171-4a,171_4A_Run2.HRS
"Gut Starch Diet",ERR2136875,1191.sample.143,SAMEA104316782,RS-177-2a,177_2A_1_Run1.Baseline
"Gut Starch Diet",ERR2136877,1191.sample.145,SAMEA104316784,RS-177-3a,177_3A_1_Run1.LRS
"Gut Starch Diet",ERR2136879,1191.sample.147,SAMEA104316786,RS-177-4a,177_4A_1_Run1.HRS
"Gut Starch Diet",ERR2136881,1191.sample.149,SAMEA104316788,RS-202-2a,202_2A_1_Run1.Baseline
"Gut Starch Diet",ERR2136884,1191.sample.151,SAMEA104316791,RS-202-3a,202_3A_1_Run1.LRS
"Gut Starch Diet",ERR2136886,1191.sample.153,SAMEA104316793,RS-202-4a,202_4A_Run1.HRS
"Gut Starch Diet",ERR2136862,1191.sample.131,SAMEA104316769,RS-208-2a,208_2A_2_Run1.Baseline
"Gut Starch Diet",ERR2136864,1191.sample.133,SAMEA104316771,RS-208-3a,208_3A_1_Run1.HRS
"Gut Starch Diet",ERR2136866,1191.sample.135,SAMEA104316773,RS-208-4a,208_4A_2_Run1.LRS
"Gut Starch Diet",ERR2136895,1191.sample.161,SAMEA104316802,RS-223-2a,223_2A_1_Run1.Baseline
"Gut Starch Diet",ERR2136897,1191.sample.163,SAMEA104316804,RS-223-3a,223_3A_1_Run1.HRS
"Gut Starch Diet",ERR2136899,1191.sample.165,SAMEA104316806,RS-223-4a,223_4A_Run1.LRS
