type,study,n_dn,n_up,Zc_dn,Zc_up,Zc_pvalue,nO2_dn,nO2_up,nO2_pvalue,nH2O_dn,nH2O_up,nH2O_pvalue,D_Zc,D_nO2,D_nH2O
naso,PMM+22,11,21,-0.173593,-0.179539,0.193655,-0.726961,-0.73508,0.238101,-0.744086,-0.731935,0.0881561,-0.00594621,-0.00811913,0.0121511
naso,SGC+21,9,31,-0.151392,-0.152281,0.795446,-0.700233,-0.702269,0.496176,-0.788274,-0.789806,0.364217,-0.000888638,-0.00203563,-0.00153254
naso,HMH+21,7,75,-0.156608,-0.158094,0.455205,-0.704596,-0.705464,0.618594,-0.77195,-0.767339,0.397366,-0.00148559,-0.000868622,0.00461064
naso,VCV+21,18,56,-0.158324,-0.157308,0.654689,-0.705063,-0.705046,0.805932,-0.765169,-0.770057,0.335141,0.00101603,1.73764e-05,-0.00488854
naso,SRS+22,20,74,-0.185976,-0.180222,0.281804,-0.748784,-0.74033,0.24254,-0.732407,-0.741746,0.184934,0.00575414,0.00845407,-0.00933931
naso,CSC+22,38,38,-0.176702,-0.161769,4.79173e-05,-0.735185,-0.711937,3.05394e-05,-0.748962,-0.766596,0.00100818,0.0149337,0.0232487,-0.0176343
naso,GKJ+22,26,63,-0.165068,-0.168472,0.0540745,-0.716565,-0.720936,0.1175,-0.761044,-0.755057,0.0375607,-0.00340436,-0.00437089,0.00598702
naso,MLW+21_Nasopharyngeal,22,196,-0.170037,-0.166698,0.132025,-0.725812,-0.721294,0.108273,-0.759821,-0.761507,0.649448,0.00333868,0.00451848,-0.00168567
naso,HMA+22,83,209,-0.176607,-0.182367,0.025473,-0.735039,-0.743946,0.0339682,-0.747598,-0.740521,0.0169491,-0.00576004,-0.00890648,0.00707664
oro,RFH+22_Oral,15,21,-0.160829,-0.163524,0.568138,-0.709693,-0.711714,0.949501,-0.763796,-0.757073,0.391043,-0.00269479,-0.00202109,0.00672258
oro,IZC+21,14,25,-0.171972,-0.160293,0.00915534,-0.727634,-0.712017,0.0120324,-0.755078,-0.773089,0.0100399,0.011679,0.0156173,-0.0180112
oro,GBS+22,24,30,-0.161373,-0.161478,0.49484,-0.711593,-0.710855,0.157169,-0.766523,-0.764348,0.856182,-0.000104926,0.000737851,0.00217508
oro,WCJ+21_Oral,44,50,-0.169812,-0.162536,0.00147937,-0.726969,-0.71404,4.07587e-05,-0.764729,-0.767187,0.193767,0.00727602,0.0129291,-0.00245765
oro,XLZ+21,24,97,-0.159655,-0.159384,0.728024,-0.711818,-0.710751,0.433474,-0.779395,-0.773935,0.0463407,0.000271306,0.00106663,0.00545965
oro,MAC+21,54,46,-0.157415,-0.156048,0.0819696,-0.705929,-0.704436,0.032877,-0.770755,-0.773774,0.157268,0.00136716,0.00149238,-0.00301896
oro,MLW+21_Oropharyngeal,24,214,-0.161376,-0.158932,0.193358,-0.711786,-0.708383,0.216813,-0.767374,-0.769843,0.544131,0.00244432,0.00340359,-0.00246831
oro,GWL+21,140,166,-0.153693,-0.159096,1.7627e-18,-0.701237,-0.706604,1.29732e-20,-0.777387,-0.764768,3.02423e-16,-0.00540348,-0.00536666,0.0126186
oro,RWC+21_Oral,150,242,-0.157186,-0.159742,0.000284842,-0.706386,-0.708485,0.0218814,-0.772987,-0.766516,6.82462e-06,-0.00255524,-0.00209935,0.00647046
gut,ZZZ+21,14,15,-0.161002,-0.16522,0.171789,-0.709426,-0.717926,0.122524,-0.765713,-0.767752,0.425262,-0.00421712,-0.00850021,-0.00203835
gut,RFH+22_Gut,15,22,-0.15272,-0.160869,0.00570597,-0.700799,-0.712483,0.0235662,-0.781377,-0.775696,0.725336,-0.00814957,-0.011684,0.00568177
gut,KMG+21,14,25,-0.155748,-0.157926,0.302762,-0.707452,-0.710575,0.316711,-0.787485,-0.786186,0.850992,-0.00217809,-0.00312269,0.00129894
gut,WCJ+21_Gut,32,17,-0.163616,-0.165015,0.731557,-0.716663,-0.718063,0.892536,-0.774012,-0.769939,0.859766,-0.00139935,-0.00139965,0.00407334
gut,CGC+22,30,26,-0.163131,-0.16224,0.813192,-0.709984,-0.708974,0.915647,-0.74931,-0.753487,0.701661,0.000891785,0.00100984,-0.0041768
gut,GCW+20,30,30,-0.163493,-0.161686,0.842967,-0.709887,-0.707466,0.947356,-0.747955,-0.751611,0.503907,0.00180628,0.00242117,-0.00365603
gut,NGH+21,34,50,-0.162028,-0.170615,0.000525403,-0.711512,-0.72653,2.21482e-05,-0.763562,-0.757363,0.234348,-0.00858749,-0.0150183,0.00619885
gut,RDM+22,22,89,-0.160525,-0.16127,0.551519,-0.707181,-0.707278,0.967547,-0.762149,-0.758488,0.281788,-0.000744768,-9.61626e-05,0.0036609
gut,MIK+22,61,45,-0.161681,-0.162323,0.51442,-0.706158,-0.709003,0.169364,-0.753833,-0.758046,0.138098,-0.000642013,-0.00284455,-0.00421249
gut,WZL+23,52,59,-0.16338,-0.162774,0.532984,-0.709978,-0.714349,0.0253019,-0.75128,-0.772092,1.0981e-11,0.00060652,-0.00437117,-0.0208117
gut,AHM+21,50,78,-0.157859,-0.160646,0.000483889,-0.706042,-0.7095,0.0121464,-0.771187,-0.766429,0.0251396,-0.00278757,-0.00345806,0.00475829
gut,FBD+22,38,141,-0.162016,-0.161094,0.197308,-0.709108,-0.711744,0.00643198,-0.758109,-0.772738,3.36257e-06,0.000922588,-0.00263597,-0.0146292
