type,study,n_dn,n_up,Zc_dn,Zc_up,Zc_pvalue,nO2_dn,nO2_up,nO2_pvalue,nH2O_dn,nH2O_up,nH2O_pvalue,D_Zc,D_nO2,D_nH2O
naso,PMM+22,11,21,-0.168214,-0.16614,0.346604,-0.717792,-0.711926,0.144022,-0.753064,-0.741599,0.0416855,0.00207402,0.00586572,0.0114652
naso,SGC+21,9,28,-0.148979,-0.153161,0.404466,-0.674128,-0.686082,0.384172,-0.737122,-0.743841,0.557824,-0.00418137,-0.0119541,-0.00671869
naso,HMH+21,3,51,-0.172706,-0.18354,0.264932,-0.721299,-0.746285,0.272924,-0.734415,-0.746307,0.0431361,-0.0108338,-0.0249862,-0.0118916
naso,VCV+21,15,54,-0.148983,-0.148423,0.890074,-0.677976,-0.678628,0.976788,-0.7359,-0.737118,0.832928,0.000559515,-0.000652303,-0.00121783
naso,SRS+22,20,73,-0.137673,-0.144933,0.775491,-0.659583,-0.672267,0.870015,-0.736779,-0.73455,0.0156408,-0.00725936,-0.012684,0.00222841
naso,CSC+22,38,38,-0.13542,-0.139913,0.000361957,-0.652646,-0.662229,0.000245013,-0.735367,-0.742282,0.000256017,-0.00449238,-0.00958274,-0.00691498
naso,GKJ+22,26,62,-0.174211,-0.16794,0.110509,-0.725495,-0.714258,0.102576,-0.739766,-0.743607,0.211893,0.00627102,0.0112367,-0.00384057
naso,MLW+21_Nasopharyngeal,32,212,-0.141838,-0.13409,0.10091,-0.663785,-0.651173,0.201293,-0.729889,-0.72697,0.245106,0.0077482,0.0126111,0.00291904
oro,RFH+22_Oral,15,22,-0.149419,-0.140294,0.0564074,-0.681173,-0.661439,0.0302954,-0.736649,-0.730489,0.0216239,0.00912517,0.019734,0.00615973
oro,IZC+21,14,25,-0.145426,-0.138687,0.0984986,-0.671338,-0.658861,0.111312,-0.725604,-0.728115,0.345818,0.00673884,0.0124761,-0.00251136
oro,GBS+22,23,30,-0.179199,-0.166377,0.00620344,-0.735377,-0.711702,0.00902238,-0.739093,-0.742548,0.414179,0.0128226,0.0236754,-0.00345459
oro,WCJ+21_Oral,44,50,-0.172583,-0.154392,5.55586e-06,-0.722778,-0.687062,2.57945e-06,-0.736782,-0.728962,0.000623513,0.0181906,0.0357151,0.00782024
oro,XLZ+21,24,97,-0.153679,-0.1462,0.00995799,-0.686083,-0.672209,0.00977227,-0.730515,-0.726529,0.00977227,0.00747951,0.0138746,0.00398583
oro,MAC+21,54,46,-0.150613,-0.146084,0.127265,-0.682079,-0.673523,0.132523,-0.733959,-0.730675,0.0243758,0.0045286,0.00855534,0.00328382
oro,MLW+21_Oropharyngeal,31,215,-0.149763,-0.159995,0.139721,-0.678123,-0.698939,0.136848,-0.734734,-0.733159,0.640444,-0.010232,-0.0208156,0.00157445
oro,GWL+21,140,163,-0.140061,-0.131934,1.11003e-10,-0.661611,-0.646241,1.55575e-10,-0.73152,-0.727506,3.65446e-08,0.00812715,0.0153693,0.00401397
oro,RWC+21_Oral,150,238,-0.126505,-0.133712,0.00137202,-0.635419,-0.648899,0.00226577,-0.722877,-0.724241,0.0609024,-0.00720679,-0.0134801,-0.00136463
gut,ZZZ+21,14,15,-0.164485,-0.160115,0.0567726,-0.713295,-0.704403,0.076919,-0.748258,-0.747898,0.813179,0.00436977,0.00889167,0.000359706
gut,RFH+22_Gut,15,22,-0.157137,-0.144399,0.0125899,-0.698347,-0.675399,0.00856454,-0.752689,-0.745138,0.0416942,0.0127382,0.0229486,0.00755043
gut,KMG+21,14,25,-0.15778,-0.143392,0.0570147,-0.69941,-0.675265,0.0608372,-0.748715,-0.749433,0.420658,0.0143875,0.0241446,-0.000717674
gut,WCJ+21_Gut,32,17,-0.154957,-0.158818,0.2552,-0.696132,-0.700274,0.567202,-0.750631,-0.746795,0.387181,-0.00386075,-0.00414216,0.00383615
gut,CGC+22,30,26,-0.149338,-0.155334,0.18205,-0.685131,-0.695797,0.176693,-0.744094,-0.745533,0.235665,-0.00599606,-0.0106657,-0.00143977
gut,GCW+20,30,30,-0.153427,-0.157366,0.440431,-0.692368,-0.699438,0.440431,-0.744322,-0.745211,0.253928,-0.00393839,-0.0070698,-0.00088893
gut,NGH+21,34,50,-0.168928,-0.171374,0.216906,-0.720201,-0.721953,0.340946,-0.750041,-0.73966,1.24454e-05,-0.00244597,-0.00175193,0.0103808
gut,RDM+22,22,88,-0.155375,-0.152495,0.0891243,-0.695509,-0.690569,0.112299,-0.747623,-0.746906,0.779304,0.00288014,0.00494063,0.000717657
gut,MIK+22,61,45,-0.152773,-0.146906,0.0685033,-0.691711,-0.680805,0.0527778,-0.747755,-0.746529,0.138098,0.00586711,0.0109054,0.00122542
gut,WZL+23,52,59,-0.145906,-0.151144,0.0351391,-0.678562,-0.687683,0.0361769,-0.744407,-0.745314,0.00762682,-0.00523764,-0.00912055,-0.000906551
gut,AHM+21,50,78,-0.143638,-0.16616,1.96391e-15,-0.675219,-0.717044,9.62782e-16,-0.74719,-0.751756,1.42216e-07,-0.0225222,-0.0418257,-0.00456594
gut,FBD+22,38,141,-0.165188,-0.16095,0.0632871,-0.712715,-0.70526,0.0969879,-0.746744,-0.750957,0.127992,0.00423843,0.00745425,-0.0042125
gut,RWC+21_Gut,71,97,-0.158702,-0.1682,0.00344251,-0.701639,-0.717973,0.00726704,-0.748591,-0.745117,0.00154546,-0.00949742,-0.0163335,0.00347391
gut,SRK+22,145,101,-0.160923,-0.163148,0.0835769,-0.705315,-0.708901,0.166844,-0.748287,-0.749143,0.29665,-0.00222539,-0.00358624,-0.000855965
IBD,ZTG+21,10,10,-0.155681,-0.1594,0.481251,-0.696964,-0.703233,0.435872,-0.74925,-0.745951,0.393048,-0.00371861,-0.00626886,0.00329859
IBD,ASM+23,10,11,-0.157383,-0.155721,1,-0.701117,-0.696458,0.60473,-0.753735,-0.750328,0.511562,0.00166209,0.00465864,0.00340625
IBD,DKK+23,10,11,-0.151093,-0.176124,6.80434e-05,-0.687492,-0.727666,0.000170109,-0.74792,-0.734235,0.00078817,-0.0250304,-0.0401735,0.0136856
IBD,AAM+20,9,21,-0.166705,-0.162133,0.348528,-0.714835,-0.707807,0.422362,-0.74286,-0.746114,0.722267,0.00457167,0.00702741,-0.00325341
IBD,PYL+23,6,42,-0.146172,-0.158909,0.0388966,-0.67889,-0.702992,0.0357625,-0.74448,-0.748495,0.0028184,-0.0127377,-0.0241013,-0.00401438
IBD,MLL+16,13,30,-0.157939,-0.147476,0.0207772,-0.70115,-0.681704,0.0192758,-0.747469,-0.744778,0.19313,0.0104623,0.0194462,0.00269083
IBD,LZD+19,20,14,-0.169728,-0.169445,0.944201,-0.723646,-0.724378,0.930278,-0.754568,-0.762191,0.132375,0.00028314,-0.000731784,-0.00762283
IBD,BKK+17,32,77,-0.156398,-0.155153,0.377973,-0.697271,-0.694885,0.332976,-0.745086,-0.744345,0.849595,0.00124455,0.00238619,0.000740588
IBD,MDV+22,19,185,-0.154504,-0.158945,0.236632,-0.694576,-0.701332,0.299952,-0.743608,-0.743882,0.683211,-0.00444101,-0.00675555,-0.000274171
IBD,LAA+19,43,112,-0.163863,-0.164066,0.71162,-0.711231,-0.711094,0.830691,-0.747087,-0.746786,0.893494,-0.000203138,0.000137605,0.000300338
IBD,REP+23,96,56,-0.168604,-0.161235,3.07698e-06,-0.720188,-0.707121,7.2541e-06,-0.748187,-0.754463,0.000505689,0.00736827,0.0130669,-0.00627585
IBD,HBL+17,59,114,-0.16761,-0.166486,0.282683,-0.719513,-0.716675,0.203074,-0.752002,-0.753641,0.240565,0.00112466,0.00283828,-0.00163881
IBD,GKD+14,31,224,-0.16295,-0.161144,0.786001,-0.709932,-0.706127,0.688114,-0.748798,-0.746491,0.00832907,0.00180645,0.00380521,0.0023074
IBD,WGL+19,38,286,-0.160104,-0.161816,0.458153,-0.70294,-0.703883,0.871872,-0.747518,-0.742359,0.0020131,-0.00171134,-0.000942336,0.00515902
IBD,RAF+20,63,281,-0.164728,-0.165019,0.888525,-0.713349,-0.713908,0.989935,-0.749193,-0.749068,0.991053,-0.00029058,-0.000558943,0.000125747
