Name,Run,BioSample,"Body site","Body subsite","Sample name",Metagenome,Used_in_Tax4Fun_paper
HMP,SRR049646,NA,"GI tract","GI tract",SRS011271,SRR061168,TRUE
HMP,SRR049315,NA,"GI tract","GI tract",SRS011405,SRR061164,TRUE
HMP,SRR045327,NA,"GI tract","GI tract",SRS011452,SRR346668,TRUE
HMP,SRR045294,NA,"GI tract","GI tract",SRS011529,SRR061153,TRUE
HMP,SRR045344,NA,"GI tract","GI tract",SRS011586,SRR061144,TRUE
HMP,SRR041527,NA,"GI tract","GI tract",SRS013687,SRR060375,TRUE
HMP,SRR050386,NA,"GI tract","GI tract",SRS014235,SRR061557,TRUE
HMP,SRR043639,NA,"GI tract","GI tract",SRS014287,SRR062386,TRUE
HMP,SRR045715,NA,"GI tract","GI tract",SRS014613,SRR061226,TRUE
HMP,SRR045709,NA,"GI tract","GI tract",SRS014923,SRR061326,TRUE
HMP,SRR045722,NA,"GI tract","GI tract",SRS015133,SRR061182,TRUE
HMP,SRR047400,NA,"GI tract","GI tract",SRS015190,SRR061143,TRUE
HMP,SRR044021,NA,"GI tract","GI tract",SRS015578,SRR061222,TRUE
HMP,SRR044257,NA,"GI tract","GI tract",SRS015663,SRR061205,TRUE
HMP,SRR044216,NA,"GI tract","GI tract",SRS015782,SRR061183,TRUE
HMP,SRR043760,NA,"GI tract","GI tract",SRS015854,SRR061496,TRUE
HMP,SRR044087,NA,"GI tract","GI tract",SRS015960,SRR061255,TRUE
HMP,SRR044251,NA,"GI tract","GI tract",SRS016018,SRR061191,TRUE
HMP,SRR044252,NA,"GI tract","GI tract",SRS016056,SRR061198,TRUE
HMP,SRR044395,NA,"GI tract","GI tract",SRS016095,SRR061169,TRUE
HMP,SRR044423,NA,"GI tract","GI tract",SRS016203,SRR062538,TRUE
HMP,SRR044054,NA,"GI tract","GI tract",SRS016267,SRR061494,TRUE
HMP,SRR044424,NA,"GI tract","GI tract",SRS016335,SRR061157,TRUE
HMP,SRR044732,NA,"Nasal cavity",anterior_nares,SRS015450,SRR062506,TRUE
HMP,SRR041398,NA,"Nasal cavity",anterior_nares,SRS016434,SRR061964,TRUE
