Name,Run,LibraryName,Sample,SampleName
"COVID-19 Gut",SRR18352461,"16S rRNA 1",SRS12288321,COVID-19_01
"COVID-19 Gut",SRR18352460,"16S rRNA 2",SRS12288322,COVID-19_02
"COVID-19 Gut",SRR18352449,"16S rRNA 3",SRS12288333,COVID-19_03
"COVID-19 Gut",SRR18352446,"16S rRNA 4",SRS12288336,COVID-19_04
"COVID-19 Gut",SRR18352445,"16S rRNA 5",SRS12288337,COVID-19_05
"COVID-19 Gut",SRR18352444,"16S rRNA 6",SRS12288338,COVID-19_06
"COVID-19 Gut",SRR18352443,"16S rRNA 7",SRS12288339,COVID-19_07
"COVID-19 Gut",SRR18352442,"16S rRNA 8",SRS12288340,COVID-19_08
"COVID-19 Gut",SRR18352441,"16S rRNA 9",SRS12288341,HC_01
"COVID-19 Gut",SRR18352440,"16S rRNA 10",SRS12288342,HC_02
"COVID-19 Gut",SRR18352459,"16S rRNA 11",SRS12288323,HC_03
"COVID-19 Gut",SRR18352458,"16S rRNA 12",SRS12288324,HC_04
"COVID-19 Gut",SRR18352457,"16S rRNA 13",SRS12288325,HC_05
"COVID-19 Gut",SRR18352456,"16S rRNA 14",SRS12288326,HC_06
"COVID-19 Gut",SRR18352455,"16S rRNA 15",SRS12288327,HC_07
"COVID-19 Gut",SRR18352454,"16S rRNA 16",SRS12288328,HC_08
"COVID-19 Gut",SRR18352453,"16S rRNA 17",SRS12288329,HC_09
"COVID-19 Gut",SRR18352452,"16S rRNA 18",SRS12288330,HC_10
"COVID-19 Gut",SRR18352451,"16S rRNA 19",SRS12288331,HC_11
"COVID-19 Gut",SRR18352450,"16S rRNA 20",SRS12288332,HC_12
"COVID-19 Gut",SRR18352448,"16S rRNA 21",SRS12288334,HC_13
"COVID-19 Gut",SRR18352447,"16S rRNA 22",SRS12288335,HC_14
