Name,Run,BioSample,SampleName
IBD,SRR6153529,SAMN07765509,sCD48i_16s
IBD,SRR6153530,SAMN07765510,sCD49a_16s
IBD,SRR6153531,SAMN07765511,sCD49i_16s
IBD,SRR6153525,SAMN07765513,sCD50i_16s
IBD,SRR6153526,SAMN07765514,sCD51a_16s
IBD,SRR6153861,SAMN07765685,sUC36a_16s
IBD,SRR6153860,SAMN07765686,sUC36i_16s
IBD,SRR6153863,SAMN07765687,sUC37a_16s
IBD,SRR6153862,SAMN07765688,sUC37i_16s
IBD,SRR6153865,SAMN07765689,sUC38a_16s
IBD,SRR6153864,SAMN07765690,sUC38i_16s
IBD,SRR6153867,SAMN07765691,sUC39a_16s
IBD,SRR6153866,SAMN07765692,sUC39i_16s
IBD,SRR6153859,SAMN07765693,sUC40a_16s
IBD,SRR6153858,SAMN07765694,sUC40i_16s
IBD,SRR6153868,SAMN07765745,sUC78i_16s
IBD,SRR6153522,SAMN07765746,sUC79a_16s
IBD,SRR6153523,SAMN07765747,sUC79i_16s
IBD,SRR6153524,SAMN07765748,sUC80a_16s
IBD,SRR6153527,SAMN07765751,sUC82i_16s
IBD,SRR6153528,SAMN07765752,sUC84a_16s
IBD,SRR6153533,SAMN07765505,sCD46i_16s
IBD,SRR6153534,SAMN07765506,sCD47a_16s
IBD,SRR6153535,SAMN07765507,sCD47i_16s
IBD,SRR6153536,SAMN07765508,sCD48a_16s
IBD,SRR6153532,SAMN07765512,sCD50a_16s
IBD,SRR6153550,SAMN07765555,sHT14.1_16s
IBD,SRR6153549,SAMN07765556,sHT14.2_16s
IBD,SRR6153548,SAMN07765557,sHT16.1_16s
IBD,SRR6153547,SAMN07765558,sHT16.2_16s
IBD,SRR6153554,SAMN07765559,sHT17.1_16s
IBD,SRR6153553,SAMN07765560,sHT17.2_16s
IBD,SRR6153552,SAMN07765561,sHT18.1_16s
IBD,SRR6153551,SAMN07765562,sHT18.2_16s
IBD,SRR6153556,SAMN07765563,sHT19.1_16s
IBD,SRR6153555,SAMN07765564,sHT19.2_16s
IBD,SRR6153573,SAMN07765625,sUC101i.1_16s
IBD,SRR6153574,SAMN07765626,sUC101i.2_16s
IBD,SRR6153571,SAMN07765627,sUC10a_16s
IBD,SRR6153572,SAMN07765628,sUC10i_16s
IBD,SRR6153569,SAMN07765629,sUC11a_16s
IBD,SRR6153570,SAMN07765630,sUC11i_16s
IBD,SRR6153567,SAMN07765631,sUC12a_16s
IBD,SRR6153568,SAMN07765632,sUC12i_16s
IBD,SRR6153575,SAMN07765633,sUC13a_16s
IBD,SRR6153576,SAMN07765634,sUC13i_16s
IBD,SRR6153543,SAMN07765655,sUC22a_16s
IBD,SRR6153544,SAMN07765656,sUC22i_16s
IBD,SRR6153545,SAMN07765657,sUC23a_16s
IBD,SRR6153546,SAMN07765658,sUC23i_16s
IBD,SRR6153539,SAMN07765659,sUC24a.T1_16s
IBD,SRR6153540,SAMN07765660,sUC24a.T2_16s
IBD,SRR6153541,SAMN07765661,sUC24i.T1_16s
IBD,SRR6153542,SAMN07765662,sUC24i.T2_16s
IBD,SRR6153537,SAMN07765663,sUC25a_16s
IBD,SRR6153538,SAMN07765664,sUC25i_16s
IBD,SRR6153577,SAMN07765695,sUC43i_16s
IBD,SRR6153578,SAMN07765696,sUC44a_16s
IBD,SRR6153579,SAMN07765697,sUC44i_16s
IBD,SRR6153580,SAMN07765698,sUC45a_16s
IBD,SRR6153581,SAMN07765699,sUC45i_16s
IBD,SRR6153582,SAMN07765700,sUC47i_16s
IBD,SRR6153583,SAMN07765701,sUC48a_16s
IBD,SRR6153584,SAMN07765702,sUC48i_16s
IBD,SRR6153586,SAMN07765704,sUC49i_16s
IBD,SRR6153564,SAMN07765725,sUC66a_16s
IBD,SRR6153563,SAMN07765726,sUC66i_16s
IBD,SRR6153566,SAMN07765727,sUC67a_16s
IBD,SRR6153565,SAMN07765728,sUC67i_16s
IBD,SRR6153560,SAMN07765729,sUC68a_16s
IBD,SRR6153559,SAMN07765730,sUC68i_16s
IBD,SRR6153562,SAMN07765731,sUC69i_16s
IBD,SRR6153561,SAMN07765732,sUC71a_16s
IBD,SRR6153558,SAMN07765733,sUC71i_16s
IBD,SRR6153557,SAMN07765734,sUC72i_16s
IBD,SRR6153588,SAMN07765775,sUC96i_16s
IBD,SRR6153587,SAMN07765776,sUC97a_16s
IBD,SRR6153585,SAMN07765778,sUC99a.1_16s
IBD,SRR6153591,SAMN07765779,sUC99a.2_16s
IBD,SRR6153590,SAMN07765780,sUC99i.1_16s
IBD,SRR6153589,SAMN07765781,sUC99i.2_16s
IBD,SRR6153650,SAMN07765449,sCD07i.T1_16s
IBD,SRR6153651,SAMN07765450,sCD08a_16s
IBD,SRR6153648,SAMN07765451,sCD08i_16s
IBD,SRR6153649,SAMN07765452,sCD09a_16s
IBD,SRR6153617,SAMN07765475,sCD22i_16s
IBD,SRR6153616,SAMN07765476,sCD23a_16s
IBD,SRR6153619,SAMN07765477,sCD24a_16s
IBD,SRR6153618,SAMN07765478,sCD24i_16s
IBD,SRR6153621,SAMN07765479,sCD25a_16s
IBD,SRR6153620,SAMN07765480,sCD25i_16s
IBD,SRR6153623,SAMN07765481,sCD26a_16s
IBD,SRR6153622,SAMN07765482,sCD26i_16s
IBD,SRR6153615,SAMN07765483,sCD28a_16s
IBD,SRR6153614,SAMN07765484,sCD29a_16s
IBD,SRR6153646,SAMN07765545,sHT02.2_16s
IBD,SRR6153647,SAMN07765546,sHT03.1_16s
IBD,SRR6153644,SAMN07765547,sHT03.2_16s
IBD,SRR6153645,SAMN07765548,sHT04.1_16s
IBD,SRR6153642,SAMN07765549,sHT04.2_16s
IBD,SRR6153643,SAMN07765550,sHT05.1_16s
IBD,SRR6153640,SAMN07765551,sHT05.2_16s
IBD,SRR6153641,SAMN07765552,sHT06.1_16s
IBD,SRR6153638,SAMN07765553,sHT06.2_16s
IBD,SRR6153639,SAMN07765554,sHT12.2_16s
IBD,SRR6153599,SAMN07765595,sHT51.1_16s
IBD,SRR6153598,SAMN07765596,sHT51.2_16s
IBD,SRR6153597,SAMN07765597,sHT52.1_16s
IBD,SRR6153596,SAMN07765598,sHT52.2_16s
IBD,SRR6153595,SAMN07765599,sHT53.1_16s
IBD,SRR6153594,SAMN07765600,sHT53.2_16s
IBD,SRR6153593,SAMN07765601,sHT55.1_16s
IBD,SRR6153592,SAMN07765602,sHT55.2_16s
IBD,SRR6153601,SAMN07765603,sHT56.1_16s
IBD,SRR6153600,SAMN07765604,sHT56.2_16s
