Name,Run,LibraryName,BioSample,Sample
"COVID-19 Gut",SRR24718704,COVID19_CN008,SAMN29795269,COVID19_CN008
"COVID-19 Gut",SRR24718646,COVID19_CN015,SAMN29795298,COVID19_CN015
"COVID-19 Gut",SRR24718703,COVID19_CN037,SAMN29795270,COVID19_CN037
"COVID-19 Gut",SRR24718702,COVID19_CN040,SAMN29795271,COVID19_CN040
"COVID-19 Gut",SRR24718700,COVID19_CN043,SAMN29795272,COVID19_CN043
"COVID-19 Gut",SRR24718699,COVID19_CN044,SAMN29795273,COVID19_CN044
"COVID-19 Gut",SRR24718698,COVID19_CN046,SAMN29795274,COVID19_CN046
"COVID-19 Gut",SRR24718697,COVID19_CN047,SAMN29795275,COVID19_CN047
"COVID-19 Gut",SRR24718696,COVID19_CN048,SAMN29795276,COVID19_CN048
"COVID-19 Gut",SRR24718695,COVID19_CN049,SAMN29795277,COVID19_CN049
"COVID-19 Gut",SRR24718694,COVID19_CN050,SAMN29795278,COVID19_CN050
"COVID-19 Gut",SRR24718693,COVID19_CN063,SAMN29795279,COVID19_CN063
"COVID-19 Gut",SRR24718692,COVID19_CN065,SAMN29795280,COVID19_CN065
"COVID-19 Gut",SRR24718691,COVID19_CN074,SAMN29795281,COVID19_CN074
"COVID-19 Gut",SRR24718689,COVID19_CN083,SAMN29795282,COVID19_CN083
"COVID-19 Gut",SRR24718688,COVID19_CN085,SAMN29795283,COVID19_CN085
"COVID-19 Gut",SRR24718687,COVID19_CN086,SAMN29795284,COVID19_CN086
"COVID-19 Gut",SRR24718686,COVID19_CN094,SAMN29795285,COVID19_CN094
"COVID-19 Gut",SRR24718685,COVID19_CN102,SAMN29795286,COVID19_CN102
"COVID-19 Gut",SRR24718684,COVID19_CN104,SAMN29795287,COVID19_CN104
"COVID-19 Gut",SRR24718683,COVID19_CN116,SAMN29795288,COVID19_CN116
"COVID-19 Gut",SRR24718682,COVID19_CN119,SAMN29795289,COVID19_CN119
"COVID-19 Gut",SRR24718681,COVID19_CN121,SAMN29795290,COVID19_CN121
"COVID-19 Gut",SRR24718680,COVID19_CP001,SAMN29795291,COVID19_CP001
"COVID-19 Gut",SRR24718678,COVID19_CP003,SAMN29795292,COVID19_CP003
"COVID-19 Gut",SRR24718677,COVID19_CP006,SAMN29795293,COVID19_CP006
"COVID-19 Gut",SRR24718676,COVID19_CP009,SAMN29795294,COVID19_CP009
"COVID-19 Gut",SRR24718675,COVID19_CP010,SAMN29795295,COVID19_CP010
"COVID-19 Gut",SRR24718674,COVID19_CP012,SAMN29795296,COVID19_CP012
"COVID-19 Gut",SRR24718673,COVID19_CP014,SAMN29795297,COVID19_CP014
"COVID-19 Gut",SRR24718645,COVID19_CP017,SAMN29795299,COVID19_CP017
"COVID-19 Gut",SRR24718644,COVID19_CP018,SAMN29795300,COVID19_CP018
