Run,spots,passed_read_filter,inputfile,input_sequences,scrubbed_sequences,passed_sequences,dereplicated_sequences,rRNA_sequences,not_rRNA_sequences,coding_sequences,protein_length
SRR059889,35538526,26563221,/home/ARAST/work/SRR059889_pass_1.fastq,26563221,26423383,23830704,20691312,130241,20561071,15926032,30.3190963700186
SRR060375,36670465,30957556,/home/ARAST/work/SRR060375_pass_1.fastq,30957556,30798868,28989270,23191258,100894,23090364,19921864,30.9904323209917
SRR060433,33551481,2755429,/home/ARAST/work/SRR060433_pass_1.fastq,2755429,2532854,2285446,1343491,40027,1303464,823819,30.0495290834516
SRR060445,37097049,626828,/home/ARAST/work/SRR060445_pass_1.fastq,626828,549235,516366,313422,4707,308715,249761,31.1154383590713
SRR061143,37147497,37144136,/home/ARAST/work/SRR061143_pass_1.fastq,37144136,36961956,33234085,23737843,61493,23676350,19146757,30.4476624944893
SRR061144,36310704,36302424,/home/ARAST/work/SRR061144_pass_1.fastq,36302424,36080578,32326473,25629949,86020,25543929,19975769,30.0822326790022
SRR061153,36226022,36188418,/home/ARAST/work/SRR061153_pass_1.fastq,36188418,36043229,34139534,24921549,93164,24828385,21124679,30.7835919778947
SRR061157,33195932,33158514,/home/ARAST/work/SRR061157_pass_1.fastq,33158514,32935621,31275507,24906916,95940,24810976,21574778,30.9307223926012
SRR061164,34768374,34732110,/home/ARAST/work/SRR061164_pass_1.fastq,34732110,34579147,33060691,23636150,58688,23577462,20395409,30.9816748465304
SRR061168,35551699,35515044,/home/ARAST/work/SRR061168_pass_1.fastq,35515044,35356989,33547564,24702084,93839,24608245,21039854,30.7909644239927
SRR061169,29970151,29937445,/home/ARAST/work/SRR061169_pass_1.fastq,29937445,29787981,28410696,25003906,95774,24908132,21320221,30.6676735198946
SRR061171,31351558,17974074,/home/ARAST/work/SRR061171_pass_1.fastq,17974074,17832988,15628527,14549385,94072,14455313,10784181,29.9216376283002
SRR061182,28151427,28133835,/home/ARAST/work/SRR061182_pass_1.fastq,28133835,27558215,26608870,23604190,104033,23500157,20509753,30.8145883083039
SRR061183,28386450,28330787,/home/ARAST/work/SRR061183_pass_1.fastq,28330787,28179264,27062643,24395860,119904,24275956,21189821,31.0226989647529
SRR061191,20619004,20618145,/home/ARAST/work/SRR061191_pass_1.fastq,20618145,20498451,20095537,17614569,59294,17555275,16011688,31.4124107964132
SRR061196,31505238,2694720,/home/ARAST/work/SRR061196_pass_1.fastq,2694720,2485174,2345688,1628020,34380,1593640,1145154,30.3108551338947
SRR061198,23594822,23593238,/home/ARAST/work/SRR061198_pass_1.fastq,23593238,23489244,23066844,17437124,50413,17386711,15907917,31.5474552073662
SRR061202,27834882,26408856,/home/ARAST/work/SRR061202_pass_1.fastq,26408856,26282056,25341359,20302655,120005,20182650,17587984,31.1843385802489
SRR061205,29045423,29039897,/home/ARAST/work/SRR061205_pass_1.fastq,29039897,28886741,28186392,25389967,117637,25272330,22753511,31.3196335282058
SRR061222,31913644,31686771,/home/ARAST/work/SRR061222_pass_1.fastq,31686771,31554460,30455486,24006558,97258,23909300,20984964,31.1188008232942
SRR061226,29598486,29594164,/home/ARAST/work/SRR061226_pass_1.fastq,29594164,29460408,28472170,24263609,72563,24191046,21411120,31.2356094870329
SRR061233,30678821,28572245,/home/ARAST/work/SRR061233_pass_1.fastq,28572245,28430411,27031973,22668073,119663,22548410,19291316,30.9785787553322
SRR061241,31883168,28885799,/home/ARAST/work/SRR061241_pass_1.fastq,28885799,28776800,27560469,25132596,140174,24992422,21343781,31.0703579651609
SRR061255,28600191,28598931,/home/ARAST/work/SRR061255_pass_1.fastq,28598931,28484373,27307738,22971922,67662,22904260,20028937,31.040899724234
SRR061263,33341161,1846985,/home/ARAST/work/SRR061263_pass_1.fastq,1846985,1551717,1498090,1163080,9566,1153514,964440,30.1924785367674
SRR061274,28027151,2184932,/home/ARAST/work/SRR061274_pass_1.fastq,2184932,2140403,1947888,1420697,38670,1382027,1002992,30.239086652735
SRR061326,31046743,31012080,/home/ARAST/work/SRR061326_pass_1.fastq,31012080,30462098,28903433,24147276,100613,24046663,20782279,30.9180722191248
SRR061494,29301547,29293620,/home/ARAST/work/SRR061494_pass_1.fastq,29293620,29106761,26539278,21100513,52656,21047857,18204389,30.9059929448882
SRR061496,29360401,29283314,/home/ARAST/work/SRR061496_pass_1.fastq,29283314,29117351,26020496,21463689,74531,21389158,18121200,30.6672608326159
SRR061557,27414766,27406858,/home/ARAST/work/SRR061557_pass_1.fastq,27406858,27291859,26468007,23843756,103487,23740269,21184209,31.2161452429024
SRR061910,36522515,3837568,/home/ARAST/work/SRR061910_pass_1.fastq,3837568,3463132,3106779,2353066,45408,2307658,1748792,30.4638178811431
SRR061940,36373505,21908714,/home/ARAST/work/SRR061940_pass_1.fastq,21908714,21360934,19710091,16009586,93011,15916575,12856121,30.4900999298311
SRR061960,35400204,4206276,/home/ARAST/work/SRR061960_pass_1.fastq,4206276,4074404,3300252,2559135,48452,2510683,1791221,30.0520790008603
SRR061964,39774422,2770823,/home/ARAST/work/SRR061964_pass_1.fastq,2770823,2759561,2117834,1296988,31492,1265496,786854,29.8427433806017
SRR061968,34662465,25610629,/home/ARAST/work/SRR061968_pass_1.fastq,25610629,25016603,24000876,21024490,117391,20907099,17769047,31.0003445317017
SRR062004,39168120,24750061,/home/ARAST/work/SRR062004_pass_1.fastq,24750061,22749614,20493692,15525272,89609,15435663,12488055,30.5650907206927
SRR062010,37708709,4704704,/home/ARAST/work/SRR062010_pass_1.fastq,4704704,3007564,2807117,2375642,19350,2356292,1917938,30.6594634445952
SRR062040,36028688,5079237,/home/ARAST/work/SRR062040_pass_1.fastq,5079237,5055347,4899427,4541992,35157,4506835,3880977,30.8114054785689
SRR062063,27293474,2171310,/home/ARAST/work/SRR062063_pass_1.fastq,2171310,1609279,1572203,1183528,11648,1171880,1031077,31.3765926308122
SRR062091,26840939,11135676,/home/ARAST/work/SRR062091_pass_1.fastq,11135676,10941605,10456360,6102715,46223,6056492,5048048,30.8478530711277
SRR062356,27657858,20789347,/home/ARAST/work/SRR062356_pass_1.fastq,20789347,20254798,18932427,16834520,103229,16731291,13366829,30.1645177027401
SRR062364,31374420,5787919,/home/ARAST/work/SRR062364_pass_1.fastq,5787919,5146211,4366410,2638156,43697,2594459,2136916,31.1370652847374
SRR062386,23866957,23860743,/home/ARAST/work/SRR062386_pass_1.fastq,23860743,23810578,23143641,11118688,50200,11068488,9561755,30.9018932193933
SRR062434,30065938,175096,/home/ARAST/work/SRR062434_pass_1.fastq,175096,136847,114607,104696,1932,102764,84058,31.3060386875729
SRR062506,31202293,2185152,/home/ARAST/work/SRR062506_pass_1.fastq,2185152,1781589,1664943,785886,22465,763421,572404,30.782365252514
SRR062519,29174520,16658718,/home/ARAST/work/SRR062519_pass_1.fastq,16658718,16587530,15145282,14352199,87552,14264647,11156905,30.4019476727641
SRR062538,7860591,7847542,/home/ARAST/work/SRR062538_pass_1.fastq,7847542,7786906,7657878,7060591,30554,7030037,6486218,31.5361227451806
SRR063917,25157246,5435530,/home/ARAST/work/SRR063917_pass_1.fastq,5435530,4765252,4177015,3421735,40373,3381362,2526652,30.2209117045007
SRR346668,34035443,34021991,/home/ARAST/work/SRR346668_pass_1.fastq,34021991,32915005,32130972,17402887,51909,17350978,15930115,31.6435167605507
SRR059348,38205663,2275171,/home/ARAST/work/SRR059348_pass_1.fastq,2275171,2263477,2210533,1974674,15726,1958948,1760488,31.3927138384357
SRR059518,36812149,1779583,/home/ARAST/work/SRR059518_pass_1.fastq,1347304,1346271,1346012,721267,13166,708101,577348,31.8531856003658
SRR059872,34703060,2451104,/home/ARAST/work/SRR059872_pass_1.fastq,2451104,2380423,2060366,999637,30733,968904,745494,31.0799375984247
SRR060382,35772121,2250496,/home/ARAST/work/SRR060382_pass_1.fastq,2250496,2172564,1903021,1063636,20814,1042822,670031,29.9361029564304
SRR060414,36635417,772290,/home/ARAST/work/SRR060414_pass_1.fastq,772290,510197,265015,141637,1659,139978,58895,27.9466168605145
SRR060436,36679467,3570955,/home/ARAST/work/SRR060436_pass_1.fastq,3570955,2967883,2534913,1630650,37584,1593066,925478,29.7015553043941
SRR061141,37066039,34458031,/home/ARAST/work/SRR061141_pass_1.fastq,34458031,34327452,30743280,25367020,110416,25256604,19954125,30.3647615718554
SRR061189,25443252,1300533,/home/ARAST/work/SRR061189_pass_1.fastq,1300533,1287258,1192421,698475,26817,671658,527210,31.1391969044593
SRR061210,29203734,28245715,/home/ARAST/work/SRR061210_pass_1.fastq,28245715,28132091,26858124,23578458,119075,23459383,19556189,30.5526986878681
