ID,available_spots,passed_read_filter,inputfile,input_sequences,scrubbed_sequences,passed_sequences,dereplicated_sequences,screened_sequences,rRNA_sequences,not_rRNA_sequences,coding_sequences,protein_length
SRR059889,35538526,26563221,/home/ARAST/work/SRR059889_pass_1.fastq,26563221,26563221,23830704,20691312,20529108,125414,20403694,15806612,30.3149185922954
SRR060375,36670465,30957556,/home/ARAST/work/SRR060375_pass_1.fastq,30957556,30957556,28989270,23191258,23187508,100293,23087215,19919372,30.9904385539865
SRR060433,33551481,2755429,/home/ARAST/work/SRR060433_pass_1.fastq,2755429,2755429,2285446,1343491,377010,5038,371972,280778,30.7451616579647
SRR060445,37097049,626828,/home/ARAST/work/SRR060445_pass_1.fastq,626828,626828,516366,313422,285062,3468,281594,237284,31.1647392997421
SRR061143,37147497,37144136,/home/ARAST/work/SRR061143_pass_1.fastq,37144136,37144136,33234085,23737843,23737248,61062,23676186,19146536,30.4476677138883
SRR061144,36310704,36302424,/home/ARAST/work/SRR061144_pass_1.fastq,36302424,36302424,32326473,25629949,25629364,85980,25543384,19975378,30.0822589690168
SRR061153,36226022,36188418,/home/ARAST/work/SRR061153_pass_1.fastq,36188418,36188418,34139534,24921549,24921538,93160,24828378,21124668,30.7835965516712
SRR061157,33195932,33158514,/home/ARAST/work/SRR061157_pass_1.fastq,33158514,33158514,31275507,24906916,24906892,95925,24810967,21574690,30.9307142767752
SRR061164,34768374,34732110,/home/ARAST/work/SRR061164_pass_1.fastq,34732110,34732110,33060691,23636150,23636141,58685,23577456,20395426,30.9816763817534
SRR061168,35551699,35515044,/home/ARAST/work/SRR061168_pass_1.fastq,35515044,35515044,33547564,24702084,24702071,93834,24608237,21039894,30.7909502776012
SRR061169,29970151,29937445,/home/ARAST/work/SRR061169_pass_1.fastq,29937445,29937445,28410696,25003906,25003882,95764,24908118,21320188,30.6676655946936
SRR061171,31351558,17974074,/home/ARAST/work/SRR061171_pass_1.fastq,17974074,17974074,15628527,14549385,14080302,77156,14003146,10484457,29.917228236045
SRR061182,28151427,28133835,/home/ARAST/work/SRR061182_pass_1.fastq,28133835,28133835,26608870,23604190,23603131,103913,23499218,20509004,30.8145787577008
SRR061183,28386450,28330787,/home/ARAST/work/SRR061183_pass_1.fastq,28330787,28330787,27062643,24395860,24393334,119782,24273552,21187995,31.0227247080245
SRR061191,20619004,20618145,/home/ARAST/work/SRR061191_pass_1.fastq,20618145,20618145,20095537,17614569,17614499,59264,17555235,16011733,31.4123972714259
SRR061196,31505238,2694720,/home/ARAST/work/SRR061196_pass_1.fastq,2694720,2694720,2345688,1628020,540207,7376,532831,441435,30.7913192202703
SRR061198,23594822,23593238,/home/ARAST/work/SRR061198_pass_1.fastq,23593238,23593238,23066844,17437124,17436972,50373,17386599,15907870,31.5474524244918
SRR061202,27834882,26408856,/home/ARAST/work/SRR061202_pass_1.fastq,26408856,26408856,25341359,20302655,20243566,117654,20125912,17543474,31.1845452046727
SRR061205,29045423,29039897,/home/ARAST/work/SRR061205_pass_1.fastq,29039897,29039897,28186392,25389967,25389534,117595,25271939,22753156,31.3196361858548
SRR061222,31913644,31686771,/home/ARAST/work/SRR061222_pass_1.fastq,31686771,31686771,30455486,24006558,23996071,96802,23899269,20977414,31.1189146097798
SRR061226,29598486,29594164,/home/ARAST/work/SRR061226_pass_1.fastq,29594164,29594164,28472170,24263609,24263412,72543,24190869,21410987,31.2356163683627
SRR061233,30678821,28572245,/home/ARAST/work/SRR061233_pass_1.fastq,28572245,28572245,27031973,22668073,22587442,117529,22469913,19233880,30.9791268324436
SRR061241,31883168,28885799,/home/ARAST/work/SRR061241_pass_1.fastq,28885799,28885799,27560469,25132596,25130202,140090,24990112,21342782,31.0703804218213
SRR061255,28600191,28598931,/home/ARAST/work/SRR061255_pass_1.fastq,28598931,28598931,27307738,22971922,22971814,67620,22904194,20028850,31.0409074410163
SRR061263,33341161,1846985,/home/ARAST/work/SRR061263_pass_1.fastq,1846985,1846985,1498090,1163080,1140690,8625,1132065,954022,30.2011200999558
SRR061274,28027151,2184932,/home/ARAST/work/SRR061274_pass_1.fastq,2184932,2184932,1947888,1420697,525775,6366,519409,423446,30.3194197134936
SRR061326,31046743,31012080,/home/ARAST/work/SRR061326_pass_1.fastq,31012080,31012080,28903433,24147276,24145634,100537,24045097,20781149,30.918078206359
SRR061494,29301547,29293620,/home/ARAST/work/SRR061494_pass_1.fastq,29293620,29293620,26539278,21100513,21099970,52618,21047352,18204125,30.9060028427623
SRR061496,29360401,29283314,/home/ARAST/work/SRR061496_pass_1.fastq,29283314,29283314,26020496,21463689,21459492,74401,21385091,18118469,30.6673458447289
