Name,Run,BioSample,Sample,Metaproteome
"Ulcerative Colitis Gut",01_H1,10.5281/zenodo.5717460,01_H1,H1
"Ulcerative Colitis Gut",02_H2,10.5281/zenodo.5717460,02_H2,H2
"Ulcerative Colitis Gut",03_H3,10.5281/zenodo.5717460,03_H3,H3
"Ulcerative Colitis Gut",04_H4,10.5281/zenodo.5717460,04_H4,H4
"Ulcerative Colitis Gut",05_H5,10.5281/zenodo.5717460,05_H5,H5
"Ulcerative Colitis Gut",06_H6,10.5281/zenodo.5717460,06_H6,H6
"Ulcerative Colitis Gut",07_H7,10.5281/zenodo.5717460,07_H7,H7
"Ulcerative Colitis Gut",08_H8,10.5281/zenodo.5717460,08_H8,H8
"Ulcerative Colitis Gut",09_UC1,10.5281/zenodo.5717460,09_UC1,UC1
"Ulcerative Colitis Gut",10_UC2,10.5281/zenodo.5717460,10_UC2,UC2
"Ulcerative Colitis Gut",11_UC4,10.5281/zenodo.5717460,11_UC4,UC4
"Ulcerative Colitis Gut",12_UC5,10.5281/zenodo.5717460,12_UC5,UC5
"Ulcerative Colitis Gut",13_UC6,10.5281/zenodo.5717460,13_UC6,UC6
"Ulcerative Colitis Gut",14_UC8,10.5281/zenodo.5717460,14_UC8,UC8
"Ulcerative Colitis Gut",15_UC9,10.5281/zenodo.5717460,15_UC9,UC9
"Ulcerative Colitis Gut",16_UC11,10.5281/zenodo.5717460,16_UC11,UC11
"Ulcerative Colitis Gut",17_UC15,10.5281/zenodo.5717460,17_UC15,UC15
"Ulcerative Colitis Gut",18_UC23F,10.5281/zenodo.5717460,18_UC23F,UC23F
