Name,Run,BioSample,SampleName,Disease
IBD,SRR6505460,SAMN08388804,C103RN_16S,CD
IBD,SRR6505461,SAMN08388805,C104F_16S,CD
IBD,SRR6505462,SAMN08388806,C104IN_16S,CD
IBD,SRR6505463,SAMN08388807,C104RP_16S,CD
IBD,SRR6505464,SAMN08388808,C105F_16S,CD
IBD,SRR6505465,SAMN08388809,C105IN_16S,CD
IBD,SRR6505466,SAMN08388810,C105RP_16S,CD
IBD,SRR6505467,SAMN08388811,C106F_16S,CD
IBD,SRR6505458,SAMN08388812,C106IN_16S,CD
IBD,SRR6505459,SAMN08388813,C107CP_16S,CD
IBD,SRR6505455,SAMN08388851,C118DP_16S,CD
IBD,SRR6505432,SAMN08388864,C121RN_16S,CD
IBD,SRR6505457,SAMN08388865,C122F_16S,CD
IBD,SRR6505434,SAMN08388870,C124F_16S,CD
IBD,SRR6505445,SAMN08388884,C128IN_16S,CD
IBD,SRR6505446,SAMN08388885,C128RN_16S,CD
IBD,SRR6505448,SAMN08388887,C129CAP_16S,CD
IBD,SRR6505449,SAMN08388888,C129F_16S,CD
IBD,SRR6505450,SAMN08388889,C129IN_16S,CD
IBD,SRR6505451,SAMN08388890,C129RN_16S,CD
IBD,SRR6505452,SAMN08388891,C130F_16S,CD
IBD,SRR6505454,SAMN08388893,C130RN_16S,CD
IBD,SRR6505444,SAMN08388894,C131F_16S,CD
IBD,SRR6505443,SAMN08388895,C131IP_16S,CD
IBD,SRR6505442,SAMN08388896,C131RN_16S,CD
IBD,SRR6505441,SAMN08388897,C132F_16S,CD
IBD,SRR6505440,SAMN08388898,C132IN_16S,CD
IBD,SRR6505439,SAMN08388899,C132IP_16S,CD
IBD,SRR6505438,SAMN08388900,C133CAP_16S,CD
IBD,SRR6505437,SAMN08388901,C133F_16S,CD
IBD,SRR6505436,SAMN08388902,C133RN_16S,CD
IBD,SRR6505435,SAMN08388903,C134CAP_16S,CD
IBD,SRR6505423,SAMN08388974,C257F_16S,CD
IBD,SRR6505422,SAMN08388975,C257IP_16S,CD
IBD,SRR6505421,SAMN08388976,C257RN_16S,CD
IBD,SRR6505420,SAMN08388977,C258F_16S,CD
IBD,SRR6505419,SAMN08388978,C258IN_16S,CD
IBD,SRR6505418,SAMN08388979,C258RP_16S,CD
IBD,SRR6505417,SAMN08388980,N01F_16S,HC
IBD,SRR6505416,SAMN08388981,N01I_16S,HC
IBD,SRR6505431,SAMN08388982,N01R_16S,HC
IBD,SRR6505430,SAMN08388983,N02F_16S,HC
IBD,SRR6505428,SAMN08389016,N24F_16S,HC
IBD,SRR6505429,SAMN08389017,N25F_16S,HC
IBD,SRR6505426,SAMN08389018,U101F_16S,UC
IBD,SRR6505427,SAMN08389019,U101RP_16S,UC
IBD,SRR6505424,SAMN08389020,U101SN_16S,UC
IBD,SRR6505425,SAMN08389021,U102F_16S,UC
IBD,SRR6505453,SAMN08389022,U102IN_16S,UC
IBD,SRR6505456,SAMN08389023,U102RP_16S,UC
IBD,SRR6505473,SAMN08389028,U104F_16S,UC
IBD,SRR6505472,SAMN08389029,U104IN_16S,UC
IBD,SRR6505475,SAMN08389030,U104RP_16S,UC
IBD,SRR6505474,SAMN08389031,U105F_16S,UC
IBD,SRR6505470,SAMN08389032,U105IN_16S,UC
IBD,SRR6505469,SAMN08389033,U105RP_16S,UC
IBD,SRR6505433,SAMN08389075,U118IN_16S,UC
IBD,SRR6505471,SAMN08389100,U126F_16S,UC
IBD,SRR6505468,SAMN08389101,U126IN_16S,UC
IBD,SRR6505447,SAMN08389102,U227F_16S,UC
IBD,SRR6505516,SAMN08388794,C101CP_16S,CD
IBD,SRR6505517,SAMN08388795,C101F_16S,CD
IBD,SRR6505518,SAMN08388796,C101IP_16S,CD
IBD,SRR6505509,SAMN08388802,C103CP_16S,CD
IBD,SRR6505510,SAMN08388803,C103F_16S,CD
IBD,SRR6505498,SAMN08388814,C107F_16S,CD
IBD,SRR6505497,SAMN08388815,C107RN_16S,CD
