T,CO2,H2,pH,NH4+,H2S,CH4
344.966,-1.6848,-2.967,4.0914,-3.7694,-1.6991,-2.46
339.649,-1.6921,-2.9764,4.538,-3.8748,-1.7062,-2.47
331.868,-1.7026,-2.9901,4.8164,-3.9637,-1.7169,-2.48
324.643,-1.7123,-3.0029,4.9407,-3.996,-1.7272,-2.49
313.818,-1.7269,-3.0223,5.0373,-3.9998,-1.7433,-2.51
298.075,-1.7482,-3.0511,5.0947,-3.9633,-1.7679,-2.53
276.139,-1.7786,-3.0934,5.1112,-3.8909,-1.8049,-2.57
247.332,-1.8206,-3.1548,5.0976,-3.8124,-1.8582,-2.61
212.306,-1.8771,-3.2429,5.0747,-3.771,-1.9317,-2.68
173.5,-1.951,-3.3687,5.07,-3.7922,-2.0279,-2.77
134.694,-2.0451,-3.5522,5.111,-3.8682,-2.1467,-2.87
99.668,-2.1602,-3.8485,5.2167,-3.9772,-2.2859,-3
70.861,-2.2943,-4.6703,5.3869,-4.1149,-2.4432,-3.16
48.925,-2.4409,-37.564,5.5932,-4.2735,-2.6159,-3.33
33.182,-2.5984,-42.652,5.835,-4.4467,-2.8038,-3.5
22.357,-2.7647,-44.569,6.0884,-4.6295,-3.006,-3.69
15.132,-2.9343,-45.858,6.3305,-4.8187,-3.2217,-3.87
10.405,-3.1045,-46.72,6.5557,-5.0118,-3.4513,-4.06
5.396,-3.4407,-47.652,6.9585,-5.4049,-3.9558,-4.46
