"study","name","envirotype","lineage","mapperc","Q1.genus","Q1.Zc","Q4.genus","Q4.Zc"
MLL+18,"Pearl River Estuary",River & Seawater,Bacteria,100,Acinetobacter,-0.168641,Polynucleobacter,-0.173587
HXZ+20,"Sansha Yongle Blue Hole",River & Seawater,Bacteria,100,Alteromonas,-0.149703,Alteromonas,-0.149703
GSBT20_Prefilter,"Port Microbes (Prefilter)",River & Seawater,Bacteria,100,Caldora,-0.159013,Caldora,-0.159013
GSBT20_Prefilter,"Port Microbes (Prefilter)",River & Seawater,Archaea,100,MGIIa-L1,-0.121573,Poseidonia,-0.110885
GSBT20_Postfilter,"Port Microbes (Postfilter)",River & Seawater,Bacteria,100,Pelagibacter,-0.223364,Pelagibacter,-0.223364
GSBT20_Postfilter,"Port Microbes (Postfilter)",River & Seawater,Archaea,100,Nitrosopelagicus,-0.191482,MGIIa-L1,-0.121573
WHL+21,"Bahe River",River & Seawater,Bacteria,100,Flavobacterium,-0.187496,Flavobacterium,-0.187496
ZLH+22,"Nu River",River & Seawater,Bacteria,100,Flavobacterium,-0.187496,Flavobacterium,-0.187496
ZZL+21,"Maozhou River",River & Seawater,Bacteria,100,Aliarcobacter,-0.216706,MAG-120802,-0.173734
LWJ+21,"Plastisphere",River & Seawater,Bacteria,100,Ralstonia,-0.138285,Pseudoalteromonas,-0.159476
LWJ+21,"Plastisphere",River & Seawater,Archaea,100,Poseidonia,-0.110885,Poseidonia,-0.110885
GZL21,"Three Gorges Reservoir",River & Seawater,Bacteria,100,Acinetobacter,-0.168641,Acinetobacter,-0.168641
RARG22,"Taxco AMD",River & Seawater,Bacteria,100,Acidithiobacillus,-0.147111,Acidiphilium,-0.147691
RARG22,"Taxco AMD",River & Seawater,Archaea,100,GCA-001856825,-0.193243,Cuniculiplasma,-0.189384
SAR+13,"Microbial Mat, Kiritimati Atoll",Lake & Pond,Bacteria,100,JAGXLC01,-0.152442,Phaeodactylibacter,-0.141599
SAR+13,"Microbial Mat, Kiritimati Atoll",Lake & Pond,Archaea,100,EX4572-165,-0.18663,Halomarina,-0.08145
LLC+19,"Xidong Reservoir, Xiamen",Lake & Pond,Bacteria,100,MAG-120802,-0.173734,MAG-120802,-0.173734
BCA+21,"Ursu Lake, Romania",Lake & Pond,Bacteria,100,JAGXLP01,-0.156741,Vibrio,-0.160208
HLZ+18,"Xiamen Reservoirs and Ponds",Lake & Pond,Bacteria,100,Polynucleobacter,-0.173587,BACL27,-0.153017
BWD+19,"Keweenaw Waterway, Michigan",Lake & Pond,Bacteria,100,Flavobacterium,-0.187496,Flavobacterium,-0.187496
IBK+22,"German Kettle Holes",Lake & Pond,Bacteria,100,Flavobacterium,-0.187496,Flavobacterium,-0.187496
IBK+22,"German Kettle Holes",Lake & Pond,Archaea,100,21-14-0-10-32-9,-0.201873,21-14-0-10-32-9,-0.201873
NLE+21,"Lake Kinneret, Israel",Lake & Pond,Bacteria,100,Chlorobium,-0.16957,Chlorobium,-0.16957
MTC21,"Monegros Desert, Spain",Lake & Pond,Bacteria,100,Psychroflexus,-0.178819,Psychroflexus,-0.178819
MTC21,"Monegros Desert, Spain",Lake & Pond,Archaea,100,Halohasta,-0.091016,UBA583,-0.194446
SPA+21,"Lake Varese, Italy",Lake & Pond,Bacteria,100,Chlorobium,-0.16957,Fonsibacter,-0.229723
PCL+18_Acidic,"New Zealand Hot Springs (Acidic)",Geothermal,Bacteria,100,Hydrogenobaculum,-0.231678,Acidithiobacillus_A,-0.145218
PCL+18_Acidic,"New Zealand Hot Springs (Acidic)",Geothermal,Archaea,100,ARK-15,-0.217965,JAFMDN01,-0.217479
PCL+18_Alkaline,"New Zealand Hot Springs (Alkaline)",Geothermal,Bacteria,100,Venenivibrio,-0.243541,Sulfurihydrogenibium,-0.237351
PCL+18_Alkaline,"New Zealand Hot Springs (Alkaline)",Geothermal,Archaea,100,ARK-15,-0.217965,DSFO01,-0.240156
GWS+20,"Eastern Tibetan Plateau",Geothermal,Bacteria,100,Thermus,-0.193672,Vogesella,-0.151142
GWS+20,"Eastern Tibetan Plateau",Geothermal,Archaea,100,CAKZTQ01,-0.182703,CAKZTQ01,-0.182703
PBU+20,"Uzon Caldera",Geothermal,Bacteria,100,Rothia,-0.133517,Bacillus,-0.185534
MWY+21,"Southern Tibetan Plateau",Geothermal,Bacteria,100,Thermostichus,-0.159577,Thermosynechococcus,-0.167586
MWY+21,"Southern Tibetan Plateau",Geothermal,Archaea,100,Methanothermobacter,-0.164765,Methanothermobacter,-0.164765
SBP+20,"CROMO 1",Hyperalkaline,Bacteria,100,Dethiobacter,-0.176418,Serpentinimonas,-0.142183
RMB+17,"Samail Ophiolite",Hyperalkaline,Bacteria,100,Meiothermus,-0.171418,Acinetobacter,-0.168641
RMB+17,"Samail Ophiolite",Hyperalkaline,Archaea,100,Methanobacterium_D,-0.205626,Nitrososphaera,-0.170957
