"study","name","envirotype","lineage","nsamp","Eh7min","Eh7max","slope","MOE95","intercept","pearson.r"
MLL+18,"Pearl River Estuary",River & Seawater,Bacteria,47,77.99,236.65,0.0147373,0.0289725,-0.155447,0.150973
HXZ+20,"Sansha Yongle Blue Hole",River & Seawater,Bacteria,21,-331,47,0.0190526,0.0336344,-0.159468,0.262464
GSBT20_Prefilter,"Port Microbes (Prefilter)",River & Seawater,Bacteria,60,35.39,300.82,-0.0139908,0.0261618,-0.155715,-0.139192
GSBT20_Prefilter,"Port Microbes (Prefilter)",River & Seawater,Archaea,5,75.91,133.3,0.293938,0.0850853,-0.159453,0.987816
GSBT20_Postfilter,"Port Microbes (Postfilter)",River & Seawater,Bacteria,54,57.34,293.94,-0.010719,0.0453419,-0.170246,-0.0656424
GSBT20_Postfilter,"Port Microbes (Postfilter)",River & Seawater,Archaea,12,70.3,200.25,0.296278,0.356876,-0.165109,0.504917
WHL+21,"Bahe River",River & Seawater,Bacteria,52,-106.56,192.61,-0.0102318,0.0234219,-0.161153,-0.123143
ZLH+22,"Nu River",River & Seawater,Bacteria,20,297.32,584.67,-0.00349577,0.0319641,-0.159403,-0.0540777
ZZL+21,"Maozhou River",River & Seawater,Bacteria,54,-88.7,238.87,0.0671237,0.0452351,-0.17125,0.381665
LWJ+21,"Plastisphere",River & Seawater,Bacteria,72,115.41,307.58,0.0117508,0.0436175,-0.156992,0.0640891
LWJ+21,"Plastisphere",River & Seawater,Archaea,16,158.65,292.3,-0.0365409,0.0738855,-0.120993,-0.272744
GZL21,"Three Gorges Reservoir",River & Seawater,Bacteria,50,184.58,398.37,-0.0451958,0.0558016,-0.148998,-0.228816
RARG22,"Taxco AMD",River & Seawater,Bacteria,27,271.53,542.72,0.0209507,0.0204127,-0.163166,0.389395
RARG22,"Taxco AMD",River & Seawater,Archaea,9,271.53,518.68,0.00589254,0.00348498,-0.194633,0.833943
SAR+13,"Microbial Mat, Kiritimati Atoll",Lake & Pond,Bacteria,22,-161.52,-2,0.196865,0.0612842,-0.131409,0.831767
SAR+13,"Microbial Mat, Kiritimati Atoll",Lake & Pond,Archaea,27,-161.52,-2,0.492983,0.141754,-0.120007,0.819972
LLC+19,"Xidong Reservoir, Xiamen",Lake & Pond,Bacteria,36,29,563,0.00853988,0.00639677,-0.159903,0.421863
BCA+21,"Ursu Lake, Romania",Lake & Pond,Bacteria,36,-433.66,231.18,0.028177,0.00612535,-0.166366,0.848481
HLZ+18,"Xiamen Reservoirs and Ponds",Lake & Pond,Bacteria,27,-3.99,522.71,0.000583593,0.0143737,-0.158526,0.0167217
BWD+19,"Keweenaw Waterway, Michigan",Lake & Pond,Bacteria,81,131.46,302.04,0.0194328,0.0219622,-0.171562,0.194372
IBK+22,"German Kettle Holes",Lake & Pond,Bacteria,37,116.95,455.32,0.0463331,0.0291599,-0.181544,0.47871
IBK+22,"German Kettle Holes",Lake & Pond,Archaea,38,116.95,455.32,-0.0175112,0.0132483,-0.191216,-0.407918
NLE+21,"Lake Kinneret, Israel",Lake & Pond,Bacteria,21,-224,276,-0.0100781,0.0101911,-0.169221,-0.428944
MTC21,"Monegros Desert, Spain",Lake & Pond,Bacteria,138,220.78,451.73,-0.0128543,0.028722,-0.152896,-0.0756742
MTC21,"Monegros Desert, Spain",Lake & Pond,Archaea,32,230.72,402.04,-0.323278,0.298254,-0.0608176,-0.374706
SPA+21,"Lake Varese, Italy",Lake & Pond,Bacteria,28,-169.39,407.57,-0.0172087,0.00885531,-0.164872,-0.616691
PCL+18_Acidic,"New Zealand Hot Springs (Acidic)",Geothermal,Bacteria,42,-386.33,240.37,0.0286219,0.048163,-0.172495,0.186571
PCL+18_Acidic,"New Zealand Hot Springs (Acidic)",Geothermal,Archaea,22,-368.63,144.9,0.0463915,0.0418365,-0.207465,0.459407
PCL+18_Alkaline,"New Zealand Hot Springs (Alkaline)",Geothermal,Bacteria,39,-301.29,262.43,0.0895194,0.0570748,-0.198007,0.463068
PCL+18_Alkaline,"New Zealand Hot Springs (Alkaline)",Geothermal,Archaea,9,-284.72,155.31,-0.0187374,0.0865509,-0.218208,-0.189964
GWS+20,"Eastern Tibetan Plateau",Geothermal,Bacteria,14,-282.33,108.16,0.166223,0.115392,-0.18181,0.671433
GWS+20,"Eastern Tibetan Plateau",Geothermal,Archaea,8,-109.36,108.16,0.105276,0.173736,-0.195871,0.517833
PBU+20,"Uzon Caldera",Geothermal,Bacteria,10,-156.08,293.33,0.0147744,0.0878486,-0.162266,0.135845
MWY+21,"Southern Tibetan Plateau",Geothermal,Bacteria,13,-149.44,10.96,0.0487955,0.0943203,-0.166599,0.324714
MWY+21,"Southern Tibetan Plateau",Geothermal,Archaea,9,-149.44,10.96,-0.0809329,0.152858,-0.192434,-0.427733
SBP+20,"CROMO 1",Hyperalkaline,Bacteria,24,-126.19,26.1,0.0614012,0.0482839,-0.151636,0.490109
RMB+17,"Samail Ophiolite",Hyperalkaline,Bacteria,19,-310.56,268.14,0.0179485,0.0248792,-0.165253,0.346313
RMB+17,"Samail Ophiolite",Hyperalkaline,Archaea,13,-118.25,268.14,0.00925022,0.0313142,-0.191357,0.192372
CTS+17,"Santa Elena Ophiolite",Hyperalkaline,Bacteria,32,-78.17,243.34,-0.0313505,0.0377871,-0.150891,-0.295535
CTS+17,"Santa Elena Ophiolite",Hyperalkaline,Archaea,32,-78.17,243.34,0.00434708,0.0217135,-0.185816,0.0744413
KSR+21,"Voltri Massif",Hyperalkaline,Bacteria,8,186.05,486.23,0.0102118,0.00959508,-0.154337,0.728411
PSB+21,"CROMO 2",Hyperalkaline,Bacteria,81,-129.14,222.5,0.0258108,0.0213043,-0.153769,0.261848
NTB+21,"Samail Ophiolite Packers",Hyperalkaline,Bacteria,8,-172.31,230.79,0.0844959,0.0264299,-0.183163,0.95431
NTB+21,"Samail Ophiolite Packers",Hyperalkaline,Archaea,5,193.37,230.79,-0.0418812,0.359028,-0.177378,-0.209574
KLM+16,"Sarnia nZVI Injection",Groundwater,Bacteria,28,-171.01,39.16,0.101338,0.060977,-0.163878,0.556587
WLJ+16,"Hetao Basin",Groundwater,Bacteria,16,-204.75,231.38,0.0250139,0.0327049,-0.161011,0.401525
WLJ+16,"Hetao Basin",Groundwater,Archaea,11,-192.22,153.49,-0.0583403,0.0973,-0.190584,-0.411974
ZDW+19,"Jianghan Plain",Groundwater,Bacteria,48,-170.52,-15.45,0.0334096,0.0632645,-0.163818,0.15484
ZDW+19,"Jianghan Plain",Groundwater,Archaea,39,-170.52,-15.45,-0.012456,0.0591937,-0.197934,-0.0699226
DJK+18,"Ohio Aquifers",Groundwater,Bacteria,89,-153.09,66.64,-0.00520227,0.0248861,-0.170985,-0.0445017
DJK+18,"Ohio Aquifers",Groundwater,Archaea,83,-153.09,66.64,0.0120808,0.00761189,-0.201791,0.33108
SRM+19,"Rayong Province",Groundwater,Bacteria,19,-364.14,246.38,0.0260084,0.0157689,-0.160757,0.644974
APV+20,"Mezquital Valley",Groundwater,Bacteria,24,-266.94,233.73,0.0929942,0.0366051,-0.177031,0.746902
APV+20,"Mezquital Valley",Groundwater,Archaea,11,55.11,223.95,0.019028,0.148733,-0.194781,0.0960234
YHK+20,"Hainich Critical Zone",Groundwater,Bacteria,33,159.2,433.21,0.052946,0.0197021,-0.192817,0.701522
ZCZ+21,"Po Plain",Groundwater,Bacteria,18,-89.37,416.75,-0.00011871,0.0161082,-0.15981,-0.00390567
MGW+22,"New Zealand Aquifers",Groundwater,Bacteria,71,-133.9,205.82,0.0209145,0.0180252,-0.16,0.268433
MGW+22,"New Zealand Aquifers",Groundwater,Archaea,69,-133.9,205.82,-0.0233019,0.011434,-0.191407,-0.44503
MCR+22,"Aquifer SE of Melbourne",Groundwater,Bacteria,24,-81.74,107.29,-0.00504161,0.124472,-0.1632,-0.017906
MCR+22,"Aquifer SE of Melbourne",Groundwater,Archaea,12,-38.42,107.29,-0.096005,0.165006,-0.188777,-0.379317
ZML+17,"Mai Po Wetland",Sediment,Bacteria,33,-41.62,379.07,-0.00861377,0.0177687,-0.162664,-0.17484
ZML+17,"Mai Po Wetland",Sediment,Archaea,33,-41.62,379.07,0.00482206,0.0144732,-0.19956,0.121144
BSPD17,"Baltic Sea Swedish Coast",Sediment,Bacteria,28,39.42,227.05,0.113182,0.168907,-0.195072,0.26078
