taxid	lineage	name	rank	SRR5803943	SRR5803944	SRR5803945	SRR5803946	SRR5803949	SRR5803950	SRR5803951	SRR5803952	SRR5803953	SRR5803954	SRR5803955	SRR5803956	SRR5803957	SRR5803958	SRR5803959	SRR5803960	SRR5803961	SRR5803962	SRR5803963	SRR5803964	SRR5803965	SRR5803966	SRR5803967	SRR5803968	SRR5803969	SRR5803970	SRR5803971	SRR5803972	SRR5803973	SRR5803984	SRR5803985	SRR5803986	SRR5803997	SRR5803998	SRR5803999	SRR5804000	SRR5804001	SRR5804002	SRR5804003	SRR5804004	SRR5804005	SRR5804006	SRR5804007	SRR5804008	SRR5804009	SRR5804010	SRR5804011	SRR5804012
0	null	Root	rootrank	2352	3221	493	1203	1989	3165	2432	1064	2949	516	5060	1452	1677	1417	826	2571	449	1014	850	992	4731	2023	1220	2039	706	2874	1420	2427	2111	6765	2956	987	6526	424	3532	4781	3032	9657	5874	1742	1551	1781	786	670	1153	1938	3230	2023
1966	Root;rootrank;Archaea;domain;	Archaea	domain	369	179	142	73	113	520	669	303	1058	152	689	488	311	250	209	1137	64	56	225	104	989	291	75	223	104	1463	61	797	478	2901	422	376	1907	38	972	2213	973	4572	1862	348	92	512	87	345	339	573	794	540
2970	Root;rootrank;Archaea;domain;Pacearchaeota;phylum;	Pacearchaeota	phylum	129	70	77	24	44	107	266	156	34	53	348	101	89	84	82	136	30	20	91	36	303	68	30	38	61	559	31	243	98	804	57	325	79	19	430	545	528	1110	919	146	54	320	45	150	180	127	376	201
2971	Root;rootrank;Archaea;domain;Pacearchaeota;phylum;Pacearchaeota Incertae Sedis AR13;genus;	Pacearchaeota Incertae Sedis AR13	genus	129	70	77	24	44	107	266	156	34	53	348	101	89	84	82	136	30	20	91	36	303	68	30	38	61	559	31	243	98	804	57	325	79	19	430	545	528	1110	919	146	54	320	45	150	180	127	376	201
2010	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;	Euryarchaeota	phylum	18	69	22	15	30	168	213	92	74	28	91	361	146	114	61	144	21	17	54	52	407	67	9	151	16	279	3	438	156	117	306	21	75	3	394	31	85	187	123	32	4	6	6	139	45	30	40	239
2072	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Methanomicrobia;class;	Methanomicrobia	class	10	67	14	6	22	21	18	72	38	7	53	185	111	96	7	72	19	14	22	46	313	14	6	134	7	92	1	361	28	34	287	17	44	1	370	17	53	117	38	9	3	2	3	111	15	11	17	224
2093	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Methanomicrobia;class;Methanosarcinales;order;	Methanosarcinales	order	10	36	12	4	15	8	7	70	17	6	50	170	55	89	0	41	18	12	21	35	307	7	5	64	6	30	1	217	26	15	173	15	18	1	292	16	49	36	31	7	2	0	2	84	14	5	14	170
2094	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Methanomicrobia;class;Methanosarcinales;order;Methanotrichaceae;family;	Methanotrichaceae	family	2	0	0	0	0	0	0	3	0	2	2	0	0	1	0	4	0	0	3	0	20	0	0	0	0	6	1	0	4	2	0	0	2	0	0	1	0	4	10	0	0	0	0	0	0	1	3	0
2095	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Methanomicrobia;class;Methanosarcinales;order;Methanotrichaceae;family;Methanothrix;genus;	Methanothrix	genus	2	0	0	0	0	0	0	3	0	2	2	0	0	1	0	4	0	0	3	0	20	0	0	0	0	6	1	0	4	2	0	0	2	0	0	1	0	4	10	0	0	0	0	0	0	1	3	0
2097	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Methanomicrobia;class;Methanosarcinales;order;Methanosarcinaceae;family;	Methanosarcinaceae	family	1	0	1	0	12	1	2	3	0	1	1	0	0	0	0	0	0	0	1	0	25	0	0	1	0	0	0	1	3	1	0	0	0	0	0	3	1	0	3	0	0	0	0	1	0	0	0	0
2106	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Methanomicrobia;class;Methanosarcinales;order;Methanosarcinaceae;family;Methanosarcina;genus;	Methanosarcina	genus	1	0	1	0	12	0	0	3	0	1	1	0	0	0	0	0	0	0	1	0	25	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
2104	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Methanomicrobia;class;Methanosarcinales;order;Methanosarcinaceae;family;Methanomethylovorans;genus;	Methanomethylovorans	genus	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0
-2094	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Methanomicrobia;class;Methanosarcinales;order;unclassified_Methanosarcinales;;	unclassified_Methanosarcinales		7	36	11	4	3	7	5	64	17	3	47	170	55	88	0	37	18	12	17	35	262	7	5	63	6	24	0	216	19	12	173	15	16	1	292	12	48	32	18	7	2	0	2	83	14	4	11	170
2076	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Methanomicrobia;class;Methanomicrobiales;order;	Methanomicrobiales	order	0	6	2	2	6	13	10	2	21	1	3	1	43	1	7	31	0	0	0	0	6	7	1	44	1	62	0	31	2	19	13	0	26	0	11	0	4	81	7	2	1	2	1	4	1	6	3	8
2990	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Methanomicrobia;class;Methanomicrobiales;order;Methanoregulaceae;family;	Methanoregulaceae	family	0	3	2	1	4	9	9	1	20	0	3	1	37	1	7	30	0	0	0	0	5	3	1	36	1	38	0	27	2	18	13	0	22	0	10	0	3	70	7	2	1	2	1	4	0	5	3	8
2092	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Methanomicrobia;class;Methanomicrobiales;order;Methanoregulaceae;family;Methanoregula;genus;	Methanoregula	genus	0	3	2	1	4	9	9	1	20	0	3	1	37	1	7	30	0	0	0	0	5	3	1	36	1	38	0	26	2	18	13	0	22	0	10	0	3	70	7	2	1	2	1	3	0	5	3	8
-2991	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Methanomicrobia;class;Methanomicrobiales;order;Methanoregulaceae;family;unclassified_Methanoregulaceae;;	unclassified_Methanoregulaceae		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2087	Root;rootrank;Archaea;domain;Euryarchaeota;phylum;Methanomicrobia;class;Methanomicrobiales;order;Methanospirillaceae;family;	Methanospirillaceae	family	0	3	0	1	2	4	1	1	1	1	0	0	6	0	0	1	0	0	0	0	1	4	0	8	0	24	0	4	0	1	0	0	4	0	1	0	1	11	0	0	0	0	0	0	1	1	0	0
