Name,Run,BioSample,Sample,Station,Latitude,Longitude,"Depth (cm)","Eh (mV)"
"Barents Sea",SRR11548077,SAMN14599701,"Barents sea mid116-1",5407,70,57.966667,0-1.5,190
"Barents Sea",SRR11548076,SAMN14599702,"Barents sea mid117-1",5407,70,57.966667,10-14,-160
"Barents Sea",SRR11548073,SAMN14599703,"Barents sea mid118-1",5412,72.883603,44.033456,0-2,226
"Barents Sea",SRR11548072,SAMN14599704,"Barents sea mid119-1",5412,72.883603,44.033456,10-14,-175
"Barents Sea",SRR11548071,SAMN14599705,"Barents sea mid120-1",5424,76.200069,62.483386,0-2,208
"Barents Sea",SRR11548070,SAMN14599706,"Barents sea mid121-1",5424,76.200069,62.483386,5-7,-147
"Barents Sea",SRR11548069,SAMN14599707,"Barents sea mid116-2",5424,76.200069,62.483386,19-24,-210
"Barents Sea",SRR11548068,SAMN14599708,"Barents sea mid117-2",5441,76.166714,17.483524,0-2,154
"Barents Sea",SRR11548067,SAMN14599709,"Barents sea mid118-2",5441,76.166714,17.483524,6-8,-150
"Barents Sea",SRR11548066,SAMN14599710,"Barents sea mid119-2",5454,80.583499,47.700038,0-3,147
"Barents Sea",SRR11548075,SAMN14599711,"Barents sea mid120-2",5454,80.583499,47.700038,7-9,125
"Barents Sea",SRR11548074,SAMN14599712,"Barents sea mid121-2",5454,80.583499,47.700038,8-22,-105
