name,Run,LibraryName,BioSample,SampleName,Marsh,Treatment,pH,"Redox (mV)"
"Urban Wetland Soils",SRR6206143,II_MESO_A_1,SAMN07827970,II.Acetate.site.1,"Iona Island",Acetate,7.09,-220
"Urban Wetland Soils",SRR6206144,II_MESO_A_2,SAMN07827971,II.Acetate.site.4,"Iona Island",Acetate,7.09,-220
"Urban Wetland Soils",SRR6206141,II_MESO_A_3,SAMN07827972,II.Acetate.site.6,"Iona Island",Acetate,7.09,-220
"Urban Wetland Soils",SRR6206142,II_MESO_A_4,SAMN07827973,II.Acetate.site.7,"Iona Island",Acetate,7.09,-220
"Urban Wetland Soils",SRR6206147,II_F_1,SAMN07827974,II.Field.Num.1,"Iona Island",Field,NA,NA
"Urban Wetland Soils",SRR6206148,II_F_2,SAMN07827975,II.Field.Num.2,"Iona Island",Field,NA,NA
"Urban Wetland Soils",SRR6206145,II_F_3,SAMN07827976,II.Field.Num.3,"Iona Island",Field,NA,NA
"Urban Wetland Soils",SRR6206146,II_F_4,SAMN07827977,II.Field.Num.4,"Iona Island",Field,NA,NA
"Urban Wetland Soils",SRR6206149,II_MESO_NC_1,SAMN07827978,II.NegCtrl.site.1,"Iona Island","No amendment",6.7,-89
"Urban Wetland Soils",SRR6206150,II_MESO_NC_2,SAMN07827979,II.NegCtrl.site.4,"Iona Island","No amendment",6.7,-89
"Urban Wetland Soils",SRR6206125,II_MESO_NC_3,SAMN07827980,II.NegCtrl.site.6,"Iona Island","No amendment",6.7,-89
"Urban Wetland Soils",SRR6206126,II_MESO_NC_4,SAMN07827981,II.NegCtrl.site.7,"Iona Island","No amendment",6.7,-89
"Urban Wetland Soils",SRR6206123,II_MESO_PRE_1,SAMN07827982,II.Preinc.site.1,"Iona Island",Pre-incubation,6.66,-215
"Urban Wetland Soils",SRR6206124,II_MESO_PRE_2,SAMN07827983,II.Preinc.site.4,"Iona Island",Pre-incubation,6.66,-215
"Urban Wetland Soils",SRR6206129,II_MESO_PRE_3,SAMN07827984,II.Preinc.site.6,"Iona Island",Pre-incubation,6.66,-215
"Urban Wetland Soils",SRR6206130,II_MESO_PRE_4,SAMN07827985,II.Preinc.site.7,"Iona Island",Pre-incubation,6.66,-215
"Urban Wetland Soils",SRR6206127,PM_MESO_A_1,SAMN07827986,PM.Acetate.site.3,Piermont,Acetate,7.74,-297
"Urban Wetland Soils",SRR6206128,PM_MESO_A_2,SAMN07827987,PM.Acetate.site.6,Piermont,Acetate,7.74,-297
"Urban Wetland Soils",SRR6206132,PM_MESO_A_3,SAMN07827988,PM.Acetate.site.7,Piermont,Acetate,7.74,-297
"Urban Wetland Soils",SRR6206133,PM_MESO_A_4,SAMN07827989,PM.Acetate.site.8,Piermont,Acetate,7.74,-297
"Urban Wetland Soils",SRR6206110,PM_F_1,SAMN07827990,PM.Field.Num1,Piermont,Field,NA,NA
