name,Run,BioSample,SampleName,DATE,Cover,"Cond (µS/cm)","Temp (°C)",pH,"ORP (mV)","DO (mg/L)"
"Keweenaw Waterway, Michigan",SRR7787953,SAMN09979989,Nov2rep2,Nov2,"Ice Free",74.3,8.9,8.02,177.4,11.4
"Keweenaw Waterway, Michigan",SRR7788208,SAMN09979992,Nov3rep2,Nov3,"Ice Free",73.3,8.8,8,246.1,11.39
"Keweenaw Waterway, Michigan",SRR7788204,SAMN09979996,Nov4rep3,Nov4,"Ice Free",75.7,9.3,8.05,222.6,11.52
"Keweenaw Waterway, Michigan",SRR7788215,SAMN09979999,Nov5rep3,Nov5,"Ice Free",76.8,9.6,8.23,209.6,11.45
"Keweenaw Waterway, Michigan",SRR7788092,SAMN09980001,Nov6rep2,Nov6,"Ice Free",74.2,9.1,8.01,221.2,11.58
"Keweenaw Waterway, Michigan",SRR7788094,SAMN09980003,Nov9rep1,Nov9,"Ice Free",72.6,8.7,8.15,175.3,11.48
"Keweenaw Waterway, Michigan",SRR7788098,SAMN09980007,Nov10rep2,Nov10,"Ice Free",72.4,8.4,7.96,155.8,11.56
"Keweenaw Waterway, Michigan",SRR7788101,SAMN09980010,Nov11rep2,Nov11,"Ice Free",72.1,8.2,8.08,203.4,11.61
"Keweenaw Waterway, Michigan",SRR7788217,SAMN09980012,Nov12rep1,Nov12,"Ice Free",72.9,8.3,8.02,183.2,11.5
"Keweenaw Waterway, Michigan",SRR7788213,SAMN09980016,Nov13rep2,Nov13,"Ice Free",72.1,7.7,8.01,178,11.66
"Keweenaw Waterway, Michigan",SRR7788211,SAMN09980018,Nov16rep1,Nov16,"Ice Free",72,7.3,7.98,171.3,11.81
"Keweenaw Waterway, Michigan",SRR7788113,SAMN09980022,Nov17rep2,Nov17,"Ice Free",74.1,8,NA,NA,11.7
"Keweenaw Waterway, Michigan",SRR7787951,SAMN09980024,Nov18rep1,Nov18,"Ice Free",74.9,8.2,NA,NA,11.56
"Keweenaw Waterway, Michigan",SRR7788080,SAMN09980029,Nov19rep3,Nov19,"Ice Free",73.7,7.7,NA,NA,11.94
"Keweenaw Waterway, Michigan",SRR7788182,SAMN09980030,Nov20rep1,Nov20,"Ice Free",74.8,6.8,8.07,96,11.96
"Keweenaw Waterway, Michigan",SRR7787990,SAMN09980034,Nov23rep3,Nov23,"Ice Free",67,5.2,8.1,147.5,12.43
"Keweenaw Waterway, Michigan",SRR7787993,SAMN09980035,Nov24rep1,Nov24,"Ice Free",64.2,4.6,NA,NA,4.21
"Keweenaw Waterway, Michigan",SRR7787994,SAMN09980038,Nov25rep1,Nov25,"Ice Free",64.8,4.6,7.72,167.2,12.28
"Keweenaw Waterway, Michigan",SRR7788115,SAMN09980041,Nov26rep1,Nov26,"Ice Free",65.8,4.5,8.1,207.6,12.14
"Keweenaw Waterway, Michigan",SRR7787973,SAMN09980044,Nov27rep1,Nov27,"Ice Free",64.6,4.1,7.88,156.7,12.59
"Keweenaw Waterway, Michigan",SRR7787968,SAMN09980047,Nov30rep3,Nov30,"Ice Free",64.1,3.3,7.8,135.5,12.46
"Keweenaw Waterway, Michigan",SRR7787969,SAMN09980048,Dec1rep1,Dec1,"Ice Free",65.1,3.4,7.71,134.9,12.49
"Keweenaw Waterway, Michigan",SRR7788006,SAMN09980052,Dec2rep2,Dec2,"Ice Free",65.2,3.4,8.05,146.8,12.64
"Keweenaw Waterway, Michigan",SRR7788011,SAMN09980055,Dec3rep2,Dec3,"Ice Free",66.3,3.3,7.96,137.3,12.31
"Keweenaw Waterway, Michigan",SRR7788009,SAMN09980057,Dec4rep2,Dec4,"Ice Free",65.3,3.2,7.43,201.2,12.7
"Keweenaw Waterway, Michigan",SRR7788068,SAMN09980060,Dec7rep2,Dec7,"Ice Free",62.5,3.2,7.72,182.8,12.82
"Keweenaw Waterway, Michigan",SRR7788034,SAMN09980062,Dec8rep1,Dec8,"Ice Free",62.3,3.1,7.54,149.1,12.79
"Keweenaw Waterway, Michigan",SRR7788027,SAMN09980067,Dec9rep3,Dec9,"Ice Free",64.5,3.4,7.86,149.6,12.68
"Keweenaw Waterway, Michigan",SRR7788038,SAMN09980070,Dec10rep3,Dec10,"Ice Free",64.3,3.7,7.67,163.8,12.54
