Name,Run,BioSample,SampleName,Domain,Soil,Treatment,"Eh (mV)"
"Paddy Soil Methanogenesis Inhibition",SRR16068799,SAMN21619744,FYBES1,Bacteria,Fengyang,BES,-116
"Paddy Soil Methanogenesis Inhibition",SRR16068798,SAMN21619745,FYBES2,Bacteria,Fengyang,BES,-116
"Paddy Soil Methanogenesis Inhibition",SRR16068797,SAMN21619746,FYBES3,Bacteria,Fengyang,BES,-116
"Paddy Soil Methanogenesis Inhibition",SRR16068810,SAMN21619741,FYCK1,Bacteria,Fengyang,Control,-75
"Paddy Soil Methanogenesis Inhibition",SRR16068809,SAMN21619742,FYCK2,Bacteria,Fengyang,Control,-75
"Paddy Soil Methanogenesis Inhibition",SRR16068800,SAMN21619743,FYCK3,Bacteria,Fengyang,Control,-75
"Paddy Soil Methanogenesis Inhibition",SRR16068803,SAMN21619756,SYBES1,Bacteria,Shuyang,BES,-105
"Paddy Soil Methanogenesis Inhibition",SRR16068802,SAMN21619757,SYBES2,Bacteria,Shuyang,BES,-105
"Paddy Soil Methanogenesis Inhibition",SRR16068801,SAMN21619758,SYBES3,Bacteria,Shuyang,BES,-105
"Paddy Soil Methanogenesis Inhibition",SRR16068806,SAMN21619753,SYCK1,Bacteria,Shuyang,Control,-73
"Paddy Soil Methanogenesis Inhibition",SRR16068805,SAMN21619754,SYCK2,Bacteria,Shuyang,Control,-73
"Paddy Soil Methanogenesis Inhibition",SRR16068804,SAMN21619755,SYCK3,Bacteria,Shuyang,Control,-73
"Paddy Soil Methanogenesis Inhibition",SRR16068793,SAMN21619750,TCBES1,Bacteria,Tancheng,BES,-154
"Paddy Soil Methanogenesis Inhibition",SRR16068808,SAMN21619751,TCBES2,Bacteria,Tancheng,BES,-154
"Paddy Soil Methanogenesis Inhibition",SRR16068807,SAMN21619752,TCBES3,Bacteria,Tancheng,BES,-154
"Paddy Soil Methanogenesis Inhibition",SRR16068796,SAMN21619747,TCCK1,Bacteria,Tancheng,Control,-150
"Paddy Soil Methanogenesis Inhibition",SRR16068795,SAMN21619748,TCCK2,Bacteria,Tancheng,Control,-150
"Paddy Soil Methanogenesis Inhibition",SRR16068794,SAMN21619749,TCCK3,Bacteria,Tancheng,Control,-150
"Paddy Soil Methanogenesis Inhibition",SRR16080032,SAMN21849951,AFYBES1,Archaea,Fengyang,BES,-116
"Paddy Soil Methanogenesis Inhibition",SRR16080031,SAMN21849952,AFYBES2,Archaea,Fengyang,BES,-116
"Paddy Soil Methanogenesis Inhibition",SRR16080030,SAMN21849953,AFYBES3,Archaea,Fengyang,BES,-116
"Paddy Soil Methanogenesis Inhibition",SRR16080043,SAMN21849948,AFYCK1,Archaea,Fengyang,Control,-75
"Paddy Soil Methanogenesis Inhibition",SRR16080042,SAMN21849949,AFYCK2,Archaea,Fengyang,Control,-75
"Paddy Soil Methanogenesis Inhibition",SRR16080033,SAMN21849950,AFYCK3,Archaea,Fengyang,Control,-75
"Paddy Soil Methanogenesis Inhibition",SRR16080036,SAMN21849963,ASYBES1,Archaea,Shuyang,BES,-105
"Paddy Soil Methanogenesis Inhibition",SRR16080035,SAMN21849964,ASYBES2,Archaea,Shuyang,BES,-105
"Paddy Soil Methanogenesis Inhibition",SRR16080034,SAMN21849965,ASYBES3,Archaea,Shuyang,BES,-105
"Paddy Soil Methanogenesis Inhibition",SRR16080039,SAMN21849960,ASYCK1,Archaea,Shuyang,Control,-73
"Paddy Soil Methanogenesis Inhibition",SRR16080038,SAMN21849961,ASYCK2,Archaea,Shuyang,Control,-73
"Paddy Soil Methanogenesis Inhibition",SRR16080037,SAMN21849962,ASYCK3,Archaea,Shuyang,Control,-73
"Paddy Soil Methanogenesis Inhibition",SRR16080026,SAMN21849957,ATCBES1,Archaea,Tancheng,BES,-154
"Paddy Soil Methanogenesis Inhibition",SRR16080041,SAMN21849958,ATCBES2,Archaea,Tancheng,BES,-154
"Paddy Soil Methanogenesis Inhibition",SRR16080040,SAMN21849959,ATCBES3,Archaea,Tancheng,BES,-154
"Paddy Soil Methanogenesis Inhibition",SRR16080029,SAMN21849954,ATCCK1,Archaea,Tancheng,Control,-150
"Paddy Soil Methanogenesis Inhibition",SRR16080028,SAMN21849955,ATCCK2,Archaea,Tancheng,Control,-150
"Paddy Soil Methanogenesis Inhibition",SRR16080027,SAMN21849956,ATCCK3,Archaea,Tancheng,Control,-150
