name,Run,BioSample,SampleID,Aquifer,Filter,Date,"ORP (mV)",pH,"Specific Conductivity","Temp (° C)","Arsenic (ug/L)"
"Ohio Aquifers",XA22,NA,"Athens 0.2 10/27/15",Athens,0.2,2015-10-27,-172,7.49,1450,14.2,2.8
"Ohio Aquifers",TG22,NA,"Greene 0.2 4/2016",Greene,0.2,2016-04-13,23,NA,663,11.7,0
"Ohio Aquifers",TL22,NA,"Licking 0.2 4/2016",Licking,0.2,2016-04-13,-66,NA,794,11.5,6.3
"Ohio Aquifers",TA12,NA,"Athens 0.1 4/2016",Athens,0.1,2016-04-13,-164,NA,1322,13.9,3
"Ohio Aquifers",PA22,NA,"Athens 0.2 7/2016",Athens,0.2,2016-07-19,-165,7.5,1387,14.4,2.7
"Ohio Aquifers",TL12,NA,"Licking 0.1 4/2016",Licking,0.1,2016-04-13,-66,NA,794,11.5,6.3
"Ohio Aquifers",HA22,NA,"Athens 0.2 2/2016",Athens,0.2,2016-02-02,-166,7.54,1351,14.1,2.9
"Ohio Aquifers",HG12,NA,"Greene 0.1 2/2016",Greene,0.1,2016-02-02,21,7.29,658,11.8,0
"Ohio Aquifers",TG11,NA,"Greene 0.1 4/2016",Greene,0.1,2016-04-13,23,NA,663,11.7,0
"Ohio Aquifers",HA12,NA,"Athens 0.1 2/2016",Athens,0.1,2016-02-02,-166,7.54,1351,14.1,2.9
"Ohio Aquifers",HG22,NA,"Greene 0.2 2/2016",Greene,0.2,2016-02-02,21,7.29,658,11.8,0
"Ohio Aquifers",PL22,NA,"Licking 0.2 7/2016",Licking,0.2,2016-07-19,-88,7.32,796,12,6
"Ohio Aquifers",HG11,NA,"Greene 0.1 2/2016",Greene,0.1,2016-02-02,21,7.29,658,11.8,0
"Ohio Aquifers",TA22,NA,"Athens 0.2 4/2016",Athens,0.2,2016-04-13,-164,NA,1322,13.9,3
"Ohio Aquifers",TL21,NA,"Licking 0.2 4/2016",Licking,0.2,2016-04-13,-66,NA,794,11.5,6.3
"Ohio Aquifers",PA12,NA,"Athens 0.1 7/2016",Athens,0.1,2016-07-19,-165,7.5,1387,14.4,2.7
"Ohio Aquifers",PG11,NA,"Greene 0.1 7/2016",Greene,0.1,2016-07-19,-14,7.26,661,12.1,0
"Ohio Aquifers",XG22,NA,"Greene 0.2 10/27/15",Greene,0.2,2015-10-27,23,7.25,653,11.8,0
"Ohio Aquifers",XG21,NA,"Greene 0.2 10/27/15",Greene,0.2,2015-10-27,23,7.25,653,11.8,0
"Ohio Aquifers",4G21,NA,"Greene 0.2 4/15/15",Greene,0.2,2015-04-15,16,7.25,648,11.8,0
"Ohio Aquifers",7G22,NA,"Greene 0.2 7/22/15",Greene,0.2,2015-07-22,38,7.15,658,12,0
"Ohio Aquifers",7A22,NA,"Athens 0.2 7/22/15",Athens,0.2,2015-07-22,-180,7.47,1434,15.4,3.1
"Ohio Aquifers",TG21,NA,"Greene 0.2 4/2016",Greene,0.2,2016-04-13,23,NA,663,11.7,0
"Ohio Aquifers",PG22,NA,"Greene 0.2 7/2016",Greene,0.2,2016-07-19,-14,7.26,661,12.1,0
"Ohio Aquifers",PG21,NA,"Greene 0.2 7/2016",Greene,0.2,2016-07-19,-14,7.26,661,12.1,0
"Ohio Aquifers",PL12,NA,"Licking 0.1 7/2016",Licking,0.1,2016-07-19,-88,7.32,796,12,6
"Ohio Aquifers",XB06,NA,"Licking 0.1 7/8/14",Licking,0.1,2014-07-08,-109,7.38,771,12,5.7
"Ohio Aquifers",YA01,NA,"Greene 0.2 10/7/14",Greene,0.2,2014-10-07,12,7.21,646,12,0
"Ohio Aquifers",YB01,NA,"Greene 0.2 10/7/14",Greene,0.2,2014-10-07,12,7.21,646,12,0
"Ohio Aquifers",XA01,NA,"Greene 0.2 7/8/14",Greene,0.2,2014-07-08,14,7.27,646,12.3,0
"Ohio Aquifers",7G21,NA,"Greene 0.2 7/22/15",Greene,0.2,2015-07-22,38,7.15,658,12,0
"Ohio Aquifers",YB02,NA,"Greene 0.1 10/7/14",Greene,0.1,2014-10-07,12,7.21,646,12,0
"Ohio Aquifers",4G22,NA,"Greene 0.2 4/15/15",Greene,0.2,2015-04-15,16,7.25,648,11.8,0
