name,Run,BioSample,sample,Date,Source,Treatment,"Day past transplant","ORP (mV)",pH
"Paddy Soil Amendments 1",SRR13375755,SAMN17245293,1AB,2016-06-22,"bulk soil",control,20,73,7.53
"Paddy Soil Amendments 1",SRR13375744,SAMN17245294,2AB,2016-06-22,"bulk soil",char,20,69,7.6
"Paddy Soil Amendments 1",SRR13375731,SAMN17245295,3AB,2016-06-22,"bulk soil",silicate,20,46,7.54
"Paddy Soil Amendments 1",SRR13375716,SAMN17245296,4AB,2016-06-22,"bulk soil",char,20,69,7.6
"Paddy Soil Amendments 1",SRR13375702,SAMN17245297,5AB,2016-06-22,"bulk soil",husk,20,-24,7.11
"Paddy Soil Amendments 1",SRR13375689,SAMN17245298,6AB,2016-06-22,"bulk soil",silicate,20,46,7.54
"Paddy Soil Amendments 1",SRR13375819,SAMN17245299,7AB,2016-06-22,"bulk soil",husk,20,-24,7.11
"Paddy Soil Amendments 1",SRR13375808,SAMN17245300,8AB,2016-06-22,"bulk soil",husk,20,-24,7.11
"Paddy Soil Amendments 1",SRR13375799,SAMN17245301,9AB,2016-06-22,"bulk soil",control,20,73,7.53
"Paddy Soil Amendments 1",SRR13375829,SAMN17245302,10AB,2016-06-22,"bulk soil",control,20,73,7.53
"Paddy Soil Amendments 1",SRR13375777,SAMN17245303,11AB,2016-06-22,"bulk soil",silicate,20,46,7.54
"Paddy Soil Amendments 1",SRR13375766,SAMN17245304,12AB,2016-06-22,"bulk soil",char,20,69,7.6
"Paddy Soil Amendments 1",SRR13375754,SAMN17245305,1AH,2016-06-22,"rhizosphere soil",control,20,73,7.53
"Paddy Soil Amendments 1",SRR13375743,SAMN17245306,2AH,2016-06-22,"rhizosphere soil",char,20,69,7.6
"Paddy Soil Amendments 1",SRR13375729,SAMN17245307,3AH,2016-06-22,"rhizosphere soil",silicate,20,46,7.54
"Paddy Soil Amendments 1",SRR13375715,SAMN17245308,4AH,2016-06-22,"rhizosphere soil",char,20,69,7.6
"Paddy Soil Amendments 1",SRR13375701,SAMN17245309,5AH,2016-06-22,"rhizosphere soil",husk,20,-24,7.11
"Paddy Soil Amendments 1",SRR13375688,SAMN17245310,6AH,2016-06-22,"rhizosphere soil",silicate,20,46,7.54
"Paddy Soil Amendments 1",SRR13375818,SAMN17245311,7AH,2016-06-22,"rhizosphere soil",husk,20,-24,7.11
"Paddy Soil Amendments 1",SRR13375807,SAMN17245312,8AH,2016-06-22,"rhizosphere soil",husk,20,-24,7.11
"Paddy Soil Amendments 1",SRR13375798,SAMN17245313,9AH,2016-06-22,"rhizosphere soil",control,20,73,7.53
"Paddy Soil Amendments 1",SRR13375828,SAMN17245314,10AH,2016-06-22,"rhizosphere soil",control,20,73,7.53
"Paddy Soil Amendments 1",SRR13375776,SAMN17245315,11AH,2016-06-22,"rhizosphere soil",silicate,20,46,7.54
"Paddy Soil Amendments 1",SRR13375765,SAMN17245316,12AH,2016-06-22,"rhizosphere soil",char,20,69,7.6
"Paddy Soil Amendments 1",SRR13375742,SAMN17245317,2AP,2016-06-22,"iron plaque",char,20,69,7.6
"Paddy Soil Amendments 1",SRR13375728,SAMN17245318,3AP,2016-06-22,"iron plaque",silicate,20,46,7.54
"Paddy Soil Amendments 1",SRR13375700,SAMN17245319,5AP,2016-06-22,"iron plaque",husk,20,-24,7.11
"Paddy Soil Amendments 1",SRR13375753,SAMN17245320,1BB,2016-07-14,"bulk soil",control,42,93,7.87
"Paddy Soil Amendments 1",SRR13375740,SAMN17245321,2BB,2016-07-14,"bulk soil",char,42,94,7.92
"Paddy Soil Amendments 1",SRR13375727,SAMN17245322,3BB,2016-07-14,"bulk soil",silicate,42,51,7.68
"Paddy Soil Amendments 1",SRR13375714,SAMN17245323,4BB,2016-07-14,"bulk soil",char,42,94,7.92
"Paddy Soil Amendments 1",SRR13375699,SAMN17245324,5BB,2016-07-14,"bulk soil",husk,42,10,7.47
"Paddy Soil Amendments 1",SRR13375687,SAMN17245325,6BB,2016-07-14,"bulk soil",silicate,42,51,7.68
"Paddy Soil Amendments 1",SRR13375817,SAMN17245326,7BB,2016-07-14,"bulk soil",husk,42,10,7.47
"Paddy Soil Amendments 1",SRR13375806,SAMN17245327,8BB,2016-07-14,"bulk soil",husk,42,10,7.47
"Paddy Soil Amendments 1",SRR13375797,SAMN17245328,9BB,2016-07-14,"bulk soil",control,42,93,7.87
"Paddy Soil Amendments 1",SRR13375774,SAMN17245329,10BB,2016-07-14,"bulk soil",control,42,93,7.87
"Paddy Soil Amendments 1",SRR13375764,SAMN17245330,12BB,2016-07-14,"bulk soil",char,42,94,7.92
"Paddy Soil Amendments 1",SRR13375751,SAMN17245331,1BH,2016-07-14,"rhizosphere soil",control,42,93,7.87
"Paddy Soil Amendments 1",SRR13375739,SAMN17245332,2BH,2016-07-14,"rhizosphere soil",char,42,94,7.92
"Paddy Soil Amendments 1",SRR13375726,SAMN17245333,3BH,2016-07-14,"rhizosphere soil",silicate,42,51,7.68
"Paddy Soil Amendments 1",SRR13375713,SAMN17245334,4BH,2016-07-14,"rhizosphere soil",char,42,94,7.92
"Paddy Soil Amendments 1",SRR13375698,SAMN17245335,5BH,2016-07-14,"rhizosphere soil",husk,42,10,7.47
"Paddy Soil Amendments 1",SRR13375826,SAMN17245336,6BH,2016-07-14,"rhizosphere soil",silicate,42,51,7.68
"Paddy Soil Amendments 1",SRR13375796,SAMN17245337,9BH,2016-07-14,"rhizosphere soil",control,42,93,7.87
"Paddy Soil Amendments 1",SRR13375763,SAMN17245338,10BH,2016-07-14,"rhizosphere soil",control,42,93,7.87
"Paddy Soil Amendments 1",SRR13375775,SAMN17245339,11BH,2016-07-14,"rhizosphere soil",silicate,42,51,7.68
"Paddy Soil Amendments 1",SRR13375762,SAMN17245340,12BH,2016-07-14,"rhizosphere soil",char,42,94,7.92
"Paddy Soil Amendments 1",SRR13375712,SAMN17245341,4BP,2016-07-14,"iron plaque",char,42,94,7.92
"Paddy Soil Amendments 1",SRR13375696,SAMN17245342,5BP,2016-07-14,"iron plaque",husk,42,10,7.47
"Paddy Soil Amendments 1",SRR13375815,SAMN17245343,7BP,2016-07-14,"iron plaque",husk,42,10,7.47
"Paddy Soil Amendments 1",SRR13375752,SAMN17245344,10BP,2016-07-14,"iron plaque",control,42,93,7.87
"Paddy Soil Amendments 1",SRR13375773,SAMN17245345,11BP,2016-07-14,"iron plaque",silicate,42,51,7.68
"Paddy Soil Amendments 1",SRR13375761,SAMN17245346,12BP,2016-07-14,"iron plaque",char,42,94,7.92
"Paddy Soil Amendments 1",SRR13375750,SAMN17245347,1CB,2016-08-12,"bulk soil",control,71,113,7.92
"Paddy Soil Amendments 1",SRR13375738,SAMN17245348,2CB,2016-08-12,"bulk soil",char,71,177,7.97
"Paddy Soil Amendments 1",SRR13375725,SAMN17245349,3CB,2016-08-12,"bulk soil",silicate,71,132,7.83
"Paddy Soil Amendments 1",SRR13375711,SAMN17245350,4CB,2016-08-12,"bulk soil",char,71,177,7.97
"Paddy Soil Amendments 1",SRR13375825,SAMN17245351,6CB,2016-08-12,"bulk soil",silicate,71,132,7.83
"Paddy Soil Amendments 1",SRR13375814,SAMN17245352,7CB,2016-08-12,"bulk soil",husk,71,23,7.72
"Paddy Soil Amendments 1",SRR13375804,SAMN17245353,8CB,2016-08-12,"bulk soil",husk,71,23,7.72
"Paddy Soil Amendments 1",SRR13375795,SAMN17245354,9CB,2016-08-12,"bulk soil",control,71,113,7.92
"Paddy Soil Amendments 1",SRR13375741,SAMN17245355,10CB,2016-08-12,"bulk soil",control,71,113,7.92
"Paddy Soil Amendments 1",SRR13375772,SAMN17245356,11CB,2016-08-12,"bulk soil",silicate,71,132,7.83
"Paddy Soil Amendments 1",SRR13375760,SAMN17245357,12CB,2016-08-12,"bulk soil",char,71,177,7.97
"Paddy Soil Amendments 1",SRR13375737,SAMN17245358,2CH,2016-08-12,"rhizosphere soil",char,71,177,7.97
"Paddy Soil Amendments 1",SRR13375724,SAMN17245359,3CH,2016-08-12,"rhizosphere soil",silicate,71,132,7.83
"Paddy Soil Amendments 1",SRR13375710,SAMN17245360,4CH,2016-08-12,"rhizosphere soil",char,71,177,7.97
"Paddy Soil Amendments 1",SRR13375695,SAMN17245361,5CH,2016-08-12,"rhizosphere soil",husk,71,23,7.72
"Paddy Soil Amendments 1",SRR13375824,SAMN17245362,6CH,2016-08-12,"rhizosphere soil",silicate,71,132,7.83
"Paddy Soil Amendments 1",SRR13375813,SAMN17245363,7CH,2016-08-12,"rhizosphere soil",husk,71,23,7.72
"Paddy Soil Amendments 1",SRR13375803,SAMN17245364,8CH,2016-08-12,"rhizosphere soil",husk,71,23,7.72
"Paddy Soil Amendments 1",SRR13375793,SAMN17245365,9CH,2016-08-12,"rhizosphere soil",control,71,113,7.92
"Paddy Soil Amendments 1",SRR13375730,SAMN17245366,10CH,2016-08-12,"rhizosphere soil",control,71,113,7.92
"Paddy Soil Amendments 1",SRR13375771,SAMN17245367,11CH,2016-08-12,"rhizosphere soil",silicate,71,132,7.83
"Paddy Soil Amendments 1",SRR13375759,SAMN17245368,12CH,2016-08-12,"rhizosphere soil",char,71,177,7.97
"Paddy Soil Amendments 1",SRR13375749,SAMN17245369,1CP,2016-08-12,"iron plaque",control,71,113,7.92
"Paddy Soil Amendments 1",SRR13375736,SAMN17245370,2CP,2016-08-12,"iron plaque",char,71,177,7.97
"Paddy Soil Amendments 1",SRR13375723,SAMN17245371,3CP,2016-08-12,"iron plaque",silicate,71,132,7.83
