Name,Run,BioSample,Sample,Station,"Depth (m)",ID,date,"DO (mL L-1)","T (°C)","Redox (mV)"
"Humboldt Sulfuretum",SRR1610540,SAMN03085083,STA1-DEC_07,1,15,VAG_0001_2007_12_20,2007-12-20,0.05,10,-243
"Humboldt Sulfuretum",SRR1610794,SAMN03085306,STA1-APR_08,1,15,VAG_0005_2008_04_01,2007-04-01,NA,NA,-270
"Humboldt Sulfuretum",SRR1610807,SAMN03085335,STA1-SEP_08,1,15,VAG_0009_2008_09_29,2008-09-29,4.3,12.77,-50
"Humboldt Sulfuretum",SRR1610813,SAMN03085414,STA1-JAN_09,1,15,VAG_0013_2009_01_20,2009-01-20,0.59,12.8,-311
"Humboldt Sulfuretum",SRR1610590,SAMN03085298,STA4-DEC_07,4,27,VAG_0002_2007_12_20,2007-12-20,2.39,9.75,-238
"Humboldt Sulfuretum",SRR1610797,SAMN03085324,STA4-APR_08,4,27,VAG_0006_2008_04_01,2007-04-01,NA,NA,-280
"Humboldt Sulfuretum",SRR1610810,SAMN03085337,STA4-SEP_08,4,27,VAG_0010_2008_09_29,2008-09-29,1.3,11.44,-113
"Humboldt Sulfuretum",SRR1610814,SAMN03085418,STA4-JAN_09,4,27,VAG_0014_2009_01_20,2009-01-20,0.2,13.6,-171
"Humboldt Sulfuretum",SRR1610594,SAMN03085300,STA7-DEC_07,7,35,VAG_0003_2007_12_20,2007-12-20,0.38,9.85,NA
"Humboldt Sulfuretum",SRR1610800,SAMN03085328,STA7-APR_08,7,35,VAG_0007_2008_04_01,2007-04-01,NA,NA,-118
"Humboldt Sulfuretum",SRR1610811,SAMN03085368,STA7-SEP_08,7,35,VAG_0011_2008_09_29,2008-09-29,0.19,11.58,3
"Humboldt Sulfuretum",SRR1610815,SAMN03085420,STA7-JAN_09,7,35,VAG_0015_2009_01_20,2009-01-20,0.27,11.8,-234
"Humboldt Sulfuretum",SRR1610596,SAMN03085303,STA18-DEC_07,18,88,VAG_0004_2008_01_08,2007-01-08,0.11,10,-164
"Humboldt Sulfuretum",SRR1610801,SAMN03085331,STA18-APR_08,18,88,VAG_0008_2008_04_21,2008-04-01,1.29,10.74,-108
"Humboldt Sulfuretum",SRR1610812,SAMN03085413,STA18-SEP_08,18,88,VAG_0012_2008_09_23,2008-09-23,0.24,10.48,-131
"Humboldt Sulfuretum",SRR1610816,SAMN03085421,STA18-JAN_09,18,88,VAG_0016_2009_01_15,2009-01-15,NA,NA,-102
