name,Run,BioSample,sample,Location,Type,"Sampling date","T (°C)","Cond (μS/cm)",pH,"ORP (mV)","DO (mg/L)"
"Xiamen Reservoirs and Ponds",SRR6037836,SAMN07638069,JM221703,Tingxi,Reservoir,2017-03-14,17.99,14.7,8.01,352,9.72
"Xiamen Reservoirs and Ponds",SRR6037837,SAMN07638070,JM231703,Tingxi,Reservoir,2017-03-23,17.69,14.1,7.5,383,9.86
"Xiamen Reservoirs and Ponds",SRR6037838,SAMN07638071,JM241703,Tingxi,Reservoir,2017-04-01,19.27,16,7.74,453,10.24
"Xiamen Reservoirs and Ponds",SRR6037839,SAMN07638072,JM251703,Shidou,Reservoir,2017-04-06,21.16,23.8,8.37,416,9.92
"Xiamen Reservoirs and Ponds",SRR6037840,SAMN07638073,JM261703,Shidou,Reservoir,2017-04-06,21.16,23.9,8.36,417,9.9
"Xiamen Reservoirs and Ponds",SRR6037845,SAMN07638074,JM271703,Shidou,Reservoir,2017-04-06,21.07,23.8,8.38,421,9.92
"Xiamen Reservoirs and Ponds",SRR6037844,SAMN07638075,JM281703,Bantou,Reservoir,2017-04-06,23.34,30.3,8.78,418,10.21
"Xiamen Reservoirs and Ponds",SRR6037847,SAMN07638076,JM291703,Bantou,Reservoir,2017-04-06,22.7,29.2,8.87,387,10.45
"Xiamen Reservoirs and Ponds",SRR6037846,SAMN07638077,JM301703,Bantou,Reservoir,2017-04-06,22.68,29.8,8.99,382,10.46
"Xiamen Reservoirs and Ponds",SRR6037842,SAMN07638078,JM381703,Tingxi,Reservoir,2017-04-12,22.86,21,8.07,408,9.49
"Xiamen Reservoirs and Ponds",SRR6037841,SAMN07638079,JM391703,Tingxi,Reservoir,2017-04-12,22.99,19.7,8.12,409,9.5
"Xiamen Reservoirs and Ponds",SRR6037843,SAMN07638080,JM401703,Tingxi,Reservoir,2017-04-12,23.29,19.8,8.27,403,9.34
"Xiamen Reservoirs and Ponds",SRR6037825,SAMN07638054,JM521703,P1,Pond,2017-03-15,18.3,535,7.63,-29,4.54
"Xiamen Reservoirs and Ponds",SRR6037826,SAMN07638055,JM531703,P2,Pond,2017-03-15,18.3,349,8.85,-99,7.6
"Xiamen Reservoirs and Ponds",SRR6037827,SAMN07638056,JM541703,P3,Pond,2017-03-15,17.9,1069,7.62,-29,0.58
"Xiamen Reservoirs and Ponds",SRR6037828,SAMN07638057,JM551703,P4,Pond,2017-03-15,17.4,526,6.8,9,2.62
"Xiamen Reservoirs and Ponds",SRR6037821,SAMN07638058,JM561703,P5,Pond,2017-03-15,16.8,559,7.02,-2,2.35
"Xiamen Reservoirs and Ponds",SRR6037822,SAMN07638059,JM571703,P6,Pond,2017-03-15,19.1,539,7.27,-17,1.4
"Xiamen Reservoirs and Ponds",SRR6037823,SAMN07638060,JM581703,P7,Pond,2017-03-15,18.8,766,9.12,-126,3.6
"Xiamen Reservoirs and Ponds",SRR6037824,SAMN07638061,JM591703,P8,Pond,2017-03-15,18,1002,7.71,-45,1.6
"Xiamen Reservoirs and Ponds",SRR6037829,SAMN07638062,JM601703,P9,Pond,2017-03-16,16.1,635,7.64,-36,0.6
"Xiamen Reservoirs and Ponds",SRR6037830,SAMN07638063,JM611703,P10,Pond,2017-03-16,16.6,513,7.46,-24,1.6
"Xiamen Reservoirs and Ponds",SRR6037831,SAMN07638064,JM621703,P11,Pond,2017-03-16,15.7,447,7.69,-38,1.5
"Xiamen Reservoirs and Ponds",SRR6037832,SAMN07638065,JM631703,P12,Pond,2017-03-16,15,525,7.15,-7,0.5
"Xiamen Reservoirs and Ponds",SRR6037833,SAMN07638066,JM661703,P13,Pond,2017-03-16,17,389,7.34,-17,1.3
"Xiamen Reservoirs and Ponds",SRR6037834,SAMN07638067,JM701703,P15,Pond,2017-03-16,13.2,760,8.99,-114,2.1
"Xiamen Reservoirs and Ponds",SRR6037835,SAMN07638068,JM711703,P16,Pond,2017-03-16,14.6,1063,7.68,-42,1.2
