Name,Run,BioSample,LibraryName,SampleName,Location,"Sample Type","Depositional Setting","Depth (cm)",pH,"Eh (mV)"
"Aldabra Atoll",SRR11295435,SAMN14343437,ALD_CC_K01_01_DNA_Bac,ALD_CC_K01_01,"Cinq Cases",sediment,pool,0,6.998,-41
"Aldabra Atoll",SRR11295431,SAMN14343438,ALD_CC_K01_02_b_DNA_Bac,ALD_CC_K01_02,"Cinq Cases",sediment,pool,2.5,6.998,-41
"Aldabra Atoll",SRR11295425,SAMN14343439,ALD_CC_K01_03_a_DNA_Bac,ALD_CC_K01_03,"Cinq Cases",sediment,pool,5,6.9,85
"Aldabra Atoll",SRR11295418,SAMN14343440,ALD_CC_K01_04_a_DNA_Bac,ALD_CC_K01_04,"Cinq Cases",sediment,pool,7.5,6.863,126
"Aldabra Atoll",SRR11295412,SAMN14343441,ALD_CC_K01_05_a_DNA_Bac,ALD_CC_K01_05,"Cinq Cases",sediment,pool,10,6.909,132
"Aldabra Atoll",SRR11295403,SAMN14343442,ALD_CC_K01_06_b_DNA_Bac,ALD_CC_K01_06,"Cinq Cases",sediment,pool,12.5,6.959,148
"Aldabra Atoll",SRR11295397,SAMN14343443,ALD_CC_K01_07_a_DNA_Bac,ALD_CC_K01_07,"Cinq Cases",sediment,pool,15,6.95,147
"Aldabra Atoll",SRR11295494,SAMN14343444,ALD_CC_K01_08_a_DNA_Bac,ALD_CC_K01_08,"Cinq Cases",sediment,pool,17.5,6.95,147
"Aldabra Atoll",SRR11295231,SAMN14343445,ALD_CC_K01_09_a_DNA_Bac,ALD_CC_K01_09,"Cinq Cases",sediment,pool,20,6.867,151
"Aldabra Atoll",SRR11295104,SAMN14343449,ALD_CC_K01_13_a_DNA_Bac,ALD_CC_K01_13,"Cinq Cases",sediment,pool,30,6.833,146
"Aldabra Atoll",SRR11295099,SAMN14343450,ALD_CC_K01_14_a_DNA_Bac,ALD_CC_K01_14,"Cinq Cases",sediment,pool,32.5,6.833,146
"Aldabra Atoll",SRR11295382,SAMN14343452,ALD_CC_K02_01_DNA_Bac,ALD_CC_K02_01,"Cinq Cases",sediment,pool,0,6.998,-41
"Aldabra Atoll",SRR11295379,SAMN14343453,ALD_CC_K02_02_DNA_Bac,ALD_CC_K02_02,"Cinq Cases",sediment,pool,2.5,6.998,-41
"Aldabra Atoll",SRR11295377,SAMN14343454,ALD_CC_K02_03_DNA_Bac,ALD_CC_K02_03,"Cinq Cases",sediment,pool,5,6.9,85
"Aldabra Atoll",SRR11295375,SAMN14343455,ALD_CC_K02_04_DNA_Bac,ALD_CC_K02_04,"Cinq Cases",sediment,pool,7.5,6.863,126
"Aldabra Atoll",SRR11295373,SAMN14343456,ALD_CC_K02_05_DNA_Bac,ALD_CC_K02_05,"Cinq Cases",sediment,pool,10,6.909,132
"Aldabra Atoll",SRR11295371,SAMN14343457,ALD_CC_K02_06_DNA_Bac,ALD_CC_K02_06,"Cinq Cases",sediment,pool,12.5,6.959,148
"Aldabra Atoll",SRR11295368,SAMN14343458,ALD_CC_K02_07_DNA_Bac,ALD_CC_K02_07,"Cinq Cases",sediment,pool,15,6.95,147
"Aldabra Atoll",SRR11295366,SAMN14343459,ALD_CC_K02_08_DNA_Bac,ALD_CC_K02_08,"Cinq Cases",sediment,pool,17.5,6.95,147
"Aldabra Atoll",SRR11295364,SAMN14343460,ALD_CC_K02_09_DNA_Bac,ALD_CC_K02_09,"Cinq Cases",sediment,pool,20,6.867,151
"Aldabra Atoll",SRR11295354,SAMN14343464,ALD_CC_K03_01_DNA_Bac,ALD_CC_K03_01,"Cinq Cases",sediment,pool,0,6.998,-41
"Aldabra Atoll",SRR11295352,SAMN14343465,ALD_CC_K03_02_DNA_Bac,ALD_CC_K03_02,"Cinq Cases",sediment,pool,2.5,6.998,-41
"Aldabra Atoll",SRR11295350,SAMN14343466,ALD_CC_K03_03_DNA_Bac,ALD_CC_K03_03,"Cinq Cases",sediment,pool,5,6.9,85
"Aldabra Atoll",SRR11295489,SAMN14343467,ALD_CC_K03_04_DNA_Bac,ALD_CC_K03_04,"Cinq Cases",sediment,pool,7.5,6.863,126
"Aldabra Atoll",SRR11295487,SAMN14343468,ALD_CC_K03_05_DNA_Bac,ALD_CC_K03_05,"Cinq Cases",sediment,pool,10,6.909,132
"Aldabra Atoll",SRR11295485,SAMN14343469,ALD_CC_K03_06_DNA_Bac,ALD_CC_K03_06,"Cinq Cases",sediment,pool,12.5,6.959,148
"Aldabra Atoll",SRR11295483,SAMN14343470,ALD_CC_K03_07_DNA_Bac,ALD_CC_K03_07,"Cinq Cases",sediment,pool,15,6.95,147
"Aldabra Atoll",SRR11295481,SAMN14343471,ALD_CC_K03_08_DNA_Bac,ALD_CC_K03_08,"Cinq Cases",sediment,pool,17.5,6.95,147
"Aldabra Atoll",SRR11295478,SAMN14343472,ALD_CC_K03_09_DNA_Bac,ALD_CC_K03_09,"Cinq Cases",sediment,pool,20,6.867,151
"Aldabra Atoll",SRR11295476,SAMN14343473,ALD_CC_W_01_DNA_Bac,ALD_CC_W_01,"Cinq Cases",water,pool,-10,8.53,186.6
"Aldabra Atoll",SRR11295474,SAMN14343474,ALD_CC_W_02_DNA_Bac,ALD_CC_W_02,"Cinq Cases",water,pool,-10,8.53,186.6
"Aldabra Atoll",SRR11295472,SAMN14343475,ALD_CC_W_03_DNA_Bac,ALD_CC_W_03,"Cinq Cases",water,pool,-10,8.53,186.6
"Aldabra Atoll",SRR11295470,SAMN14343476,ALD_IMQ_K01_01_DNA_Bac,ALD_IMQ_K01_01,"West Lagoon",sediment,lagoon,0,7.173,343
"Aldabra Atoll",SRR11295097,SAMN14343478,ALD_IMQ_K01_03_DNA_Bac,ALD_IMQ_K01_03,"West Lagoon",sediment,lagoon,5,7.25,304
"Aldabra Atoll",SRR11295094,SAMN14343479,ALD_IMQ_K01_04_b_DNA_Bac,ALD_IMQ_K01_04,"West Lagoon",sediment,lagoon,7.5,7.25,304
"Aldabra Atoll",SRR11295092,SAMN14343480,ALD_IMQ_K01_05_DNA_Bac,ALD_IMQ_K01_05,"West Lagoon",sediment,lagoon,10,7.305,350
"Aldabra Atoll",SRR11295086,SAMN14343482,ALD_IMQ_K01_07_DNA_Bac,ALD_IMQ_K01_07,"West Lagoon",sediment,lagoon,17.5,7.272,376
"Aldabra Atoll",SRR11295085,SAMN14343483,ALD_IMQ_K01_08_DNA_Bac,ALD_IMQ_K01_08,"West Lagoon",sediment,lagoon,22.5,7.443,354
"Aldabra Atoll",SRR11295083,SAMN14343484,ALD_IMQ_K01_09_DNA_Bac,ALD_IMQ_K01_09,"West Lagoon",sediment,lagoon,27.5,7.509,368
"Aldabra Atoll",SRR11295081,SAMN14343485,ALD_IMQ_K01_10_DNA_Bac,ALD_IMQ_K01_10,"West Lagoon",sediment,lagoon,32.5,7.495,359
"Aldabra Atoll",SRR11295079,SAMN14343486,ALD_IMQ_K01_11_DNA_Bac,ALD_IMQ_K01_11,"West Lagoon",sediment,lagoon,37.5,7.356,370
"Aldabra Atoll",SRR11295076,SAMN14343487,ALD_IMQ_K02_01_DNA_Bac,ALD_IMQ_K02_01,"West Lagoon",sediment,lagoon,0,7.173,343
"Aldabra Atoll",SRR11295074,SAMN14343488,ALD_IMQ_K02_02_DNA_Bac,ALD_IMQ_K02_02,"West Lagoon",sediment,lagoon,2.5,7.173,343
"Aldabra Atoll",SRR11295071,SAMN14343489,ALD_IMQ_K02_03_DNA_Bac,ALD_IMQ_K02_03,"West Lagoon",sediment,lagoon,5,7.25,304
"Aldabra Atoll",SRR11295069,SAMN14343490,ALD_IMQ_K02_04_DNA_Bac,ALD_IMQ_K02_04,"West Lagoon",sediment,lagoon,7.5,7.25,304
"Aldabra Atoll",SRR11295068,SAMN14343491,ALD_IMQ_K02_05_DNA_Bac,ALD_IMQ_K02_05,"West Lagoon",sediment,lagoon,10,7.305,350
"Aldabra Atoll",SRR11295065,SAMN14343492,ALD_IMQ_K02_06_DNA_Bac,ALD_IMQ_K02_06,"West Lagoon",sediment,lagoon,12.5,7.318,354
"Aldabra Atoll",SRR11295063,SAMN14343493,ALD_IMQ_K02_07_DNA_Bac,ALD_IMQ_K02_07,"West Lagoon",sediment,lagoon,17.5,7.272,376
"Aldabra Atoll",SRR11295061,SAMN14343494,ALD_IMQ_K02_08_a_DNA_Bac,ALD_IMQ_K02_08,"West Lagoon",sediment,lagoon,22.5,7.443,354
"Aldabra Atoll",SRR11295057,SAMN14343495,ALD_IMQ_K02_09_DNA_Bac,ALD_IMQ_K02_09,"West Lagoon",sediment,lagoon,27.5,7.509,368
"Aldabra Atoll",SRR11295346,SAMN14343497,ALD_IMQ_K02_11_DNA_Bac,ALD_IMQ_K02_11,"West Lagoon",sediment,lagoon,37.5,7.356,370
"Aldabra Atoll",SRR11295344,SAMN14343498,ALD_IMQ_K02_12_DNA_Bac,ALD_IMQ_K02_12,"West Lagoon",sediment,lagoon,42.5,7.524,364
"Aldabra Atoll",SRR11295341,SAMN14343499,ALD_IMQ_K03_01_DNA_Bac,ALD_IMQ_K03_01,"West Lagoon",sediment,lagoon,0,7.173,343
"Aldabra Atoll",SRR11295339,SAMN14343500,ALD_IMQ_K03_02_DNA_Bac,ALD_IMQ_K03_02,"West Lagoon",sediment,lagoon,2.5,7.173,343
"Aldabra Atoll",SRR11295337,SAMN14343501,ALD_IMQ_K03_03_DNA_Bac,ALD_IMQ_K03_03,"West Lagoon",sediment,lagoon,5,7.25,304
"Aldabra Atoll",SRR11295335,SAMN14343502,ALD_IMQ_K03_04_DNA_Bac,ALD_IMQ_K03_04,"West Lagoon",sediment,lagoon,7.5,7.25,304
"Aldabra Atoll",SRR11295333,SAMN14343503,ALD_IMQ_K03_05_DNA_Bac,ALD_IMQ_K03_05,"West Lagoon",sediment,lagoon,10,7.305,350
"Aldabra Atoll",SRR11295331,SAMN14343504,ALD_IMQ_K03_06_DNA_Bac,ALD_IMQ_K03_06,"West Lagoon",sediment,lagoon,12.5,7.318,354
"Aldabra Atoll",SRR11295329,SAMN14343505,ALD_IMQ_K03_07_DNA_Bac,ALD_IMQ_K03_07,"West Lagoon",sediment,lagoon,17.5,7.272,376
"Aldabra Atoll",SRR11295325,SAMN14343506,ALD_IMQ_K03_08_b_DNA_Bac,ALD_IMQ_K03_08,"West Lagoon",sediment,lagoon,22.5,7.443,354
"Aldabra Atoll",SRR11295322,SAMN14343507,ALD_IMQ_K03_09_b_DNA_Bac,ALD_IMQ_K03_09,"West Lagoon",sediment,lagoon,27.5,7.509,368
"Aldabra Atoll",SRR11295319,SAMN14343508,ALD_IMQ_K03_10_b_DNA_Bac,ALD_IMQ_K03_10,"West Lagoon",sediment,lagoon,32.5,7.495,359
"Aldabra Atoll",SRR11295314,SAMN14343509,ALD_IMQ_K03_11_b_DNA_Bac,ALD_IMQ_K03_11,"West Lagoon",sediment,lagoon,37.5,7.356,370
"Aldabra Atoll",SRR11295315,SAMN14343510,ALD_IMQ_K03_12_b_DNA_Bac,ALD_IMQ_K03_12,"West Lagoon",sediment,lagoon,42.5,7.524,364
"Aldabra Atoll",SRR11295310,SAMN14343511,ALD_IMQ_W_01_a_DNA_Bac,ALD_IMQ_W_01,"West Lagoon",water,lagoon,-10,7.977,199
"Aldabra Atoll",SRR11295308,SAMN14343511,ALD_IMQ_W_01_b_DNA_Bac,ALD_IMQ_W_01,"West Lagoon",water,lagoon,-10,7.977,199
"Aldabra Atoll",SRR11295043,SAMN14343529,ALD_NL_K01_01_DNA_Bac,ALD_NL_K01_01,"North Lagoon",sediment,lagoon,0,7.095,-265
"Aldabra Atoll",SRR11295038,SAMN14343530,ALD_NL_K01_02_b_DNA_Bac,ALD_NL_K01_02,"North Lagoon",sediment,lagoon,2.5,7.095,-265
"Aldabra Atoll",SRR11295036,SAMN14343531,ALD_NL_K01_03_DNA_Bac,ALD_NL_K01_03,"North Lagoon",sediment,lagoon,5,7.061,-268
"Aldabra Atoll",SRR11295034,SAMN14343532,ALD_NL_K01_04_DNA_Bac,ALD_NL_K01_04,"North Lagoon",sediment,lagoon,7.5,7.044,-273
"Aldabra Atoll",SRR11295031,SAMN14343533,ALD_NL_K01_05_DNA_Bac,ALD_NL_K01_05,"North Lagoon",sediment,lagoon,10,7.057,-277
"Aldabra Atoll",SRR11295027,SAMN14343534,ALD_NL_K01_06_b_DNA_Bac,ALD_NL_K01_06,"North Lagoon",sediment,lagoon,12.5,7.006,-281
"Aldabra Atoll",SRR11295026,SAMN14343535,ALD_NL_K02_01_DNA_Bac,ALD_NL_K02_01,"North Lagoon",sediment,lagoon,0,7.095,-265
"Aldabra Atoll",SRR11295024,SAMN14343536,ALD_NL_K02_02_DNA_Bac,ALD_NL_K02_02,"North Lagoon",sediment,lagoon,2.5,7.095,-265
"Aldabra Atoll",SRR11295021,SAMN14343537,ALD_NL_K02_03_DNA_Bac,ALD_NL_K02_03,"North Lagoon",sediment,lagoon,5,7.061,-268
