Name,Run,BioSample,Sample,Cruise.ID,Year,Month,Depth,Tag,Metaproteome
"Saanich Inlet",SRR2075325,SAMN03387857,SI047_S3_10m_LV,47,2010,7,10,LVpyrotag,SH_SBI_TC2_SI047_10m
"Saanich Inlet",SRR2075300,SAMN03387855,SI047_S3_100m_LV,47,2010,7,100,LVpyrotag,SH_SBI_TC2_SI047_100m
"Saanich Inlet",SRR2075368,SAMN03387860,SI047_S3_120m_LV,47,2010,7,120,LVpyrotag,SH_SBI_TC2_SI047_120m
"Saanich Inlet",SRR2075375,SAMN03387862,SI047_S3_135m_LV,47,2010,7,135,LVpyrotag,SH_SBI_TC2_SI047_135m
"Saanich Inlet",SRR2075377,SAMN03387864,SI047_S3_150m_LV,47,2010,7,150,LVpyrotag,SH_SBI_TC2_SI047_150m
"Saanich Inlet",SRR2075381,SAMN03387868,SI047_S3_200m_LV,47,2010,7,200,LVpyrotag,SH_SBI_TC2_SI047_200m
"Saanich Inlet",SRR2071712,SAMN03387877,SI048_S3_10m_LV,48,2010,8,10,LVpyrotag,SH_SBI_TC2_SI048_10m
"Saanich Inlet",SRR2071715,SAMN03387876,SI048_S3_100m_LV,48,2010,8,100,LVpyrotag,SH_SBI_TC2_SI048_100m
"Saanich Inlet",SRR2071710,SAMN03387878,SI048_S3_120m_LV,48,2010,8,120,LVpyrotag,SH_SBI_TC2_SI048_120m
"Saanich Inlet",SRR2071700,SAMN03387879,SI048_S3_135m_LV,48,2010,8,135,LVpyrotag,SH_SBI_TC2_SI048_135m
"Saanich Inlet",SRR2071696,SAMN03387880,SI048_S3_150m_LV,48,2010,8,150,LVpyrotag,SH_SBI_TC2_SI048_150m
"Saanich Inlet",SRR2071693,SAMN03387881,SI048_S3_200m_LV,48,2010,8,200,LVpyrotag,SH_SBI_TC2_SI048_200m
"Saanich Inlet",SRR2071649,SAMN03387889,SI053_S3_10m_LV,53,2011,1,10,LVpyrotag,SH_SBI_TC2_SI053_10m
"Saanich Inlet",SRR2071650,SAMN03387888,SI053_S3_100m_LV,53,2011,1,100,LVpyrotag,SH_SBI_TC2_SI053_100m
"Saanich Inlet",SRR2071648,SAMN03387890,SI053_S3_120m_LV,53,2011,1,120,LVpyrotag,SH_SBI_TC2_SI053_120m
"Saanich Inlet",SRR2071646,SAMN03387891,SI053_S3_135m_LV,53,2011,1,135,LVpyrotag,SH_SBI_TC2_SI053_135m
"Saanich Inlet",SRR2071644,SAMN03387892,SI053_S3_150m_LV,53,2011,1,150,LVpyrotag,SH_SBI_TC2_SI053_150m
"Saanich Inlet",SRR2071643,SAMN03387893,SI053_S3_200m_LV,53,2011,1,200,LVpyrotag,SH_SBI_TC2_SI053_200m
"Saanich Inlet",SRR2071632,SAMN03387897,SI054_S3_10m_LV,54,2011,2,10,LVpyrotag,SH_SBI_TC2_SI054_10m
"Saanich Inlet",SRR2071638,SAMN03387895,SI054_S3_100m_LV,54,2011,2,100,LVpyrotag,SH_SBI_TC2_SI054_100m
"Saanich Inlet",SRR2071483,SAMN03387900,SI054_S3_120m_LV,54,2011,2,120,LVpyrotag,SH_SBI_TC2_SI054_120m
"Saanich Inlet",SRR2071481,SAMN03387902,SI054_S3_135m_LV,54,2011,2,135,LVpyrotag,SH_SBI_TC2_SI054_135m
"Saanich Inlet",SRR2071478,SAMN03387904,SI054_S3_150m_LV,54,2011,2,150,LVpyrotag,SH_SBI_TC2_SI054_150m
"Saanich Inlet",SRR2071471,SAMN03387908,SI054_S3_200m_LV,54,2011,2,200,LVpyrotag,SH_SBI_TC2_SI054_200m
