Name,Run,BioSample,SampleName,"Depth (cm)",pH,"T (°C)","_DO (ppm)","ORP (mV)"
"Subterranean Estuary",SRR7535349,SAMN09685473,GPMD1,10,NA,NA,NA,NA
"Subterranean Estuary",SRR7535350,SAMN09685474,GPMD2,20,NA,NA,NA,NA
"Subterranean Estuary",SRR7535351,SAMN09685475,GPMD3,30,7.2,12.6,7.3,157
"Subterranean Estuary",SRR7535352,SAMN09685476,GPMD4,40,6.9,13.6,6.9,160
"Subterranean Estuary",SRR7535353,SAMN09685477,GPMD5,50,6.6,14.4,5.1,160
"Subterranean Estuary",SRR7535354,SAMN09685478,GPMD6,60,6.6,15.3,1.4,73
"Subterranean Estuary",SRR7535355,SAMN09685479,GPMD7,70,6.8,16,0.3,-57
"Subterranean Estuary",SRR7535356,SAMN09685480,GPMD8,80,7.2,17,0.2,-113
"Subterranean Estuary",SRR7535347,SAMN09685481,GPMD9,90,7.2,16.8,0.1,-129
"Subterranean Estuary",SRR7535348,SAMN09685482,GPMD10,100,NA,NA,NA,NA
