Name,Run,BioSample,SampleName,Source,Description,pH,"ORP (mv)","Salinity (μmol∙g-1)","MAT (°C)","Longitude (°)","Latitude (°)",Type,Metaproteome
"Desert Biocrusts",SRR12062068,SAMN15336556,SP1A_1,SPT_A1,"algae biocrust",7.73,-54,38.56,9.6,104.57,37.27,"A crust",A1
"Desert Biocrusts",SRR12062316,SAMN15336556,SP1A_1,SPT_A1,"algae biocrust",7.73,-54,38.56,9.6,104.57,37.27,"A crust",A1
"Desert Biocrusts",SRR12062067,SAMN15336557,SP1A_2,SPT_A2,"algae biocrust",7.64,-50,30.55,9.6,104.57,37.27,"A crust",A2
"Desert Biocrusts",SRR12062315,SAMN15336557,SP1A_2,SPT_A2,"algae biocrust",7.64,-50,30.55,9.6,104.57,37.27,"A crust",A2
"Desert Biocrusts",SRR12062066,SAMN15336558,SP1A_3,SPT_A3,"algae biocrust",8.12,-77,12.17,9.6,104.57,37.27,"A crust",A3
"Desert Biocrusts",SRR12062314,SAMN15336558,SP1A_3,SPT_A3,"algae biocrust",8.12,-77,12.17,9.6,104.57,37.27,"A crust",A3
"Desert Biocrusts",SRR12062065,SAMN15336559,SP1A_4,SPT_A4,"algae biocrust",7.91,-65,16.12,9.6,104.57,37.27,"A crust",A4
"Desert Biocrusts",SRR12062313,SAMN15336559,SP1A_4,SPT_A4,"algae biocrust",7.91,-65,16.12,9.6,104.57,37.27,"A crust",A4
"Desert Biocrusts",SRR12062064,SAMN15336560,SP2C_1,SPT_L1,"Cyanobacteria-Lichens biocrust",7.24,-27,19.29,9.6,104.57,37.27,"C crust",C1
"Desert Biocrusts",SRR12062312,SAMN15336560,SP2C_1,SPT_L1,"Cyanobacteria-Lichens biocrust",7.24,-27,19.29,9.6,104.57,37.27,"C crust",C1
"Desert Biocrusts",SRR12062063,SAMN15336561,SP2C_2,SPT_L2,"Cyanobacteria-Lichens biocrust",7.51,-40,11.29,9.6,104.57,37.27,"C crust",C2
"Desert Biocrusts",SRR12062311,SAMN15336561,SP2C_2,SPT_L2,"Cyanobacteria-Lichens biocrust",7.51,-40,11.29,9.6,104.57,37.27,"C crust",C2
"Desert Biocrusts",SRR12062062,SAMN15336562,SP2C_3,SPT_L3,"Cyanobacteria-Lichens biocrust",7.62,-46,13,9.6,104.57,37.27,"C crust",C3
"Desert Biocrusts",SRR12062310,SAMN15336562,SP2C_3,SPT_L3,"Cyanobacteria-Lichens biocrust",7.62,-46,13,9.6,104.57,37.27,"C crust",C3
"Desert Biocrusts",SRR12062061,SAMN15336563,SP2C_4,SPT_L4,"Cyanobacteria-Lichens biocrust",7.76,-57,12.88,9.6,104.57,37.27,"C crust",C4
"Desert Biocrusts",SRR12062309,SAMN15336563,SP2C_4,SPT_L4,"Cyanobacteria-Lichens biocrust",7.76,-57,12.88,9.6,104.57,37.27,"C crust",C4
"Desert Biocrusts",SRR12062059,SAMN15336564,SP3M_1,SPT_M1,"moss biocrust",7.6,-47,17.43,9.6,104.57,37.27,"M crust",M1
"Desert Biocrusts",SRR12062307,SAMN15336564,SP3M_1,SPT_M1,"moss biocrust",7.6,-47,17.43,9.6,104.57,37.27,"M crust",M1
"Desert Biocrusts",SRR12062058,SAMN15336565,SP3M_2,SPT_M2,"moss biocrust",7.82,-58,11.01,9.6,104.57,37.27,"M crust",M2
"Desert Biocrusts",SRR12062306,SAMN15336565,SP3M_2,SPT_M2,"moss biocrust",7.82,-58,11.01,9.6,104.57,37.27,"M crust",M2
"Desert Biocrusts",SRR12062057,SAMN15336566,SP3M_3,SPT_M3,"moss biocrust",7.81,-60,12.01,9.6,104.57,37.27,"M crust",M3
"Desert Biocrusts",SRR12062305,SAMN15336566,SP3M_3,SPT_M3,"moss biocrust",7.81,-60,12.01,9.6,104.57,37.27,"M crust",M3
"Desert Biocrusts",SRR12062056,SAMN15336567,SP3M_4,SPT_M4,"moss biocrust",7.58,-46,14.59,9.6,104.57,37.27,"M crust",M4
"Desert Biocrusts",SRR12062304,SAMN15336567,SP3M_4,SPT_M4,"moss biocrust",7.58,-46,14.59,9.6,104.57,37.27,"M crust",M4
