name,Run,LibraryName,BioSample,SampleName,Treatment,pH,"Eh (mV)"
"Reductive Soil Disinfestation",SRR12730330,L-13,SAMN16274051,BD_1_bacteria,BD,7.5,-75.5
"Reductive Soil Disinfestation",SRR12730329,L-14,SAMN16274052,BD_2_bacteria,BD,7.5,-75.5
"Reductive Soil Disinfestation",SRR12730328,L-15,SAMN16274053,BD_3_bacteria,BD,7.5,-75.5
"Reductive Soil Disinfestation",SRR12730334,L-1,SAMN16274039,CK_1_bacteria,CK,5.1,452.7
"Reductive Soil Disinfestation",SRR12730333,L-2,SAMN16274040,CK_2_bacteria,CK,5.1,452.7
"Reductive Soil Disinfestation",SRR12730322,L-3,SAMN16274041,CK_3_bacteria,CK,5.1,452.7
"Reductive Soil Disinfestation",SRR12730308,L-7,SAMN16274045,EA_1_bacteria,EA,6.3,289
"Reductive Soil Disinfestation",SRR12730307,L-8,SAMN16274046,EA_2_bacteria,EA,6.3,289
"Reductive Soil Disinfestation",SRR12730306,L-9,SAMN16274047,EA_3_bacteria,EA,6.3,289
"Reductive Soil Disinfestation",SRR12730311,L-4,SAMN16274042,FL_1_bacteria,FL,6.4,350.8
"Reductive Soil Disinfestation",SRR12730310,L-5,SAMN16274043,FL_2_bacteria,FL,6.4,350.8
"Reductive Soil Disinfestation",SRR12730309,L-6,SAMN16274044,FL_3_bacteria,FL,6.4,350.8
"Reductive Soil Disinfestation",SRR12730305,L-10,SAMN16274048,SB_1_bacteria,SB,6.3,-91.7
"Reductive Soil Disinfestation",SRR12730332,L-11,SAMN16274049,SB_2_bacteria,SB,6.3,-91.7
"Reductive Soil Disinfestation",SRR12730331,L-12,SAMN16274050,SB_3_bacteria,SB,6.3,-91.7
