Name,Run,BioSample,Sample,LibraryName,Date,Month,Site,"T (°C)",pH,"ORP (mV)"
"Integrated Multitrophic Aquaculture",SRR14194024,SAMN18679185,SCC71,ZS7_4_1,2020/07/12,July,SC1,23.9,7.39,-109
"Integrated Multitrophic Aquaculture",SRR14194023,SAMN18679186,SCC72,ZS7_4_2,2020/07/12,July,NA,NA,NA,NA
"Integrated Multitrophic Aquaculture",SRR14194012,SAMN18679187,SCC73,ZS7_4_3,2020/07/12,July,SC3,24.3,7.34,-121
"Integrated Multitrophic Aquaculture",SRR14194001,SAMN18679188,SCC74,ZS7_4_4,2020/07/12,July,NA,NA,NA,NA
"Integrated Multitrophic Aquaculture",SRR14194000,SAMN18679189,SCC75,ZS7_4_5,2020/07/12,July,SC5,24.6,7.42,-103
"Integrated Multitrophic Aquaculture",SRR14193999,SAMN18679190,SC71,ZS7_7_1,2020/07/12,July,SCC1,24.1,7.65,-120
"Integrated Multitrophic Aquaculture",SRR14193998,SAMN18679191,SC72,ZS7_7_2,2020/07/12,July,NA,NA,NA,NA
"Integrated Multitrophic Aquaculture",SRR14193997,SAMN18679192,SC73,ZS7_7_3,2020/07/12,July,SCC3,24.1,7.58,-151
"Integrated Multitrophic Aquaculture",SRR14193996,SAMN18679193,SC74,ZS7_7_4,2020/07/12,July,NA,NA,NA,NA
"Integrated Multitrophic Aquaculture",SRR14193995,SAMN18679194,SC75,ZS7_7_5,2020/07/12,July,SCC5,24.5,7.62,-137
"Integrated Multitrophic Aquaculture",SRR14194022,SAMN18679195,SCC101,ZS10_4_1,2020/10/15,October,SC1,23.4,7.55,-120
"Integrated Multitrophic Aquaculture",SRR14194021,SAMN18679196,SCC102,ZS10_4_2,2020/10/15,October,NA,NA,NA,NA
"Integrated Multitrophic Aquaculture",SRR14194020,SAMN18679197,SCC103,ZS10_4_3,2020/10/15,October,SC3,23.1,7.56,-140
"Integrated Multitrophic Aquaculture",SRR14194019,SAMN18679198,SCC104,ZS10_4_4,2020/10/15,October,NA,NA,NA,NA
"Integrated Multitrophic Aquaculture",SRR14194018,SAMN18679199,SCC105,ZS10_4_5,2020/10/15,October,SC5,23,7.45,-131
"Integrated Multitrophic Aquaculture",SRR14194017,SAMN18679200,SC101,ZS10_7_1,2020/10/15,October,SCC1,22.9,7.68,-165
"Integrated Multitrophic Aquaculture",SRR14194016,SAMN18679201,SC102,ZS10_7_2,2020/10/15,October,NA,NA,NA,NA
"Integrated Multitrophic Aquaculture",SRR14194015,SAMN18679202,SC103,ZS10_7_3,2020/10/15,October,SCC3,23.4,7.76,-170
"Integrated Multitrophic Aquaculture",SRR14194014,SAMN18679203,SC104,ZS10_7_4,2020/10/15,October,NA,NA,NA,NA
"Integrated Multitrophic Aquaculture",SRR14194013,SAMN18679204,SC105,ZS10_7_5,2020/10/15,October,SCC5,23.1,7.73,-165
"Integrated Multitrophic Aquaculture",SRR14194011,SAMN18679205,SCC121,ZS12_4_1,2020/12/16,December,SC1,7.6,7.58,-150
"Integrated Multitrophic Aquaculture",SRR14194010,SAMN18679206,SCC122,ZS12_4_2,2020/12/16,December,NA,NA,NA,NA
"Integrated Multitrophic Aquaculture",SRR14194009,SAMN18679207,SCC123,ZS12_4_3,2020/12/16,December,SC3,7.8,7.57,-145
"Integrated Multitrophic Aquaculture",SRR14194008,SAMN18679208,SCC124,ZS12_4_4,2020/12/16,December,NA,NA,NA,NA
"Integrated Multitrophic Aquaculture",SRR14194007,SAMN18679209,SCC125,ZS12_4_5,2020/12/16,December,SC5,7.3,7.54,-154
"Integrated Multitrophic Aquaculture",SRR14194006,SAMN18679210,SC121,ZS12_7_1,2020/12/16,December,SCC1,7.7,7.62,-145
"Integrated Multitrophic Aquaculture",SRR14194005,SAMN18679211,SC122,ZS12_7_2,2020/12/16,December,NA,NA,NA,NA
"Integrated Multitrophic Aquaculture",SRR14194004,SAMN18679212,SC123,ZS12_7_3,2020/12/16,December,SCC3,7.8,7.6,-138
"Integrated Multitrophic Aquaculture",SRR14194003,SAMN18679213,SC124,ZS12_7_4,2020/12/16,December,NA,NA,NA,NA
"Integrated Multitrophic Aquaculture",SRR14194002,SAMN18679214,SC125,ZS12_7_5,2020/12/16,December,SCC5,7.4,7.61,-141
