Name,Run,BioSample,Sample,Domain,Zone,pH,"Eh (mV)"
"Cenote El Zapote",SRR13131475,SAMN16910022,"Freshwater replicate 1_Archaea_FW",Archaea,Freshwater,6.86,450
"Cenote El Zapote",SRR13131469,SAMN16910024,"Freshwater replicate 2_Archaea_FW",Archaea,Freshwater,6.86,450
"Cenote El Zapote",SRR13131463,SAMN16910030,"Halocline replicate 1_Archaea_FW",Archaea,Halocline,6.7,-100
"Cenote El Zapote",SRR13131473,SAMN16910032,"Halocline replicate 2_Archaea_FW",Archaea,Halocline,6.7,-100
"Cenote El Zapote",SRR13131467,SAMN16910026,"Redoxcline replicate 1_Archaea_FW",Archaea,Redoxcline,6.92,100
"Cenote El Zapote",SRR13131465,SAMN16910028,"Redoxcline replicate 2_Archaea_FW",Archaea,Redoxcline,6.92,100
"Cenote El Zapote",SRR13131476,SAMN16910021,"Freshwater replicate 1_Bacteria_FW",Bacteria,Freshwater,6.86,450
"Cenote El Zapote",SRR13131470,SAMN16910023,"Freshwater replicate 2_Bacteria_FW",Bacteria,Freshwater,6.86,450
"Cenote El Zapote",SRR13131474,SAMN16910031,"Halocline replicate 2_Bacteria_FW",Bacteria,Halocline,6.7,-100
"Cenote El Zapote",SRR13131464,SAMN16910029,"Halocline replicate 1_Bacteria_FW",Bacteria,Halocline,6.7,-100
"Cenote El Zapote",SRR13131468,SAMN16910025,"Redoxcline replicate 1_Bacteria_FW",Bacteria,Redoxcline,6.92,100
"Cenote El Zapote",SRR13131466,SAMN16910027,"Redoxcline replicate 2_Bacteria_FW",Bacteria,Redoxcline,6.92,100
