name,Run,BioSample,SampleName,Season,Sample,"T (°C)",pH,"ORP (mV)","COND (mS/m)","DO (mg/L)"
"Lancang River",SRR11915220,SAMN15090967,S1-D-H2O-1,Winter,S1,7.59,8.27,235.5,53.5,18.38
"Lancang River",SRR11915194,SAMN15090999,S2-U-H2O-1,Winter,S2-U,10.86,7.93,244,47.3,16.55
"Lancang River",SRR11915208,SAMN15090969,S2-D1-H2O-1,Winter,S2-D1,12.2,7.97,200.5,48.4,18.47
"Lancang River",SRR11915216,SAMN15090979,S2-D2-H2O-1,Winter,S2-D2,10.55,8.12,223.5,50.85,14.53
"Lancang River",SRR11915205,SAMN15090989,S2-D3-H2O-1,Winter,S2-D3,13.18,8.09,196.5,41.75,10.59
"Lancang River",SRR11915181,SAMN15091011,S3-U-H2O-1,Winter,S3-U,18.33,7.78,227.5,29.1,9.58
"Lancang River",SRR11915183,SAMN15091009,S3-D-H2O-1,Winter,S3-D,16.38,8.1,216.5,36.25,10.03
"Lancang River",SRR11915179,SAMN15091013,S4-D-H2O-1,Winter,S4-D,15.3,8.1,244,37.15,12.4
"Lancang River",SRR11915177,SAMN15091015,S5-D-H2O-1,Winter,S5-D,17.39,7.97,248,36.4,12.29
"Lancang River",SRR11915172,SAMN15091019,S6-U-H2O-1,Winter,S6-U,19.82,7.12,271,24.35,12.28
"Lancang River",SRR11915174,SAMN15091017,S6-D-H2O-1,Winter,S6-D,18.73,7.15,281.5,31.35,12.22
"Lancang River",SRR11915170,SAMN15091021,S7-D-H2O-1,Winter,S7-D,20.92,7.21,306,29.3,11.81
"Lancang River",SRR11915168,SAMN15091023,S8-H2O-1,Winter,S8,19.34,7.8,245,28.75,12.64
"Lancang River",SRR11915192,SAMN15091001,S2-U-H2O-1s,Summer,S2-U,19.16,6.5,360,32.1,3.98
"Lancang River",SRR11915186,SAMN15090971,S2-D1-H2O-1s,Summer,S2-D1,20.35,7.55,289,32.47,4.12
"Lancang River",SRR11915214,SAMN15090981,S2-D2-H2O-1s,Summer,S2-D2,20.01,7.65,286,31.83,5.41
"Lancang River",SRR11915203,SAMN15090991,S2-D3-H2O-1s,Summer,S2-D3,19.22,6.43,347.33,31.07,3.29
