name,Run,LibraryName,BioSample,SampleName,Domain,Type,Month,pH,"Redox (mV)"
"Valparaíso Bay",ERR3225295,ST5Sd0115ar,SAMEA5425470,socas5,Archaea,Sediment,January,7.29,144
"Valparaíso Bay",ERR3225296,ST5Sd0115ba,SAMEA5425471,socas6,Bacteria,Sediment,January,7.29,144
"Valparaíso Bay",ERR3225301,ST5Sd0815ar,SAMEA5425476,socas11,Archaea,Sediment,August,7.21,258
"Valparaíso Bay",ERR3225302,ST5Sd0815ba,SAMEA5425477,socas12,Bacteria,Sediment,August,7.21,258
"Valparaíso Bay",ERR3225293,ST5Sd1215ar,SAMEA5425468,socas3,Archaea,Sediment,December,7.26,123
"Valparaíso Bay",ERR3225294,ST5Sd1215ba,SAMEA5425469,socas4,Bacteria,Sediment,December,7.26,123
"Valparaíso Bay",ERR3225291,ST5Wr0115ar,SAMEA5425466,socas1,Archaea,Water,January,6.95,307
"Valparaíso Bay",ERR3225292,ST5Wr0115ba,SAMEA5425467,socas2,Bacteria,Water,January,6.95,307
"Valparaíso Bay",ERR3225303,ST5Wr0415ar,SAMEA5425478,socas13,Archaea,Water,April,7.25,356
"Valparaíso Bay",ERR3225304,ST5Wr0415ba,SAMEA5425479,socas14,Bacteria,Water,April,7.25,356
"Valparaíso Bay",ERR3225299,ST5Wr0815ar,SAMEA5425474,socas9,Archaea,Water,August,7.54,488
"Valparaíso Bay",ERR3225300,ST5Wr0815ba,SAMEA5425475,socas10,Bacteria,Water,August,7.54,488
"Valparaíso Bay",ERR3225297,ST5Wr1215ar,SAMEA5425472,socas7,Archaea,Water,December,6.93,310
"Valparaíso Bay",ERR3225298,ST5Wr1215ba,SAMEA5425473,socas8,Bacteria,Water,December,6.93,310
