Name,Run,BioSample,SampleName,Lagoon,Date,Year,"Available data","Water height (cm)","Salinity (%, w/v)","Conductivity (mS/cm)","Temperature (°C)",pH,"Redox (mV)","DO (mg/L)"
"Monegros Desert, Spain",SRR8243246,SAMN10462319,MON_1,Guallar,2012-11-12,2012,Eukarya,13,2.9,29.5,9.5,8.2,290.4,11.5
"Monegros Desert, Spain",SRR8243241,SAMN10462328,MON_10,Pito,2012-11-13,2012,Both,15,1.5,18.3,13.9,7.8,330,11.7
"Monegros Desert, Spain",SRR8243188,SAMN10462418,MON_100,Playa,2013-11-28,2013,Both,40,5,58.1,4,8,280,11.7
"Monegros Desert, Spain",SRR8243259,SAMN10462419,MON_101,Salineta,2013-11-28,2013,Both,10,7.5,67.5,7.4,NA,315,11.6
"Monegros Desert, Spain",SRR8243258,SAMN10462420,MON_102,"Balsa Molinos",2013-11-28,2013,Eukarya,20,0.1,0.7,6.4,8.5,230,12.4
"Monegros Desert, Spain",SRR8243257,SAMN10462421,MON_103,Guallar,2013-12-18,2013,Eukarya,5,3.5,44.1,12.8,8.6,230,13.4
"Monegros Desert, Spain",SRR8243256,SAMN10462422,MON_104,Piñol,2013-12-17,2013,Both,10,2.5,29.7,9,8.9,245,13.9
"Monegros Desert, Spain",SRR8243255,SAMN10462423,MON_105,Muerte,2013-12-17,2013,Eukarya,5,4.2,52.5,9.9,8.4,300,15.7
"Monegros Desert, Spain",SRR8243254,SAMN10462424,MON_106,Camaron,2013-12-17,2013,Both,5,3.1,38.5,9.1,8.6,235,14.1
"Monegros Desert, Spain",SRR8243253,SAMN10462425,MON_107,Rollico,2013-12-18,2013,Both,5,1,13.3,11.3,8.8,230,11.5
"Monegros Desert, Spain",SRR8243252,SAMN10462426,MON_108,Rebollon,2013-12-18,2013,Bacteria,3,1.1,12.4,10,9.1,242,12.6
"Monegros Desert, Spain",SRR8243251,SAMN10462427,MON_109,Pez,2013-12-18,2013,Both,2,1.9,19.8,8.6,9,250,11.7
"Monegros Desert, Spain",SRR8243191,SAMN10462329,MON_11,Camaron,2012-11-13,2012,Both,40,1.2,14.2,11.7,8.3,305,12.2
"Monegros Desert, Spain",SRR8243250,SAMN10462428,MON_110,"Amarga Baja",2013-12-19,2013,Both,3,0.9,6.4,7.9,8.3,270,10.5
"Monegros Desert, Spain",SRR8243200,SAMN10462429,MON_111,"Amarga Alta",2013-12-19,2013,Bacteria,5,0.9,5.3,7.5,8.2,275,10.9
"Monegros Desert, Spain",SRR8243201,SAMN10462430,MON_112,Pito,2013-12-19,2013,Bacteria,5,1.7,20,6.7,8.3,275,11.6
"Monegros Desert, Spain",SRR8243202,SAMN10462431,MON_113,Playa,2013-12-18,2013,Both,25,6,78.3,8.5,8.4,144,12
"Monegros Desert, Spain",SRR8243203,SAMN10462432,MON_114,Salineta,2013-12-18,2013,Both,10,9,85.6,11,8.4,245,15.7
"Monegros Desert, Spain",SRR8243204,SAMN10462433,MON_115,"Balsa Molinos",2013-12-17,2013,Eukarya,40,0.1,0.7,6.5,8.6,260,13.2
"Monegros Desert, Spain",SRR8243205,SAMN10462434,MON_116,Guallar,2014-01-22,2014,Both,6,5.8,67.4,8.5,8.4,265,11.6
