name,Run,BioSample,Sample,Depth,Year,"ORP (mV)","T (°C)"
"Lake Kinneret",ERR4575187,SAMEA7280990,1.5m-2017,1.5,2017,260,31.2
"Lake Kinneret",ERR4578913,SAMEA7280991,5m-2017,5,2017,262,30.8
"Lake Kinneret",ERR4575188,SAMEA7280981,13m-2017,13,2017,276,27
"Lake Kinneret",ERR4575301,SAMEA7280978,14.5m-2017,14.5,2017,274,24.8
"Lake Kinneret",ERR4575397,SAMEA7280976,15m-2017,15,2017,272,23.6
"Lake Kinneret",ERR4575302,SAMEA7280975,16m-2017,16,2017,265,22.8
"Lake Kinneret",ERR4578909,SAMEA7280974,17m-2017,17,2017,-71,19.9
"Lake Kinneret",ERR4578912,SAMEA7280973,18m-2017,18,2017,-152,18.4
"Lake Kinneret",ERR4578915,SAMEA7280983,0.5m-2018,0.5,2018,141,28
"Lake Kinneret",ERR4578997,SAMEA7280986,2.5m-2018,2.5,2018,147,28
"Lake Kinneret",ERR4578998,SAMEA7280989,5m-2018,5,2018,147,28
"Lake Kinneret",ERR4578999,SAMEA7280988,7m-2018,7,2018,147,28
"Lake Kinneret",ERR4578916,SAMEA7280987,10m-2018,10,2018,149,28
"Lake Kinneret",ERR4578917,SAMEA7280985,13m-2018,13,2018,151,27.2
"Lake Kinneret",ERR4578926,SAMEA7280984,14m-2018,14,2018,155,25.7
"Lake Kinneret",ERR4578928,SAMEA7280982,15m-2018,15,2018,-95,23.7
"Lake Kinneret",ERR4578993,SAMEA7280980,16m-2018,16,2018,-145,22.9
"Lake Kinneret",ERR4578994,SAMEA7280979,17m-2018,17,2018,-176,21.3
"Lake Kinneret",ERR4578995,SAMEA7280977,18m-2018,18,2018,-194,20.3
"Lake Kinneret",ERR4578996,SAMEA7280972,19m-2018,19,2018,-203,19.3
"Lake Kinneret",ERR4578914,SAMEA7280971,22m-2018,22,2018,-224,17.3
