Name,Run,BioSample,sample,description,Well,year,depth,T,pH,Eh
"Samail Ophiolite Packers",SRR15018372,SAMN19998420,A108,BA1A_2019_108-132,BA1A,2019,108-132,36.5,10.67,-249
"Samail Ophiolite Packers",SRR15018369,SAMN19998421,A30,BA1A_2019_0-30,BA1A,2019,0-30,34.9,8.1,128
"Samail Ophiolite Packers",SRR15018368,SAMN19998422,A41,BA1A_2019_41-65,BA1A,2019,41-65,35,8.2,120
"Samail Ophiolite Packers",SRR15018371,SAMN19998411,BA1A100_10_2J,"BA1A_2018_100-400 0.10 um filter, extraction J",BA1A,2018,100-400,37.5,10.69,NA
"Samail Ophiolite Packers",SRR15018370,SAMN19998412,BA1A100_22_2D,"BA1A_2018_100-400 0.22 um filter, extraction D",BA1A,2018,100-400,37.5,10.69,NA
"Samail Ophiolite Packers",SRR15018359,SAMN19998413,BA1A100_45_2C,"BA1A_2018_100-400 0.45 um filter, extraction C",BA1A,2018,100-400,37.5,10.69,NA
"Samail Ophiolite Packers",SRR15018348,SAMN19998414,BA1A5566_10_1D,"BA1A_2018_55-66 0.10 um filter, extraction D",BA1A,2018,55-65,35.7,8.71,126
"Samail Ophiolite Packers",SRR15018340,SAMN19998415,BA1A5566_22_1C,"BA1A_2018_55-66 0.22 um filter, extraction C",BA1A,2018,55-65,35.7,8.71,126
"Samail Ophiolite Packers",SRR15018339,SAMN19998416,BA1A5566_45_1J,"BA1A_2018_55-66 0.45 um filter, extraction J",BA1A,2018,55-65,35.7,8.71,126
"Samail Ophiolite Packers",SRR15018366,SAMN19998424,D102,BA1D_2019_102-132,BA1D,2019,102-132,35.2,11.01,-412
"Samail Ophiolite Packers",SRR15018365,SAMN19998425,D45,BA1D_2019_45-75,BA1D,2019,45-75,34.6,10.86,-408
