name,Run,BioSample,Sample,"Temperature (°C)",pH,Type,Feature,"ORP (mV)","DO (mg/L)"
"New Zealand Hot Springs",ERR2240139,SAMEA104459832,P1.0013,33.4,2.14,Acidic,Stream,440.5,2.5
"New Zealand Hot Springs",ERR2240140,SAMEA104459833,P1.0014,85.2,2.13,Acidic,Spring,27.2,4.9
"New Zealand Hot Springs",ERR2240191,SAMEA104459884,P1.0067,26.1,2.33,Acidic,Stream,425,2.73
"New Zealand Hot Springs",ERR2240207,SAMEA104459900,P1.0083,29.3,2.29,Acidic,Lake,294.9,3.06
"New Zealand Hot Springs",ERR2240229,SAMEA104459922,P1.0118,93.2,2.46,Acidic,Spring,75.8,3.42
"New Zealand Hot Springs",ERR2240289,SAMEA104459982,P1.0188,43.3,2.51,Acidic,Spring,-33,4.05
"New Zealand Hot Springs",ERR2240293,SAMEA104459986,P1.0192,73.2,2.1,Acidic,Spring,-31.9,4.07
"New Zealand Hot Springs",ERR2240329,SAMEA104460022,P1.0229,24,2.33,Acidic,Spring,-4.2,1.66
"New Zealand Hot Springs",ERR2240376,SAMEA104460069,P1.0277,54.9,2.04,Acidic,Spring,43.6,1.28
"New Zealand Hot Springs",ERR2240380,SAMEA104460073,P1.0281,75.2,2.17,Acidic,Spring,19.4,1.5
"New Zealand Hot Springs",ERR2240382,SAMEA104460075,P1.0283,27.8,2.53,Acidic,Spring,164,1.85
"New Zealand Hot Springs",ERR2240396,SAMEA104460089,P1.0298,65.9,1.72,Acidic,Spring,-6.5,1.53
"New Zealand Hot Springs",ERR2240398,SAMEA104460091,P1.0300,34.8,1.69,Acidic,Spring,-5.4,1.31
"New Zealand Hot Springs",ERR2240414,SAMEA104460107,P1.0316,54.4,2.49,Acidic,Spring,-55.2,2.66
"New Zealand Hot Springs",ERR2240449,SAMEA104460142,P1.0352,31.1,2.6,Acidic,Spring,47.5,4.4
"New Zealand Hot Springs",ERR2240463,SAMEA104460156,P1.0366,34.2,2.67,Acidic,Stream,51.5,1.93
"New Zealand Hot Springs",ERR2240464,SAMEA104460157,P1.0367,49.2,1.7,Acidic,Spring,119,2.04
"New Zealand Hot Springs",ERR2240475,SAMEA104460168,P1.0378,39.7,2.9,Acidic,Spring,263.3,2.06
"New Zealand Hot Springs",ERR2240487,SAMEA104460180,P1.0390,40.8,2.84,Acidic,Spring,86.7,2.21
"New Zealand Hot Springs",ERR2240514,SAMEA104460207,P1.0421,88.3,2.92,Acidic,Spring,299.9,2.65
"New Zealand Hot Springs",ERR2240632,SAMEA104460325,P1.0543,64.1,2.68,Acidic,Spring,325.2,1.74
"New Zealand Hot Springs",ERR2240761,SAMEA104460454,P1.0674,19.3,2.85,Acidic,Spring,432.3,6.85
"New Zealand Hot Springs",ERR2240765,SAMEA104460458,P1.0679,34.5,2.69,Acidic,Spring,394.1,2.33
"New Zealand Hot Springs",ERR2240771,SAMEA104460464,P1.0685,40.2,2.69,Acidic,Spring,377.2,2.83
"New Zealand Hot Springs",ERR2240774,SAMEA104460467,P1.0688,29.1,2.62,Acidic,Spring,138.3,2.73
"New Zealand Hot Springs",ERR2240811,SAMEA104460504,P1.0726,39.4,2.89,Acidic,Spring,329,3.61
"New Zealand Hot Springs",ERR2240823,SAMEA104460516,P1.0739,58,2.25,Acidic,Spring,296.4,2.33
"New Zealand Hot Springs",ERR2240829,SAMEA104460522,P1.0745,29.6,1.75,Acidic,Spring,297.7,3.02
"New Zealand Hot Springs",ERR2240850,SAMEA104460543,P1.0766,21.3,2.52,Acidic,Lake,502.1,5.15
"New Zealand Hot Springs",ERR2240851,SAMEA104460544,P1.0767,22,2.57,Acidic,Spring,361.5,2.09
"New Zealand Hot Springs",ERR2240854,SAMEA104460547,P1.0770,36,2.63,Acidic,Lake,174.4,3.14
"New Zealand Hot Springs",ERR2240861,SAMEA104460554,P1.0777,42.3,2.04,Acidic,Spring,422.3,3.88
"New Zealand Hot Springs",ERR2240884,SAMEA104460577,P1.0800,28.5,2.09,Acidic,Spring,-55.6,2.12
"New Zealand Hot Springs",ERR2240889,SAMEA104460582,P1.0805,95.8,2.41,Acidic,Spring,16.7,1.15
"New Zealand Hot Springs",ERR2240898,SAMEA104460591,P1.0814,51.6,2.67,Acidic,Spring,164.4,1.09
"New Zealand Hot Springs",ERR2240922,SAMEA104460615,P1.0839,20.3,2.73,Acidic,Spring,411.6,4.7
"New Zealand Hot Springs",ERR2240935,SAMEA104460628,P1.0858,80.9,2.41,Acidic,Spring,-63.9,2.99
"New Zealand Hot Springs",ERR2240937,SAMEA104460630,P1.0860,83,2.39,Acidic,Spring,-60.1,3.06
"New Zealand Hot Springs",ERR2240948,SAMEA104460641,P1.0871,60.6,2.88,Acidic,Spring,-56,2.35
"New Zealand Hot Springs",ERR2240957,SAMEA104460650,P1.0880,26.4,1.43,Acidic,Spring,39.4,2.24
"New Zealand Hot Springs",ERR2240972,SAMEA104460665,P1.0896,27.3,2.1,Acidic,Spring,182,2.62
"New Zealand Hot Springs",ERR2241051,SAMEA104460744,P1.1010,51.7,1.34,Acidic,Spring,67.6,35.78
"New Zealand Hot Springs",ERR2240133,SAMEA104459826,P1.0005,42.6,8.41,Alkaline,Spring,174.1,4.1
"New Zealand Hot Springs",ERR2240146,SAMEA104459839,P1.0020,47,7.17,Alkaline,Spring,100.3,3.69
"New Zealand Hot Springs",ERR2240164,SAMEA104459857,P1.0038,98.8,7.65,Alkaline,Spring,133.8,3.66
"New Zealand Hot Springs",ERR2240169,SAMEA104459862,P1.0043,97.4,8.39,Alkaline,Spring,68.6,1.77
"New Zealand Hot Springs",ERR2240193,SAMEA104459886,P1.0069,96.6,8.13,Alkaline,Spring,18.2,1.72
"New Zealand Hot Springs",ERR2240237,SAMEA104459930,P1.0127,89.1,8.02,Alkaline,Spring,1.2,0.17
"New Zealand Hot Springs",ERR2240253,SAMEA104459946,P1.0145,35.7,8.5,Alkaline,Terrace,76.4,6.41
"New Zealand Hot Springs",ERR2240279,SAMEA104459972,P1.0178,31.7,8.69,Alkaline,Stream,66.9,8.93
"New Zealand Hot Springs",ERR2240280,SAMEA104459973,P1.0179,86.5,7.97,Alkaline,Spring,74.9,2.99
"New Zealand Hot Springs",ERR2240310,SAMEA104460003,P1.0209,83.7,8.38,Alkaline,Spring,57.6,3.94
