name,Run,BioSample,SampleName,Treatment,"Eh (mV)"
"Anaerobic Soil Disinfestation",SRR10216672,SAMN12876818,Initial,Initial,343
"Anaerobic Soil Disinfestation",SRR10216653,SAMN12876835,T1_D21_NCC_1,NCC,-78
"Anaerobic Soil Disinfestation",SRR10216652,SAMN12876836,T1_D21_NCC_2,NCC,-78
"Anaerobic Soil Disinfestation",SRR10216651,SAMN12876837,T1_D21_NCC_3,NCC,-78
"Anaerobic Soil Disinfestation",SRR10216650,SAMN12876838,T1_D21_NCC_4,NCC,-78
"Anaerobic Soil Disinfestation",SRR10216649,SAMN12876839,T1_D21_RB_1,RB,56
"Anaerobic Soil Disinfestation",SRR10216648,SAMN12876840,T1_D21_RB_2,RB,56
"Anaerobic Soil Disinfestation",SRR10216647,SAMN12876841,T1_D21_RB_3,RB,56
"Anaerobic Soil Disinfestation",SRR10216645,SAMN12876842,T1_D21_RB_4,RB,56
"Anaerobic Soil Disinfestation",SRR10216644,SAMN12876843,T1_D21_RGP_1,RGP,-116
"Anaerobic Soil Disinfestation",SRR10216643,SAMN12876844,T1_D21_RGP_2,RGP,-116
"Anaerobic Soil Disinfestation",SRR10216642,SAMN12876845,T1_D21_RGP_3,RGP,-116
"Anaerobic Soil Disinfestation",SRR10216641,SAMN12876846,T1_D21_RGP_4,RGP,-116
"Anaerobic Soil Disinfestation",SRR10216640,SAMN12876847,T1_D21_TP_1,TP,50
"Anaerobic Soil Disinfestation",SRR10216639,SAMN12876848,T1_D21_TP_2,TP,50
"Anaerobic Soil Disinfestation",SRR10216638,SAMN12876849,T1_D21_TP_3,TP,50
"Anaerobic Soil Disinfestation",SRR10216637,SAMN12876850,T1_D21_TP_4,TP,50
"Anaerobic Soil Disinfestation",SRR10216636,SAMN12876851,T1_D2_NCC_1,NCC,142
"Anaerobic Soil Disinfestation",SRR10216634,SAMN12876852,T1_D2_NCC_2,NCC,142
"Anaerobic Soil Disinfestation",SRR10216633,SAMN12876853,T1_D2_NCC_3,NCC,142
"Anaerobic Soil Disinfestation",SRR10216632,SAMN12876854,T1_D2_NCC_4,NCC,142
"Anaerobic Soil Disinfestation",SRR10216631,SAMN12876855,T1_D2_RB_1,RB,-265
"Anaerobic Soil Disinfestation",SRR10216630,SAMN12876856,T1_D2_RB_2,RB,-265
"Anaerobic Soil Disinfestation",SRR10216629,SAMN12876857,T1_D2_RB_3,RB,-265
"Anaerobic Soil Disinfestation",SRR10216628,SAMN12876858,T1_D2_RB_4,RB,-265
"Anaerobic Soil Disinfestation",SRR10216627,SAMN12876859,T1_D2_RGP_1,RGP,-40
"Anaerobic Soil Disinfestation",SRR10216626,SAMN12876860,T1_D2_RGP_2,RGP,-40
"Anaerobic Soil Disinfestation",SRR10216625,SAMN12876861,T1_D2_RGP_3,RGP,-40
"Anaerobic Soil Disinfestation",SRR10216623,SAMN12876862,T1_D2_RGP_4,RGP,-40
"Anaerobic Soil Disinfestation",SRR10216622,SAMN12876863,T1_D2_TP_1,TP,-89
"Anaerobic Soil Disinfestation",SRR10216621,SAMN12876864,T1_D2_TP_2,TP,-89
"Anaerobic Soil Disinfestation",SRR10216620,SAMN12876865,T1_D2_TP_3,TP,-89
"Anaerobic Soil Disinfestation",SRR10216619,SAMN12876866,T1_D2_TP_4,TP,-89
"Anaerobic Soil Disinfestation",SRR10216671,SAMN12876819,T1_D9_NCC_1,NCC,40
"Anaerobic Soil Disinfestation",SRR10216670,SAMN12876820,T1_D9_NCC_2,NCC,40
"Anaerobic Soil Disinfestation",SRR10216669,SAMN12876821,T1_D9_NCC_3,NCC,40
"Anaerobic Soil Disinfestation",SRR10216667,SAMN12876822,T1_D9_NCC_4,NCC,40
"Anaerobic Soil Disinfestation",SRR10216666,SAMN12876823,T1_D9_RB_1,RB,97
"Anaerobic Soil Disinfestation",SRR10216665,SAMN12876824,T1_D9_RB_2,RB,97
"Anaerobic Soil Disinfestation",SRR10216664,SAMN12876825,T1_D9_RB_3,RB,97
"Anaerobic Soil Disinfestation",SRR10216663,SAMN12876826,T1_D9_RB_4,RB,97
"Anaerobic Soil Disinfestation",SRR10216662,SAMN12876827,T1_D9_RGP_1,RGP,30
"Anaerobic Soil Disinfestation",SRR10216661,SAMN12876828,T1_D9_RGP_2,RGP,30
"Anaerobic Soil Disinfestation",SRR10216660,SAMN12876829,T1_D9_RGP_3,RGP,30
"Anaerobic Soil Disinfestation",SRR10216659,SAMN12876830,T1_D9_RGP_4,RGP,30
"Anaerobic Soil Disinfestation",SRR10216658,SAMN12876831,T1_D9_TP_1,TP,129
"Anaerobic Soil Disinfestation",SRR10216656,SAMN12876832,T1_D9_TP_2,TP,129
"Anaerobic Soil Disinfestation",SRR10216655,SAMN12876833,T1_D9_TP_3,TP,129
"Anaerobic Soil Disinfestation",SRR10216654,SAMN12876834,T1_D9_TP_4,TP,129
