name,Run,LibraryName,BioSample,SampleName,Compartment,Spartina,Depth,Location,Year,Eh,pH,Salinity
"Georgia Salt Marshes",SRR12995242,Spartina002,SAMN16678213,Sapelo18_Bulk_sediment_T1_P1_0-5,"Bulk sediment",Tall,0-5,Sapelo,2018,78.7,7.5,30.02
"Georgia Salt Marshes",SRR12995243,Spartina001,SAMN16678212,Sapelo18_Bulk_sediment_T1_P1_5-10,"Bulk sediment",Tall,10-05,Sapelo,2018,-143.3,6.8,23.24
"Georgia Salt Marshes",SRR12995272,Spartina004,SAMN16678215,Sapelo18_Bulk_sediment_T1_P2_0-5,"Bulk sediment",Medium,0-5,Sapelo,2018,-287,6.2,35.7
"Georgia Salt Marshes",SRR12995224,Spartina003,SAMN16678214,Sapelo18_Bulk_sediment_T1_P2_5-10,"Bulk sediment",Medium,10-05,Sapelo,2018,-373.7,6.7,37.26
"Georgia Salt Marshes",SRR12995250,Spartina006,SAMN16678217,Sapelo18_Bulk_sediment_T1_P3_0-5,"Bulk sediment",Short,0-5,Sapelo,2018,-332.3,6.4,42.98
"Georgia Salt Marshes",SRR12995261,Spartina005,SAMN16678216,Sapelo18_Bulk_sediment_T1_P3_5-10,"Bulk sediment",Short,10-05,Sapelo,2018,-405,6.6,38.46
"Georgia Salt Marshes",SRR12995290,Spartina008,SAMN16678219,Sapelo18_Bulk_sediment_T1_P4_0-5,"Bulk sediment",Short,0-5,Sapelo,2018,-254.5,6.7,33.63
"Georgia Salt Marshes",SRR12995301,Spartina007,SAMN16678218,Sapelo18_Bulk_sediment_T1_P4_5-10,"Bulk sediment",Short,10-05,Sapelo,2018,-310.5,6.6,39.03
"Georgia Salt Marshes",SRR12995279,Spartina009,SAMN16678220,Sapelo18_Bulk_sediment_T2_P1_5-10,"Bulk sediment",Tall,10-05,Sapelo,2018,20,6.2,17.17
"Georgia Salt Marshes",SRR12995241,Spartina011,SAMN16678222,Sapelo18_Bulk_sediment_T2_P2_5-10,"Bulk sediment",Medium,10-05,Sapelo,2018,-226.5,6.6,19.26
"Georgia Salt Marshes",SRR12995235,Spartina020,SAMN16678231,Sapelo18_Bulk_sediment_T3_P3_0-5,"Bulk sediment",Short,0-5,Sapelo,2018,-362,6.5,37.41
"Georgia Salt Marshes",SRR12995218,Spartina022,SAMN16678233,Sapelo18_Bulk_sediment_T4_P1_0-5,"Bulk sediment",Tall,0-5,Sapelo,2018,18,7.1,22.46
"Georgia Salt Marshes",SRR12995223,Spartina021,SAMN16678232,Sapelo18_Bulk_sediment_T4_P1_5-10,"Bulk sediment",Tall,10-05,Sapelo,2018,-29,6,20.45
"Georgia Salt Marshes",SRR12995216,Spartina024,SAMN16678235,Sapelo18_Bulk_sediment_T4_P2_0-5,"Bulk sediment",Medium,0-5,Sapelo,2018,-295.5,6.8,35.5
"Georgia Salt Marshes",SRR12995217,Spartina023,SAMN16678234,Sapelo18_Bulk_sediment_T4_P2_5-10,"Bulk sediment",Medium,10-05,Sapelo,2018,-385.5,6.8,29.67
"Georgia Salt Marshes",SRR12995214,Spartina026,SAMN16678237,Sapelo18_Bulk_sediment_T4_P3_0-5,"Bulk sediment",Short,0-5,Sapelo,2018,-271.5,6.5,43.63
"Georgia Salt Marshes",SRR12995215,Spartina025,SAMN16678236,Sapelo18_Bulk_sediment_T4_P3_5-10,"Bulk sediment",Short,10-05,Sapelo,2018,-347.5,6.6,46.09
"Georgia Salt Marshes",SRR12995276,Spartina028,SAMN16678239,Sapelo2018_Endosphere_T1_P1_0-5,Root,Tall,0-5,Sapelo,2018,-143.3,6.8,23.24
"Georgia Salt Marshes",SRR12995213,Spartina027,SAMN16678238,Sapelo2018_Endosphere_T1_P1_5-10,Root,Tall,10-05,Sapelo,2018,78.7,7.5,30.02
"Georgia Salt Marshes",SRR12995273,Spartina030,SAMN16678241,Sapelo2018_Endosphere_T1_P2_0-5,Root,Medium,0-5,Sapelo,2018,-373.7,6.7,37.26
"Georgia Salt Marshes",SRR12995274,Spartina029,SAMN16678240,Sapelo2018_Endosphere_T1_P2_5-10,Root,Medium,10-05,Sapelo,2018,-287,6.2,35.7
"Georgia Salt Marshes",SRR12995270,Spartina032,SAMN16678243,Sapelo2018_Endosphere_T1_P3_0-5,Root,Short,0-5,Sapelo,2018,-405,6.6,38.46
"Georgia Salt Marshes",SRR12995271,Spartina031,SAMN16678242,Sapelo2018_Endosphere_T1_P3_5-10,Root,Short,10-05,Sapelo,2018,-332.3,6.4,42.98
"Georgia Salt Marshes",SRR12995268,Spartina034,SAMN16678245,Sapelo2018_Endosphere_T1_P4_0-5,Root,Short,0-5,Sapelo,2018,-310.5,6.6,39.03
"Georgia Salt Marshes",SRR12995269,Spartina033,SAMN16678244,Sapelo2018_Endosphere_T1_P4_5-10,Root,Short,10-05,Sapelo,2018,-254.5,6.7,33.63
"Georgia Salt Marshes",SRR12995266,Spartina036,SAMN16678247,Sapelo2018_Endosphere_T2_P1_0-5,Root,Tall,0-5,Sapelo,2018,20,6.2,17.17
"Georgia Salt Marshes",SRR12995267,Spartina035,SAMN16678246,Sapelo2018_Endosphere_T2_P1_5-10,Root,Tall,10-05,Sapelo,2018,34.5,7.1,26.62
"Georgia Salt Marshes",SRR12995264,Spartina038,SAMN16678249,Sapelo2018_Endosphere_T2_P2_0-5,Root,Medium,0-5,Sapelo,2018,-226.5,6.6,19.26
"Georgia Salt Marshes",SRR12995265,Spartina037,SAMN16678248,Sapelo2018_Endosphere_T2_P2_5-10,Root,Medium,10-05,Sapelo,2018,-66,7.1,26.22
"Georgia Salt Marshes",SRR12995262,Spartina040,SAMN16678251,Sapelo2018_Endosphere_T2_P3_0-5,Root,Short,0-5,Sapelo,2018,-346,6.5,32.87
"Georgia Salt Marshes",SRR12995263,Spartina039,SAMN16678250,Sapelo2018_Endosphere_T2_P3_5-10,Root,Short,10-05,Sapelo,2018,-143,6.5,34.77
"Georgia Salt Marshes",SRR12995259,Spartina042,SAMN16678253,Sapelo2018_Endosphere_T4_P1_0-5,Root,Tall,0-5,Sapelo,2018,-29,6,20.45
"Georgia Salt Marshes",SRR12995260,Spartina041,SAMN16678252,Sapelo2018_Endosphere_T4_P1_5-10,Root,Tall,10-05,Sapelo,2018,18,7.1,22.46
"Georgia Salt Marshes",SRR12995257,Spartina044,SAMN16678255,Sapelo2018_Endosphere_T4_P2_0-5,Root,Medium,0-5,Sapelo,2018,-385.5,6.8,29.67
"Georgia Salt Marshes",SRR12995258,Spartina043,SAMN16678254,Sapelo2018_Endosphere_T4_P2_5-10,Root,Medium,10-05,Sapelo,2018,-295.5,6.8,35.5
"Georgia Salt Marshes",SRR12995255,Spartina046,SAMN16678257,Sapelo2018_Endosphere_T4_P3_0-5,Root,Short,0-5,Sapelo,2018,-347.5,6.6,46.09
"Georgia Salt Marshes",SRR12995256,Spartina045,SAMN16678256,Sapelo2018_Endosphere_T4_P3_5-10,Root,Short,10-05,Sapelo,2018,-271.5,6.5,43.63
"Georgia Salt Marshes",SRR12995253,Spartina048,SAMN16678259,Sapelo2018_Rhizosphere_T1_P1_0-5,Rhizosphere,Tall,0-5,Sapelo,2018,-143.3,6.8,23.24
"Georgia Salt Marshes",SRR12995254,Spartina047,SAMN16678258,Sapelo2018_Rhizosphere_T1_P1_5-10,Rhizosphere,Tall,10-05,Sapelo,2018,78.7,7.5,30.02
"Georgia Salt Marshes",SRR12995251,Spartina050,SAMN16678261,Sapelo2018_Rhizosphere_T1_P2_0-5,Rhizosphere,Medium,0-5,Sapelo,2018,-373.7,6.7,37.26
"Georgia Salt Marshes",SRR12995252,Spartina049,SAMN16678260,Sapelo2018_Rhizosphere_T1_P2_5-10,Rhizosphere,Medium,10-05,Sapelo,2018,-287,6.2,35.7
"Georgia Salt Marshes",SRR12995248,Spartina052,SAMN16678263,Sapelo2018_Rhizosphere_T1_P3_0-5,Rhizosphere,Short,0-5,Sapelo,2018,-405,6.6,38.46
"Georgia Salt Marshes",SRR12995249,Spartina051,SAMN16678262,Sapelo2018_Rhizosphere_T1_P3_5-10,Rhizosphere,Short,10-05,Sapelo,2018,-332.3,6.4,42.98
"Georgia Salt Marshes",SRR12995246,Spartina054,SAMN16678265,Sapelo2018_Rhizosphere_T1_P4_0-5,Rhizosphere,Short,0-5,Sapelo,2018,-310.5,6.6,39.03
"Georgia Salt Marshes",SRR12995247,Spartina053,SAMN16678264,Sapelo2018_Rhizosphere_T1_P4_5-10,Rhizosphere,Short,10-05,Sapelo,2018,-254.5,6.7,33.63
"Georgia Salt Marshes",SRR12995244,Spartina056,SAMN16678267,Sapelo2018_Rhizosphere_T2_P1_0-5,Rhizosphere,Tall,0-5,Sapelo,2018,20,6.2,17.17
"Georgia Salt Marshes",SRR12995245,Spartina055,SAMN16678266,Sapelo2018_Rhizosphere_T2_P1_5-10,Rhizosphere,Tall,10-05,Sapelo,2018,34.5,7.1,26.62
"Georgia Salt Marshes",SRR12995304,Spartina058,SAMN16678269,Sapelo2018_Rhizosphere_T2_P2_0-5,Rhizosphere,Medium,0-5,Sapelo,2018,-226.5,6.6,19.26
