Name,Run,spots,BioSample,Sample,Metaproteome
"Manus Basin Active Chimneys",ERR435816,105,SAMEA2300702,RMR-D-Ext-Orange,NA
"Manus Basin Active Chimneys",ERR435817,3810,SAMEA2300702,RMR-D-Ext-Orange,DffDRAFT
"Manus Basin Active Chimneys",ERR435818,6447,SAMEA2300703,RMR-D-Ext-White,NA
"Manus Basin Active Chimneys",ERR435815,10575,SAMEA2300703,RMR-D-Ext-White,NA
"Manus Basin Active Chimneys",ERR435821,230,SAMEA2300704,RMR5-Ext-White,NA
"Manus Basin Active Chimneys",ERR435822,5123,SAMEA2300704,RMR5-Ext-White,NA
"Manus Basin Active Chimneys",ERR435820,64,SAMEA2300705,RMR5-Ext-Dark,NA
"Manus Basin Active Chimneys",ERR435819,26754,SAMEA2300706,RMR5-Bulk-Conduit,FcsdDRAFT
"Manus Basin Active Chimneys",ERR435825,1478,SAMEA2300707,SM4-Ext-White,NA
"Manus Basin Active Chimneys",ERR435824,8215,SAMEA2300708,SM-I-Ext-Dark,NA
"Manus Basin Active Chimneys",ERR435823,986,SAMEA2300709,SM-I-Bulk,NA
