Name,Run,BioSample,sample,Domain,Zone,pH,"Redox (mV)"
"Microbial Mat, Kiritimati Atoll",SRR554403,SAMN01162119,"Layer 1",Bacteria,Photic-oxic,7.71,-44
"Microbial Mat, Kiritimati Atoll",SRR554433,SAMN01162119,"Layer 1",Archaea,Photic-oxic,7.71,-44
"Microbial Mat, Kiritimati Atoll",SRR554434,SAMN01162119,"Layer 1",Archaea,Photic-oxic,7.71,-44
"Microbial Mat, Kiritimati Atoll",SRR554435,SAMN01162119,"Layer 1",Archaea,Photic-oxic,7.71,-44
"Microbial Mat, Kiritimati Atoll",SRR554436,SAMN01162119,"Layer 1",Archaea,Photic-oxic,7.71,-44
"Microbial Mat, Kiritimati Atoll",SRR554428,SAMN01162119,"Layer 1",Archaea,Photic-oxic,7.71,-44
"Microbial Mat, Kiritimati Atoll",SRR554437,SAMN01162121,"Layer 2",Archaea,Photic-oxic,7.71,-44
"Microbial Mat, Kiritimati Atoll",SRR554405,SAMN01162121,"Layer 2",Bacteria,Photic-oxic,7.71,-44
"Microbial Mat, Kiritimati Atoll",SRR554407,SAMN01162121,"Layer 2",Bacteria,Photic-oxic,7.71,-44
"Microbial Mat, Kiritimati Atoll",SRR554408,SAMN01162122,"Layer 3",Bacteria,Photic-oxic,7.71,-44
"Microbial Mat, Kiritimati Atoll",SRR554409,SAMN01162122,"Layer 3",Bacteria,Photic-oxic,7.71,-44
"Microbial Mat, Kiritimati Atoll",SRR554438,SAMN01162122,"Layer 3",Archaea,Photic-oxic,7.71,-44
"Microbial Mat, Kiritimati Atoll",SRR554439,SAMN01162127,"Layer 4",Archaea,Transition,6.71,-123
"Microbial Mat, Kiritimati Atoll",SRR554410,SAMN01162127,"Layer 4",Bacteria,Transition,6.71,-123
"Microbial Mat, Kiritimati Atoll",SRR554412,SAMN01162127,"Layer 4",Bacteria,Transition,6.71,-123
"Microbial Mat, Kiritimati Atoll",SRR554413,SAMN01162128,"Layer 5",Bacteria,Transition,6.67,-123
"Microbial Mat, Kiritimati Atoll",SRR554414,SAMN01162128,"Layer 5",Bacteria,Transition,6.67,-132
"Microbial Mat, Kiritimati Atoll",SRR554415,SAMN01162128,"Layer 5",Bacteria,Transition,6.67,-132
"Microbial Mat, Kiritimati Atoll",SRR566535,SAMN01162128,"Layer 5",Archaea,Transition,6.67,-132
"Microbial Mat, Kiritimati Atoll",SRR566536,SAMN01162128,"Layer 5",Archaea,Transition,6.67,-132
"Microbial Mat, Kiritimati Atoll",SRR566537,SAMN01162128,"Layer 5",Archaea,Transition,6.67,-132
"Microbial Mat, Kiritimati Atoll",SRR566538,SAMN01162128,"Layer 5",Archaea,Transition,6.67,-132
"Microbial Mat, Kiritimati Atoll",SRR554429,SAMN01162129,"Layer 6",Archaea,Transition,6.67,-142
"Microbial Mat, Kiritimati Atoll",SRR554416,SAMN01162129,"Layer 6",Bacteria,Transition,6.67,-142
"Microbial Mat, Kiritimati Atoll",SRR554417,SAMN01162129,"Layer 6",Bacteria,Transition,6.67,-142
"Microbial Mat, Kiritimati Atoll",SRR554418,SAMN01162129,"Layer 6",Bacteria,Transition,6.67,-142
"Microbial Mat, Kiritimati Atoll",SRR554440,SAMN01162129,"Layer 6",Archaea,Transition,6.67,-142
"Microbial Mat, Kiritimati Atoll",SRR554441,SAMN01162129,"Layer 6",Archaea,Transition,6.67,-142
"Microbial Mat, Kiritimati Atoll",SRR554442,SAMN01162129,"Layer 6",Archaea,Transition,6.67,-142
"Microbial Mat, Kiritimati Atoll",SRR554443,SAMN01162130,"Layer 7",Archaea,Anoxic,6.67,-135
"Microbial Mat, Kiritimati Atoll",SRR554444,SAMN01162130,"Layer 7",Archaea,Anoxic,6.67,-135
"Microbial Mat, Kiritimati Atoll",SRR554445,SAMN01162130,"Layer 7",Archaea,Anoxic,6.67,-135
"Microbial Mat, Kiritimati Atoll",SRR554419,SAMN01162130,"Layer 7",Bacteria,Anoxic,6.67,-135
"Microbial Mat, Kiritimati Atoll",SRR554420,SAMN01162130,"Layer 7",Bacteria,Anoxic,6.67,-135
"Microbial Mat, Kiritimati Atoll",SRR554421,SAMN01162130,"Layer 7",Bacteria,Anoxic,6.67,-135
"Microbial Mat, Kiritimati Atoll",SRR554430,SAMN01162130,"Layer 7",Archaea,Anoxic,6.67,-135
"Microbial Mat, Kiritimati Atoll",SRR554431,SAMN01162131,"Layer 8",Archaea,Anoxic,6.67,-135
"Microbial Mat, Kiritimati Atoll",SRR554422,SAMN01162131,"Layer 8",Bacteria,Anoxic,6.67,-135
"Microbial Mat, Kiritimati Atoll",SRR554423,SAMN01162131,"Layer 8",Bacteria,Anoxic,6.67,-135
"Microbial Mat, Kiritimati Atoll",SRR554424,SAMN01162131,"Layer 8",Bacteria,Anoxic,6.67,-135
"Microbial Mat, Kiritimati Atoll",SRR554446,SAMN01162131,"Layer 8",Archaea,Anoxic,6.67,-135
"Microbial Mat, Kiritimati Atoll",SRR554447,SAMN01162131,"Layer 8",Archaea,Anoxic,6.67,-135
"Microbial Mat, Kiritimati Atoll",SRR554448,SAMN01162131,"Layer 8",Archaea,Anoxic,6.67,-135
"Microbial Mat, Kiritimati Atoll",SRR554449,SAMN01162132,"Layer 9",Archaea,Anoxic,6.67,-135
"Microbial Mat, Kiritimati Atoll",SRR554450,SAMN01162132,"Layer 9",Archaea,Anoxic,6.67,-135
"Microbial Mat, Kiritimati Atoll",SRR554451,SAMN01162132,"Layer 9",Archaea,Anoxic,6.67,-135
"Microbial Mat, Kiritimati Atoll",SRR554425,SAMN01162132,"Layer 9",Bacteria,Anoxic,6.67,-135
"Microbial Mat, Kiritimati Atoll",SRR554426,SAMN01162132,"Layer 9",Bacteria,Anoxic,6.67,-135
"Microbial Mat, Kiritimati Atoll",SRR554427,SAMN01162132,"Layer 9",Bacteria,Anoxic,6.67,-135
"Microbial Mat, Kiritimati Atoll",SRR554432,SAMN01162132,"Layer 9",Archaea,Anoxic,6.67,-135
