Name,Run,Experiment,BioSample,LibraryName,Sample,Date,Depth,"T (°C)","O2 (mg/L)","ORP (mV)",pH
"Lake Varese, Italy",SRR13517066,SRX9928181,SAMN17524512,2016_31_08_E_16S,2016_31_08_E,2016-08-31,Epi,25,9.7,134.3,8.5
NA,NA,NA,NA,NA,NA,2016-08-31,Secchi,9.3,0,-141.7,7.1
"Lake Varese, Italy",SRR13517067,SRX9928180,SAMN17524514,2016_31_08_M_16S,2016_31_08_M,2016-08-31,Meso,9.3,0,-141.7,7.1
"Lake Varese, Italy",SRR13517053,SRX9928194,SAMN17524541,2016_07_09_E_16S,2016_07_09_E,2016-09-07,Epi,24.8,8.2,182.5,8.5
"Lake Varese, Italy",SRR13517055,SRX9928192,SAMN17524539,2016_07_09_S_16S,2016_07_09_S,2016-09-07,Secchi,15,1.1,193,7.5
"Lake Varese, Italy",SRR13517054,SRX9928193,SAMN17524540,2016_07_09_M_16S,2016_07_09_M,2016-09-07,Meso,10.2,0,-137.3,7.2
"Lake Varese, Italy",SRR13517056,SRX9928191,SAMN17524538,2016_14_09_E_16S,2016_14_09_E,2016-09-14,Epi,25.2,8.8,192.3,8.4
"Lake Varese, Italy",SRR13517057,SRX9928190,SAMN17524537,2016_14_09_S_16S,2016_14_09_S,2016-09-14,Secchi,16.8,0.1,212,7.3
"Lake Varese, Italy",SRR13517058,SRX9928189,SAMN17524536,2016_14_09_M_16S,2016_14_09_M,2016-09-14,Meso,9.7,0,-157,7
"Lake Varese, Italy",SRR13517059,SRX9928188,SAMN17524535,2016_21_09_E_16S,2016_21_09_E,2016-09-21,Epi,22.2,8.5,205.7,8.3
"Lake Varese, Italy",SRR13517061,SRX9928186,SAMN17524512,2016_21_09_S_16S,2016_21_09_S,2016-09-21,Secchi,15.8,0,15.07,7.3
"Lake Varese, Italy",SRR13517060,SRX9928187,SAMN17524534,2016_21_09_M_16S,2016_21_09_M,2016-09-21,Meso,10.1,0,-153.3,7.1
"Lake Varese, Italy",SRR13517064,SRX9928183,SAMN17524512,2016_28_09_E_16S,2016_28_09_E,2016-09-28,Epi,21.7,9,155,8.5
"Lake Varese, Italy",SRR13517065,SRX9928182,SAMN17524530,2016_28_09_S_16S,2016_28_09_S,2016-09-28,Secchi,12.5,0,-14.3,7.2
"Lake Varese, Italy",SRR13517062,SRX9928185,SAMN17524512,2016_28_09_M_16S,2016_28_09_M,2016-09-28,Meso,9.7,0,-175,7.1
"Lake Varese, Italy",SRR13517050,SRX9928197,SAMN17524543,2016_05_10_E_16S,2016_05_10_E,2016-10-05,Epi,20.4,8,-51.3,8.3
NA,NA,NA,NA,NA,NA,2016-10-05,Secchi,10,0,-152,7.2
"Lake Varese, Italy",SRR13517051,SRX9928196,SAMN17524542,2016_05_10_M_16S,2016_05_10_M,2016-10-05,Meso,10,0,-152,7.2
"Lake Varese, Italy",SRR13517070,SRX9928177,SAMN17524512,2017_02_08_E_16S,2017_02_08_E,2017-08-02,Epi,27.2,10.54,NA,8.9
"Lake Varese, Italy",SRR13517073,SRX9928174,SAMN17524513,2017_02_08_S_16S,2017_02_08_S,2017-08-02,Secchi,26.4,11.2,26.4,8.9
