name,Run,BioSample,sample,Depth,"DO (mg/L)",pH,"ORP (mV)","EC (μs/cm)","Temp (°C)"
"Lower Chao Praya Basin",SRR11687821,SAMN14829339,DW1,Deep,2.14,6.56,-64.8,544,28.8
"Lower Chao Praya Basin",SRR11687820,SAMN14829340,DW2,Deep,5.31,6.64,173.7,350,31.5
"Lower Chao Praya Basin",SRR11687816,SAMN14829341,DW3,Deep,4.74,6.55,172.6,371,28.5
"Lower Chao Praya Basin",SRR11687815,SAMN14829342,DW4,Deep,2.48,6.42,189.7,362,30.2
"Lower Chao Praya Basin",SRR11687814,SAMN14829343,DW5,Deep,4.39,6.51,144.3,362,30
"Lower Chao Praya Basin",SRR11687813,SAMN14829344,DW6,Deep,4.84,6.89,177.5,589,30.6
"Lower Chao Praya Basin",SRR11687817,SAMN14829351,SW,Surface,4.61,6.9,182.9,311,29.1
"Lower Chao Praya Basin",SRR11687812,SAMN14829345,W1,Shallow,2.77,6.42,147.5,270,25.8
"Lower Chao Praya Basin",SRR11687811,SAMN14829346,W2,Shallow,2.47,6.3,217.2,350,30
"Lower Chao Praya Basin",SRR11687810,SAMN14829347,W3,Shallow,2.49,6.24,87,330,30.6
"Lower Chao Praya Basin",SRR11687809,SAMN14829348,W4,Shallow,3.6,6.6,199.4,282,27.4
"Lower Chao Praya Basin",SRR11687819,SAMN14829349,W5,Shallow,2.5,6.53,208.2,546,27.1
"Lower Chao Praya Basin",SRR11687818,SAMN14829350,W6,Shallow,2.83,6.38,200.5,334,28.1
