name,Run,BioSample,sample,"depth (mm)",source,Treatment,"Redox (mV)","O2 (μmol/L)"
"Estuarine Sediment Mesocosms",SRR12038450,SAMN15295796,exneg,None,"intertidal sediment microcosm",NA,NA,NA
"Estuarine Sediment Mesocosms",SRR12038402,SAMN15295877,expos,None,"Starting sediment",NA,NA,NA
"Estuarine Sediment Mesocosms",SRR12038451,SAMN15295795,pcrneg,None,"intertidal sediment microcosm",NA,NA,NA
"Estuarine Sediment Mesocosms",SRR12038439,SAMN15295797,t01d00,0,"C. volutator rep1","C. volutator",211,2
"Estuarine Sediment Mesocosms",SRR12038428,SAMN15295798,t01d15,15,"C. volutator rep1","C. volutator",147,1.7
"Estuarine Sediment Mesocosms",SRR12038417,SAMN15295799,t01d30,30,"C. volutator rep1","C. volutator",92,0
"Estuarine Sediment Mesocosms",SRR12038391,SAMN15295800,t01d45,45,"C. volutator rep1","C. volutator",62,0
"Estuarine Sediment Mesocosms",SRR12038380,SAMN15295801,t02d00,0,"H. diversicolor rep1","H. diversicolor",176,0.3
"Estuarine Sediment Mesocosms",SRR12038369,SAMN15295802,t02d15,15,"H. diversicolor rep1","H. diversicolor",129,0.1
"Estuarine Sediment Mesocosms",SRR12038405,SAMN15295803,t02d30,30,"H. diversicolor rep1","H. diversicolor",92,0
"Estuarine Sediment Mesocosms",SRR12038401,SAMN15295804,t02d45,45,"H. diversicolor rep1","H. diversicolor",65,0
"Estuarine Sediment Mesocosms",SRR12038449,SAMN15295805,t03d00,0,"Cv &amp; Hd rep1","Cv & Hd",195,3.2
"Estuarine Sediment Mesocosms",SRR12038448,SAMN15295806,t03d15,15,"Cv &amp; Hd rep1","Cv & Hd",142,1.2
"Estuarine Sediment Mesocosms",SRR12038447,SAMN15295807,t03d0,30,"Cv &amp; Hd rep1","Cv & Hd",101,0
"Estuarine Sediment Mesocosms",SRR12038446,SAMN15295808,t03d45,45,"Cv &amp; Hd rep1","Cv & Hd",75,0
"Estuarine Sediment Mesocosms",SRR12038445,SAMN15295809,t04d00,0,"MPB rep1",MPB,149,1.1
"Estuarine Sediment Mesocosms",SRR12038444,SAMN15295810,t04d15,15,"MPB rep1",MPB,105,0.1
"Estuarine Sediment Mesocosms",SRR12038443,SAMN15295811,t04d30,30,"MPB rep1",MPB,80,0
"Estuarine Sediment Mesocosms",SRR12038442,SAMN15295812,t04d45,45,"MPB rep1",MPB,63,0
"Estuarine Sediment Mesocosms",SRR12038441,SAMN15295813,t05d00,0,"Manual turbation rep1","Manual turbation",189,0.3
"Estuarine Sediment Mesocosms",SRR12038440,SAMN15295814,t05d15,15,"Manual turbation rep1","Manual turbation",151,0.2
"Estuarine Sediment Mesocosms",SRR12038438,SAMN15295815,t05d30,30,"Manual turbation rep1","Manual turbation",87,0
"Estuarine Sediment Mesocosms",SRR12038437,SAMN15295816,t05d45,45,"Manual turbation rep1","Manual turbation",59,0
"Estuarine Sediment Mesocosms",SRR12038436,SAMN15295817,t06d00,0,"C. volutator rep2","C. volutator",211,2
"Estuarine Sediment Mesocosms",SRR12038435,SAMN15295818,t06d15,15,"C. volutator rep2","C. volutator",147,1.7
"Estuarine Sediment Mesocosms",SRR12038434,SAMN15295819,t06d30,30,"C. volutator rep2","C. volutator",92,0
"Estuarine Sediment Mesocosms",SRR12038433,SAMN15295820,t06d45,45,"C. volutator rep2","C. volutator",62,0
"Estuarine Sediment Mesocosms",SRR12038432,SAMN15295821,t07d00,0,"H. diversicolor rep2","H. diversicolor",176,0.3
"Estuarine Sediment Mesocosms",SRR12038431,SAMN15295822,t07d15,15,"H. diversicolor rep2","H. diversicolor",129,0.1
"Estuarine Sediment Mesocosms",SRR12038430,SAMN15295823,t07d30,30,"H. diversicolor rep2","H. diversicolor",92,0
"Estuarine Sediment Mesocosms",SRR12038429,SAMN15295824,t07d45,45,"H. diversicolor rep2","H. diversicolor",65,0
"Estuarine Sediment Mesocosms",SRR12038427,SAMN15295825,t08d00,0,"Cv &amp; Hd rep2","Cv & Hd",195,3.2
"Estuarine Sediment Mesocosms",SRR12038426,SAMN15295826,t08d15,15,"Cv &amp; Hd rep2","Cv & Hd",142,1.2
"Estuarine Sediment Mesocosms",SRR12038425,SAMN15295827,t08d30,30,"Cv &amp; Hd rep2","Cv & Hd",101,0
"Estuarine Sediment Mesocosms",SRR12038424,SAMN15295828,t08d45,45,"Cv &amp; Hd rep2","Cv & Hd",75,0
"Estuarine Sediment Mesocosms",SRR12038423,SAMN15295829,t09d00,0,"MPB rep2",MPB,149,1.1
"Estuarine Sediment Mesocosms",SRR12038422,SAMN15295830,t09d15,15,"MPB rep2",MPB,105,0.1
"Estuarine Sediment Mesocosms",SRR12038421,SAMN15295831,t09d30,30,"MPB rep2",MPB,80,0
"Estuarine Sediment Mesocosms",SRR12038420,SAMN15295832,t09d45,45,"MPB rep2",MPB,63,0
"Estuarine Sediment Mesocosms",SRR12038419,SAMN15295833,t10d00,0,"Manual turbation rep2","Manual turbation",189,0.3
