Name,Run,BioSample,SampleName,Season,pH,"Eh (mV)","TOC (%)"
"Cardinal Pond, Poland",SRR19049962,SAMN27865159,sed_1_Sp,Spring,7.63,449.1,12.875
"Cardinal Pond, Poland",SRR19049954,SAMN27865160,sed_2_Sp,Spring,7.413,247.266,31.086
"Cardinal Pond, Poland",SRR19049951,SAMN27865161,sed_3_Sp,Spring,7.576,166.9,8.653
"Cardinal Pond, Poland",SRR19049936,SAMN27865162,sed_4_Sp,Spring,7.62,211.5,8.02
"Cardinal Pond, Poland",SRR19049925,SAMN27865163,sed_5_Sp,Spring,7.556,301.6,22.865
"Cardinal Pond, Poland",SRR19049961,SAMN27865164,sed_6_Sp,Spring,7.936,298.366,11.176
"Cardinal Pond, Poland",SRR19049960,SAMN27865165,sed_7_Sp,Spring,7.873,297.7,6.58
"Cardinal Pond, Poland",SRR19049959,SAMN27865166,sed_8_Sp,Spring,7.56,303.5,22.572
"Cardinal Pond, Poland",SRR19049957,SAMN27865167,sed_9_Sp,Spring,7.313,139.666,6.326
"Cardinal Pond, Poland",SRR19049958,SAMN27865168,sed_10_Sp,Spring,7.383,224.333,17.403
"Cardinal Pond, Poland",SRR19049955,SAMN27865169,sed_1_Su,Summer,7.603,427.9,18.481
"Cardinal Pond, Poland",SRR19049956,SAMN27865170,sed_2_Su,Summer,7.646,429.133,20.661
"Cardinal Pond, Poland",SRR19049943,SAMN27865171,sed_3_Su,Summer,7.673,286,34.435
"Cardinal Pond, Poland",SRR19049944,SAMN27865172,sed_4_Su,Summer,7.723,126.433,11.369
"Cardinal Pond, Poland",SRR19049945,SAMN27865173,sed_5_Su,Summer,7.423,298.3,42.09
"Cardinal Pond, Poland",SRR19049947,SAMN27865174,sed_6_Su,Summer,7.59,297.3,14.281
"Cardinal Pond, Poland",SRR19049946,SAMN27865175,sed_7_Su,Summer,7.593,212.266,3.16
"Cardinal Pond, Poland",SRR19049948,SAMN27865176,sed_8_Su,Summer,7.67,258.2,4.26
"Cardinal Pond, Poland",SRR19049949,SAMN27865177,sed_9_Su,Summer,7.483,267.066,5.58
"Cardinal Pond, Poland",SRR19049950,SAMN27865178,sed_10_Su,Summer,7.356,273.966,30.373
"Cardinal Pond, Poland",SRR19049953,SAMN27865179,sed_1_A,Autumn,7.76,303.766,20.803
"Cardinal Pond, Poland",SRR19049942,SAMN27865180,sed_2_A,Autumn,7.546,303.166,26.895
"Cardinal Pond, Poland",SRR19049933,SAMN27865181,sed_3_A,Autumn,7.39,355,22.538
"Cardinal Pond, Poland",SRR19049932,SAMN27865182,sed_4_A,Autumn,7.656,191.5,12.716
"Cardinal Pond, Poland",SRR19049952,SAMN27865183,sed_5_A,Autumn,7.03,357.5,65.78
"Cardinal Pond, Poland",SRR19049941,SAMN27865184,sed_6_A,Autumn,7.35,357.066,8.98
"Cardinal Pond, Poland",SRR19049940,SAMN27865185,sed_7_A,Autumn,7.643,342.3,4.913
"Cardinal Pond, Poland",SRR19049939,SAMN27865186,sed_8_A,Autumn,7.686,295.333,11.19
"Cardinal Pond, Poland",SRR19049938,SAMN27865187,sed_9_A,Autumn,7.59,306.766,7.003
"Cardinal Pond, Poland",SRR19049937,SAMN27865188,sed_10_A,Autumn,7.386,357.166,62.053
"Cardinal Pond, Poland",SRR19049935,SAMN27865189,sed_1_W,Winter,6.873,322.4,19.016
"Cardinal Pond, Poland",SRR19049934,SAMN27865190,sed_2_W,Winter,7.393,327.266,57.178
"Cardinal Pond, Poland",SRR19049924,SAMN27865191,sed_3_W,Winter,7.36,331.166,21.493
"Cardinal Pond, Poland",SRR19049923,SAMN27865192,sed_4_W,Winter,7.46,349.666,12.403
"Cardinal Pond, Poland",SRR19049931,SAMN27865193,sed_5_W,Winter,7.26,328.933,3.613
"Cardinal Pond, Poland",SRR19049930,SAMN27865194,sed_6_W,Winter,7.41,339.6,14.348
"Cardinal Pond, Poland",SRR19049929,SAMN27865195,sed_7_W,Winter,7.483,323.466,3.173
"Cardinal Pond, Poland",SRR19049928,SAMN27865196,sed_8_W,Winter,7.55,284.133,1.117
"Cardinal Pond, Poland",SRR19049927,SAMN27865197,sed_9_W,Winter,7.15,318.266,7.787
"Cardinal Pond, Poland",SRR19049926,SAMN27865198,sed_10_W,Winter,7.183,325.933,43.03
