name,Run,BioSample,Sample,material,"depth (m)",pH,ORP
"Hetao Basin 2",mgm4887099.3,NA,K1_1_2_2th_D,"ground water",15.5,7.75,-81.6
"Hetao Basin 2",mgm4887093.3,NA,K1_2_6_2th_D,"ground water",20.5,7.49,-100
"Hetao Basin 2",mgm4887094.3,NA,K1_3_1_2th_D,"ground water",27.5,7.61,-158
"Hetao Basin 2",mgm4887089.3,NA,"K1-4 D","ground water",42,8.16,-145
"Hetao Basin 2",mgm4887101.3,NA,K1_5_2_D,"ground water",54.5,8.06,-124
"Hetao Basin 2",mgm4887088.3,NA,K1_6_2_D,"ground water",69.5,7.99,-153
"Hetao Basin 2",mgm4887085.3,NA,K1_7_3_D,"ground water",79.5,7.93,-107
"Hetao Basin 2",mgm4887105.3,NA,K1_2_6_CD,"ground water",20.5,NA,NA
"Hetao Basin 2",mgm4887098.3,NA,K1_3_1_CD,"ground water",27.5,NA,NA
"Hetao Basin 2",mgm4887087.3,NA,"K1-4 CD","ground water",42,NA,NA
"Hetao Basin 2",mgm4887106.3,NA,K1_5_2_CD,"ground water",54.5,NA,NA
"Hetao Basin 2",mgm4887111.3,NA,K1_6_1_CD,"ground water",69.5,NA,NA
"Hetao Basin 2",mgm4887095.3,NA,K1_7_3_CD,"ground water",79.5,NA,NA
"Hetao Basin 2",mgm4887103.3,NA,K04-B04-1_D,"sandy sediment",15.1,NA,NA
"Hetao Basin 2",mgm4887086.3,NA,K04-06-D,"sandy sediment",21.3,NA,NA
"Hetao Basin 2",mgm4887100.3,NA,K04-08-D,"sandy sediment",30.3,NA,NA
"Hetao Basin 2",mgm4887110.3,NA,K04-13-D,"sandy sediment",42,NA,NA
"Hetao Basin 2",mgm4887107.3,NA,K04-21-D,"sandy sediment",54.4,NA,NA
"Hetao Basin 2",mgm4887092.3,NA,K04-31-D,"sandy sediment",69.5,NA,NA
"Hetao Basin 2",mgm4887102.3,NA,K04-38-D,"sandy sediment",79.5,NA,NA
"Hetao Basin 2",mgm4887097.3,NA,K04-04-C,"sandy sediment",15.1,NA,NA
"Hetao Basin 2",mgm4887104.3,NA,K04-06-C,"sandy sediment",21.3,NA,NA
"Hetao Basin 2",mgm4887096.3,NA,K04-08-C,"sandy sediment",30.3,NA,NA
"Hetao Basin 2",mgm4887109.3,NA,K04-13-C,"sandy sediment",42,NA,NA
"Hetao Basin 2",mgm4887108.3,NA,K04-21-C,"sandy sediment",54.4,NA,NA
"Hetao Basin 2",mgm4887090.3,NA,K04-31-C,"sandy sediment",69.5,NA,NA
"Hetao Basin 2",mgm4887091.3,NA,K04-38-C,"sandy sediment",79.5,NA,NA
