Name,Run,BioSample,SampleName,ID,Description,Season,pH,"T (°C)","EC (µs cm-1) ","ORP (mV)","AsTotal (μg L-1) "
"Jianghan Plain",SRR5803955,SAMN07314645,"SY1310 03A",S78,NH03A.Oct.13,Autumn,6.7,20.8,1321,-123.9,22.5
"Jianghan Plain",SRR5803952,SAMN07314641,"SY1312 03A",S74,NH03A.Dec.13,Autumn,6.6,19.1,1244,-133.5,59.1
"Jianghan Plain",SRR5803965,SAMN07314637,"SY1401 03A",S70,NH03A.Jan.14,Non-monsoon,6.9,17.5,1185,-111.1,17.6
"Jianghan Plain",SRR5804004,SAMN07314633,"SY1402 03A",S66,NH03A.Feb.14,Non-monsoon,7.1,16.8,1112,-21.2,2.2
"Jianghan Plain",SRR5804003,SAMN07314629,"SY1403 03A",S62,NH03A.Mar.14,Non-monsoon,7.2,16.9,1256,-49.4,3
"Jianghan Plain",SRR5804011,SAMN07314625,"SY1404 03A",S58,NH03A.Apr.14,Spring,6.9,18.7,1175,-104.6,10.2
"Jianghan Plain",SRR5804007,SAMN07314621,"SY1405 03A",S54,NH03A.May.14,Spring,6.9,20.3,797,-139.2,17.4
"Jianghan Plain",SRR5803963,SAMN07314617,"SY1406 03A",S50,NH03A.Jun.14,Spring,6.9,19.9,1284,-127.2,14.5
"Jianghan Plain",SRR5803973,SAMN07314613,"SY1407 03A",S46,NH03A.Jul.14,Monsoon,6.8,21,1310,-131.2,39
"Jianghan Plain",SRR5803969,SAMN07314609,"SY1408 03A",S42,NH03A.Aug.14,Monsoon,6.9,22.6,1316,-110.6,31.9
"Jianghan Plain",SRR5803943,SAMN07314605,"SY1409 03A",S38,NH03A.Sep.14,Monsoon,6.8,19.4,1330,-99.6,25.7
"Jianghan Plain",SRR5803954,SAMN07314601,"SY1410 03A",S34,NH03A.Oct.14,Autumn,6.9,19.4,1307,-101.4,21.3
"Jianghan Plain",SRR5803956,SAMN07314644,"SY1310 03B",S77,NH03B.Oct.13,Autumn,7.3,20.3,651,-167.8,1030
"Jianghan Plain",SRR5803958,SAMN07314640,"SY1312 03B",S73,NH03B.Dec.13,Autumn,7.1,18.6,880,-166.8,1030
"Jianghan Plain",SRR5803964,SAMN07314636,"SY1401 03B",S69,NH03B.Jan.14,Non-monsoon,7.2,17.8,806,-168.9,1020
"Jianghan Plain",SRR5803986,SAMN07314632,"SY1402 03B",S65,NH03B.Feb.14,Non-monsoon,7.5,16.9,834,-143.2,994
"Jianghan Plain",SRR5803999,SAMN07314628,"SY1403 03B",S61,NH03B.Mar.14,Non-monsoon,7.4,16.5,867,-149.7,159
"Jianghan Plain",SRR5804012,SAMN07314624,"SY1404 03B",S57,NH03B.Apr.14,Spring,7.3,18.9,750,-139.8,689
"Jianghan Plain",SRR5804008,SAMN07314620,"SY1405 03B",S53,NH03B.May.14,Spring,7.4,20.6,637,-169.2,656
"Jianghan Plain",SRR5803962,SAMN07314616,"SY1406 03B",S49,NH03B.Jun.14,Spring,7.4,20.1,870,-177.8,901
"Jianghan Plain",SRR5803972,SAMN07314612,"SY1407 03B",S45,NH03B.Jul.14,Monsoon,7.3,22.2,884,-188.1,1040
"Jianghan Plain",SRR5803968,SAMN07314608,"SY1408 03B",S41,NH03B.Aug.14,Monsoon,7.4,21.8,900,-177.3,1050
"Jianghan Plain",SRR5803944,SAMN07314604,"SY1409 03B",S37,NH03B.Sep.14,Monsoon,7.2,19.7,887,-115.8,982
"Jianghan Plain",SRR5803985,SAMN07314600,"SY1410 03B",S33,NH03B.Oct.14,Autumn,7.3,19.5,879,-113.1,1030
"Jianghan Plain",SRR5803959,SAMN07314643,"SY1310 05A",S76,NH05A.Oct.13,Autumn,6.8,21.3,742,-149.9,108
"Jianghan Plain",SRR5803951,SAMN07314639,"SY1312 05A",S72,NH05A.Dec.13,Autumn,7,17.8,779,-138.8,92.3
"Jianghan Plain",SRR5803998,SAMN07314635,"SY1401 05A",S68,NH05A.Jan.14,Non-monsoon,6.9,17,815,-102.4,56.6
"Jianghan Plain",SRR5804000,SAMN07314631,"SY1402 05A",S64,NH05A.Feb.14,Non-monsoon,7,17.8,779,-138.8,8.2
"Jianghan Plain",SRR5804001,SAMN07314627,"SY1403 05A",S60,NH05A.Mar.14,Non-monsoon,7,17.2,894,-105,27.4
"Jianghan Plain",SRR5804009,SAMN07314623,"SY1404 05A",S56,NH05A.Apr.14,Spring,7.1,17.6,857,-106.3,2.3
"Jianghan Plain",SRR5804005,SAMN07314619,"SY1405 05A",S52,NH05A.May.14,Spring,7,20,912,-133,77.5
"Jianghan Plain",SRR5803971,SAMN07314615,"SY1406 05A",S48,NH05A.Jun.14,Spring,6.9,19.9,935,-152.2,87.7
"Jianghan Plain",SRR5803967,SAMN07314611,"SY1407 05A",S44,NH05A.Jul.14,Monsoon,6.9,20.8,937,-140.3,97.8
"Jianghan Plain",SRR5803957,SAMN07314607,"SY1408 05A",S40,NH05A.Aug.14,Monsoon,7,24.2,730,-106.3,47.5
"Jianghan Plain",SRR5803945,SAMN07314603,"SY1409 05A",S36,NH05A.Sep.14,Monsoon,6.9,20.9,957,-110.7,95
"Jianghan Plain",SRR5803949,SAMN07314599,"SY1410 05A",S32,NH05A.Oct.14,Autumn,6.9,20.3,947,-97.8,98.3
"Jianghan Plain",SRR5803960,SAMN07314642,"SY1310 05B",S75,NH05B.Oct.13,Autumn,7.1,21.1,706,-143.2,105
"Jianghan Plain",SRR5803953,SAMN07314638,"SY1312 05B",S71,NH05B.Dec.13,Autumn,7.4,17.5,713,-141.3,114
"Jianghan Plain",SRR5803997,SAMN07314634,"SY1401 05B",S67,NH05B.Jan.14,Non-monsoon,7,17.1,732,-123.3,103
"Jianghan Plain",SRR5803984,SAMN07314630,"SY1402 05B",S63,NH05B.Feb.14,Non-monsoon,7.4,17.5,713,-141.3,15.3
"Jianghan Plain",SRR5804002,SAMN07314626,"SY1403 05B",S59,NH05B.Mar.14,Non-monsoon,7.4,16.1,808,-124.3,72.1
"Jianghan Plain",SRR5804010,SAMN07314622,"SY1404 05B",S55,NH05B.Apr.14,Spring,7.4,18.2,848,-134.9,45.5
"Jianghan Plain",SRR5804006,SAMN07314618,"SY1405 05B",S51,NH05B.May.14,Spring,7.2,19.7,833,-145.6,92
"Jianghan Plain",SRR5803970,SAMN07314614,"SY1406 05B",S47,NH05B.Jun.14,Spring,7.2,20.2,826,-131.5,106
"Jianghan Plain",SRR5803966,SAMN07314610,"SY1407 05B",S43,NH05B.Jul.14,Monsoon,7.2,20.1,839,-127.7,93
"Jianghan Plain",SRR5803961,SAMN07314606,"SY1408 05B",S39,NH05B.Aug.14,Monsoon,7.4,21.4,855,-133.4,103
"Jianghan Plain",SRR5803946,SAMN07314602,"SY1409 05B",S35,NH05B.Sep.14,Monsoon,7.1,19.8,845,-134.6,99.6
"Jianghan Plain",SRR5803950,SAMN07314598,"SY1410 05B",S31,NH05B.Oct.14,Autumn,7.1,19.2,850,-65.1,105
