Name,Run,BioSample,sample,site,year,Location,Temperature,pH,"EC (μs/cm)","DO (mg/L)","ORP (mV)"
"Maozhou River",SRR13175269,SAMN16964804,2018_A1_1,A1,2018,"Main Stream",25.4,9.9,214,7.39,42.4
"Maozhou River",SRR13175236,SAMN16964807,2018_A2_1,A2,2018,"Main Stream",29.5,7.04,535,7.18,86.1
"Maozhou River",SRR13175203,SAMN16964810,2018_A3_1,A3,2018,"Main Stream",32.6,7.24,817,7.92,117.8
"Maozhou River",SRR13175255,SAMN16964843,2018_F_1,F,2018,"Animal Farm",26.8,6.99,1925,1.76,160.7
"Maozhou River",SRR13175252,SAMN16964846,2018_F_100_1,F_100,2018,"Animal Farm",29.8,7.77,590,0.86,11.8
"Maozhou River",SRR13175249,SAMN16964849,2018_F_250_1,F_250,2018,"Animal Farm",28.9,7.56,571,0.71,41.6
"Maozhou River",SRR13175245,SAMN16964852,2018_F_500_1,F_500,2018,"Animal Farm",28.6,7.58,524,0.21,-39.5
"Maozhou River",SRR13175259,SAMN16964840,2018_F_U10_1,F_U10,2018,"Animal Farm",31.5,7.64,557,1.29,89.6
"Maozhou River",SRR13175275,SAMN16964825,2018_H1_1,H1,2018,Hospital,31.3,7.99,562,6.45,111.6
"Maozhou River",SRR13175268,SAMN16964831,2018_H1_1K_1,H1_1K,2018,Hospital,31,8.06,507,4.04,165.4
"Maozhou River",SRR13175272,SAMN16964828,2018_H1_500_1,H1_500,2018,Hospital,30.2,7.84,567,4.6,149.7
"Maozhou River",SRR13175265,SAMN16964834,2018_H1_5K_1,H1_5K,2018,Hospital,31.2,7.27,643,0.92,-105
"Maozhou River",SRR13175278,SAMN16964822,2018_H1_U100_1,H1_U100,2018,Hospital,30.9,8.18,478,7.91,105.9
"Maozhou River",SRR13175282,SAMN16964819,2018_H1_U200_1,H1_U200,2018,Hospital,31.5,7.76,486,8.2,102.8
"Maozhou River",SRR13175262,SAMN16964837,2018_H2_1,H2,2018,Hospital,33.3,7.63,207,9.33,157.6
"Maozhou River",SRR13175242,SAMN16964855,2018_P_1,P,2018,WWTP,29.1,6.81,1118,8.13,171.1
"Maozhou River",SRR13175229,SAMN16964867,2018_P_100_1,P_100,2018,WWTP,29.9,6.92,1043,7.66,109.1
"Maozhou River",SRR13175239,SAMN16964858,2018_P_10_1,P_10,2018,WWTP,29.6,6.91,1093,7.72,148.6
"Maozhou River",SRR13175235,SAMN16964861,2018_P_20_1,P_20,2018,WWTP,30,6.97,1070,7.65,101.6
"Maozhou River",SRR13175226,SAMN16964870,2018_P_500_1,P_500,2018,WWTP,31.3,7.26,828,8.08,29.1
"Maozhou River",SRR13175232,SAMN16964864,2018_P_50_1,P_50,2018,WWTP,30.1,6.97,1059,7.79,120.6
"Maozhou River",SRR13175222,SAMN16964873,2018_T_1,T,2018,Tributary,30.2,7.21,851,0.57,-79
"Maozhou River",SRR13175216,SAMN16964879,2018_T_2K_1,T_2K,2018,Tributary,30.6,7.29,874,0.96,23.1
"Maozhou River",SRR13175219,SAMN16964876,2018_T_500_1,T_500,2018,Tributary,30.1,7.28,772,1,-28.6
"Maozhou River",SRR13175212,SAMN16964882,2020_A0_1,A0,2020,"Main Stream",26.7,6.93,71.9,7.13,243.03
"Maozhou River",SRR13175209,SAMN16964885,2020_A1_1,A1,2020,"Main Stream",30,7.53,676.33,2.38,-5.7
"Maozhou River",SRR13175206,SAMN16964888,2020_A2_1,A2,2020,"Main Stream",31.3,7.58,581.67,7.09,4.63
"Maozhou River",SRR13175202,SAMN16964891,2020_A3_1,A3,2020,"Main Stream",30.7,7.89,688,7.12,125.77
"Maozhou River",SRR13175199,SAMN16964894,2020_A4_1,A4,2020,"Main Stream",33.5,8.2,869.33,9.86,143.57
"Maozhou River",SRR13175196,SAMN16964897,2020_A5_1,A5,2020,"Main Stream",31.9,7.65,1452.33,6.41,155.53
"Maozhou River",SRR13175193,SAMN16964900,2020_H1_U200_1,H1_U200,2020,Hospital,37.8,8.64,536,11.42,52.33
"Maozhou River",SRR13175287,SAMN16964960,2020_T_2K_1,T_2K,2020,Tributary,32.8,8.6,2133,11.18,137.43
"Maozhou River",SRR13175290,SAMN16964957,2020_T_500_1,T_500,2020,Tributary,33.6,8.75,2063.67,10.68,114.93
"Maozhou River",SRR13175354,SAMN16964801,2018_A0_1,A0,2018,"Main Stream",28.4,7.92,86.1,8.59,162.2
"Maozhou River",SRR13175330,SAMN16964813,2018_A4_1,A4,2018,"Main Stream",30,7.21,612,2.36,131
"Maozhou River",SRR13175297,SAMN16964816,2018_A5_1,A5,2018,"Main Stream",30.2,7.51,1318,2.22,72.2
"Maozhou River",SRR13175326,SAMN16964924,2020_F_1,F,2020,"Animal Farm",34.1,8.93,272.33,8.92,75.83
"Maozhou River",SRR13175323,SAMN16964927,2020_F_100_1,F_100,2020,"Animal Farm",34,7.4,268,5.49,114.9
"Maozhou River",SRR13175320,SAMN16964930,2020_F_250_1,F_250,2020,"Animal Farm",33.3,7.46,276,7.76,123.03
"Maozhou River",SRR13175316,SAMN16964933,2020_F_500_1,F_500,2020,"Animal Farm",31.2,8.21,359.67,11.07,144.6
"Maozhou River",SRR13175329,SAMN16964921,2020_F_U10_1,F_U10,2020,"Animal Farm",33.3,8.82,272,8.61,78.27
"Maozhou River",SRR13175346,SAMN16964906,2020_H1_1,H1,2020,Hospital,31.9,7.48,885,7.08,77.4
"Maozhou River",SRR13175339,SAMN16964912,2020_H1_1K_1,H1_1K,2020,Hospital,33.9,8.06,863.67,7.99,61.93
"Maozhou River",SRR13175343,SAMN16964909,2020_H1_500_1,H1_500,2020,Hospital,32,7.54,898.33,7.51,39.57
"Maozhou River",SRR13175336,SAMN16964915,2020_H1_5K_1,H1_5K,2020,Hospital,33.2,8.31,748.33,9.23,120.87
"Maozhou River",SRR13175349,SAMN16964903,2020_H1_U100_1,H1_U100,2020,Hospital,36.5,8.11,685,6.39,43.2
