Name,Run,LibraryName,BioSample,SampleName,Location,Status
"COVID-19 Oropharyngeal",SRR12325991,B114,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12325992,B113,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12325993,B112,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12325994,B111,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12325995,B110,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12325996,B11,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12325997,B109,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326002,B105,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326003,B104,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326004,B103,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326005,B102,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326006,B101,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326007,B10,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326008,B1,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326012,A107,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326028,A159,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326029,A158,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12325999,B107,SAMN15617546,"COVID19 patients_airway",Airway,Patient
"COVID-19 Oropharyngeal",SRR12326000,B106,SAMN15617546,"COVID19 patients_airway",Airway,Patient
