Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
3990,461,2928,3220,2198,3668,1102,3404,2966,4833,1108,2224,2102,1880,2365,3315,2687,3305,525,1583
3983,538,2908,3136,2098,3644,1064,3467,2900,4948,1093,2258,2008,1933,2364,3184,2725,3448,633,1527
3995,470,2846,3161,2171,3596,1151,3297,2972,4959,1076,2349,2124,1956,2327,3285,2769,3404,567,1570
4038,496,2967,3171,2193,3588,1128,3444,2956,4694,1032,2209,2040,1908,2303,3394,2993,3478,590,1510
4002,533,2893,3119,2154,3519,1117,3440,2965,5029,1063,2205,1999,1873,2318,3371,2774,3382,593,1553
4238,519,2951,3179,2094,3494,1064,3429,2908,5012,1144,2269,1977,1900,2422,3230,2798,3374,581,1501
4252,498,2920,3185,2222,3503,1122,3403,2952,4914,1082,2191,2078,1869,2321,3126,2735,3468,543,1614
4091,526,2899,3054,2131,3515,1052,3428,2980,4924,1119,2256,2085,1996,2283,3361,2836,3496,568,1512
4079,496,2927,3138,2178,3623,1048,3414,2968,4943,1114,2219,1965,1959,2372,3352,2685,3416,601,1509
4224,459,2774,3232,2143,3651,1015,3410,2977,4912,1112,2281,2048,1925,2387,3219,2800,3443,549,1534
4074,489,3065,3205,2151,3565,1154,3329,2944,4865,1132,2186,1947,1870,2404,3314,2773,3400,619,1535
4049,504,2827,3141,2253,3496,1091,3463,2949,4938,1109,2167,2104,1919,2293,3395,2785,3374,594,1541
4161,488,2780,3045,2119,3584,1044,3366,2996,4858,1059,2294,2009,1921,2409,3380,2803,3446,586,1568
4077,467,2903,3221,2103,3617,1189,3463,2883,5002,1069,2105,1979,1942,2450,3144,2852,3344,564,1574
4083,496,2889,3201,2179,3674,1157,3432,2925,4944,1063,2204,2041,1827,2345,3332,2698,3486,609,1483
4149,497,2932,3080,2111,3538,1089,3476,2934,4996,1081,2150,2021,1963,2403,3322,2730,3446,544,1515
4096,487,2872,3067,2171,3596,1113,3345,2903,4932,1107,2256,2040,1865,2438,3263,2753,3345,605,1616
4066,489,2888,3085,2166,3631,1060,3365,2941,4818,1162,2183,2003,1957,2363,3376,2849,3387,574,1524
4002,488,2940,3084,2211,3452,1150,3359,2934,5026,1024,2275,2021,1909,2412,3344,2839,3287,547,1598
4218,524,2906,3164,2031,3611,1072,3432,2998,4891,1136,2167,1976,1960,2391,3261,2821,3314,562,1513
4040,472,3000,3279,2114,3554,1126,3511,2898,5017,1147,2280,2039,1927,2334,3161,2829,3336,533,1444
4113,509,3049,3293,2163,3510,1124,3335,2940,4855,1111,2298,1955,1968,2312,3238,2813,3421,567,1527
4098,532,2895,3031,2119,3480,1102,3447,2903,4809,1087,2251,2057,1964,2416,3222,2801,3470,602,1583
4152,464,2942,3276,2174,3547,1074,3326,3019,4936,1108,2296,2009,1909,2340,3206,2860,3330,562,1547
4093,511,2860,3092,2206,3488,1056,3449,3072,4887,1097,2232,1919,1867,2468,3391,2781,3436,533,1562
4131,551,2963,3152,2240,3563,1088,3371,2960,4871,1076,2291,2053,1823,2317,3309,2616,3522,587,1522
4115,488,2929,3075,2179,3604,1133,3500,2891,4920,1070,2324,1992,1861,2372,3308,2740,3387,599,1497
4119,496,2822,3156,2234,3463,1091,3276,2883,4912,1074,2253,2019,1881,2432,3327,2782,3484,525,1616
4030,480,2899,3149,2266,3667,1128,3465,2826,4904,1129,2197,2005,1849,2381,3293,2711,3414,611,1528
4160,501,2857,3108,2195,3603,1097,3487,2992,4955,1111,2276,1928,1946,2381,3266,2742,3405,540,1537
4101,502,2767,3063,2127,3519,1117,3500,3084,4902,1089,2217,2086,1989,2367,3255,2863,3377,535,1488
4200,511,2937,3220,2141,3633,1105,3351,2986,4877,1063,2265,1953,1961,2285,3275,2789,3370,533,1597
4128,508,2840,3176,2269,3429,1109,3386,2973,4913,1141,2171,1977,1993,2292,3409,2719,3455,605,1528
4165,519,2907,3112,2142,3484,1146,3517,2992,4990,1109,2237,2021,1912,2354,3104,2762,3379,552,1594
4070,468,2980,3204,2147,3507,1151,3311,2896,4858,1159,2236,2091,1941,2337,3249,2905,3466,567,1512
4086,507,2921,3134,2157,3574,1123,3430,2883,5054,1085,2224,2106,1905,2377,3314,2796,3257,549,1532
4087,540,2799,3185,2112,3664,1110,3348,2953,4905,1073,2277,2018,1942,2388,3314,2809,3424,538,1529
4109,496,2966,3169,2225,3505,1073,3444,2840,4936,1103,2235,2101,1820,2336,3376,2722,3397,564,1596
4003,483,2906,3182,2199,3601,1121,3373,3004,4967,1038,2213,1906,1896,2354,3333,2799,3449,561,1494
4128,465,2932,3191,2119,3588,1042,3399,2912,4979,1114,2278,2048,1898,2263,3342,2840,3451,561,1536
4034,485,2926,3207,2067,3646,1077,3438,3095,4896,1092,2306,2017,1851,2387,3249,2734,3432,561,1516
4131,504,2870,3219,2208,3590,1120,3306,2943,4971,1107,2205,1915,1891,2340,3362,2758,3407,566,1498
4249,478,2917,3138,2125,3604,1108,3340,2848,4933,1113,2216,2017,1894,2330,3241,2845,3457,605,1549
4142,484,2957,3151,2117,3484,1151,3407,2947,4942,1087,2284,2018,1925,2407,3384,2735,3293,529,1575
4099,522,2874,3220,2214,3603,1062,3441,2969,4950,1135,2237,1986,1915,2344,3212,2675,3455,534,1572
4089,496,2754,3221,2125,3480,1116,3407,2999,4938,1110,2260,2011,1927,2486,3258,2875,3484,598,1485
4197,523,2907,3101,2095,3577,1083,3445,2887,4882,1133,2222,2044,1901,2378,3232,2832,3378,596,1541
4079,546,2899,3087,2279,3520,1083,3438,2806,4826,1069,2214,2020,1920,2408,3353,2756,3433,575,1536
4075,478,2911,3075,2211,3638,1058,3409,3013,4989,1089,2270,2001,1938,2398,3344,2742,3376,541,1547
4018,503,2913,3140,2200,3615,1084,3376,3012,4911,1070,2291,2011,1892,2384,3390,2749,3410,601,1594
3994,473,2906,3118,2159,3557,1100,3379,2983,4883,1080,2208,2106,1847,2313,3387,2852,3399,552,1562
4061,515,2767,3148,2153,3549,1110,3374,3160,4888,1182,2266,1992,1829,2322,3226,2876,3397,581,1518
4107,502,2981,3163,2121,3490,1092,3359,2973,4997,1080,2295,2090,1895,2259,3277,2731,3346,602,1597
3976,531,2825,3318,2156,3621,1041,3435,3085,4978,1095,2216,2061,1827,2381,3229,2683,3479,568,1582
4035,478,2861,3082,2168,3658,1102,3397,2989,4958,1081,2312,1995,1895,2388,3396,2743,3322,572,1566
4196,486,2845,3124,2199,3530,1118,3484,2928,4901,1091,2113,2034,1895,2445,3298,2828,3421,580,1541
4052,523,2941,3199,2128,3527,1105,3500,2983,4880,1092,2259,1977,1906,2352,3303,2751,3338,557,1490
4091,508,2882,3079,2144,3598,1072,3462,2932,5007,1116,2199,1925,1903,2364,3319,2782,3348,600,1547
4265,481,3055,3039,2162,3511,1087,3478,2886,4970,1098,2317,1938,1834,2383,3303,2783,3488,529,1516
4091,502,2886,3196,2168,3481,1092,3456,3010,4894,1101,2132,1976,1873,2479,3312,2736,3432,648,1604
