Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
3902,608,2404,3324,2070,3673,1211,3051,3060,5043,1010,1856,2424,1668,2712,3360,2788,3509,642,1603
3836,645,2360,3554,2052,3783,1145,3069,3162,4953,961,1856,2405,1693,2709,3237,2742,3682,666,1643
3843,640,2408,3385,2161,3745,1174,3154,3135,5008,1029,1732,2378,1656,2738,3286,2623,3500,704,1623
3758,669,2419,3591,2094,3750,1114,3046,3045,5050,1005,1815,2371,1741,2725,3303,2643,3573,710,1629
3856,635,2460,3508,2025,3742,1162,3112,3085,4939,1027,1767,2389,1729,2835,3163,2712,3597,620,1624
3821,673,2446,3446,2004,3765,1195,3050,3039,5019,967,1806,2434,1689,2782,3366,2713,3574,650,1615
3702,620,2323,3515,2116,3696,1221,3118,3198,4919,1000,1860,2410,1728,2897,3287,2710,3506,660,1587
3771,677,2378,3552,2034,3799,1174,3040,3024,4960,1019,1790,2443,1737,2848,3372,2732,3475,696,1564
3739,681,2445,3593,2048,3597,1125,3051,3185,5158,1048,1758,2395,1760,2727,3222,2633,3553,662,1598
3844,635,2435,3487,2120,3671,1086,3050,3062,5075,999,1790,2325,1687,2743,3325,2652,3578,625,1555
3863,662,2379,3405,2096,3742,1170,3067,2998,5006,1000,1738,2456,1723,2769,3295,2653,3684,698,1590
3839,621,2337,3539,2106,3919,1173,3137,3072,4930,1063,1744,2358,1566,2819,3262,2661,3518,680,1589
3872,570,2384,3534,1976,3608,1131,3154,3162,5053,986,1822,2357,1662,2749,3353,2657,3599,681,1530
3851,651,2310,3463,2007,3766,1096,3091,2973,5102,994,1818,2378,1775,2950,3322,2722,3418,630,1545
3868,640,2382,3499,2108,3678,1146,3110,3039,5161,1057,1816,2388,1682,2816,3178,2767,3411,639,1616
3822,676,2346,3583,2106,3662,1158,3114,3212,4956,952,1767,2374,1745,2943,3202,2729,3412,660,1550
3873,674,2329,3548,2023,3845,1162,2975,3029,5031,1005,1801,2378,1704,2719,3305,2712,3536,661,1595
3890,649,2360,3593,2036,3668,1163,3012,3071,5045,989,1765,2403,1764,2825,3315,2663,3508,652,1513
3938,661,2426,3522,2121,3691,1194,3052,2977,4999,993,1758,2444,1651,2712,3230,2725,3640,640,1643
3782,662,2317,3390,2167,3802,1121,3120,3083,5062,938,1774,2412,1775,2746,3192,2843,3513,632,1636
3876,607,2395,3440,2140,3671,1189,3118,2986,5089,939,1802,2477,1732,2761,3332,2770,3579,661,1579
3821,672,2331,3391,2080,3657,1204,3129,3078,5134,993,1814,2336,1754,2874,3194,2871,3576,665,1640
3866,685,2351,3539,2206,3645,1168,3073,2931,5054,967,1754,2347,1645,2830,3435,2731,3564,608,1596
3858,639,2299,3628,1994,3733,1169,3088,3092,5044,1007,1808,2461,1731,2816,3201,2772,3466,635,1606
3841,658,2439,3469,2136,3780,1149,2983,3048,5126,970,1762,2400,1704,2784,3257,2765,3597,601,1683
3773,646,2496,3595,2031,3878,1151,3087,3043,4955,1026,1726,2274,1684,2774,3275,2791,3596,718,1610
3933,689,2352,3473,2088,3820,1128,3004,3169,5023,974,1798,2326,1712,2691,3285,2567,3576,665,1606
3807,623,2436,3559,2125,3719,1102,3192,3142,5015,985,1805,2452,1665,2774,3242,2670,3581,649,1535
3728,600,2340,3488,2055,3850,1171,3141,3115,4964,1020,1824,2343,1749,2876,3303,2560,3539,645,1631
3776,638,2425,3542,2196,3636,1155,3155,3104,5003,987,1862,2374,1626,2898,3227,2728,3494,638,1556
3719,712,2332,3418,2136,3682,1262,3048,3097,5125,958,1808,2356,1744,2781,3260,2771,3550,658,1665
3681,593,2408,3401,2164,3616,1190,3148,3156,5080,1006,1802,2396,1757,2751,3208,2788,3629,666,1612
3902,658,2380,3533,2094,3757,1054,3089,3071,5058,1009,1841,2358,1732,2773,3242,2744,3565,655,1584
3759,666,2424,3561,2050,3859,1059,3042,3179,4956,966,1802,2398,1739,2819,3299,2697,3633,621,1545
3753,654,2377,3319,2118,3706,1179,3070,3072,4971,1033,1892,2381,1726,2816,3365,2710,3505,662,1548
3719,666,2372,3567,2101,3814,1194,3096,3041,4946,1029,1763,2373,1666,2842,3273,2700,3624,662,1600
3750,567,2455,3568,2083,3660,1135,3098,2968,5222,925,1876,2368,1755,2795,3349,2660,3504,647,1599
3780,617,2373,3504,2157,3778,1101,3182,3059,4990,1057,1789,2368,1736,2733,3341,2703,3566,653,1571
3789,641,2310,3603,2092,3775,1170,3061,3111,5034,941,1819,2368,1787,2672,3358,2718,3527,617,1593
3677,645,2327,3472,2175,3717,1119,3144,3060,4985,1003,1842,2419,1705,2792,3331,2749,3524,647,1628
3774,630,2285,3432,2162,3717,1150,3135,3044,4964,1040,1813,2454,1672,2802,3318,2828,3612,615,1563
3744,626,2493,3607,2063,3731,1063,2990,3266,4952,949,1850,2491,1751,2686,3249,2670,3553,687,1581
3834,620,2377,3386,2137,3619,1222,3201,2998,5126,1024,1840,2361,1663,2763,3403,2697,3560,626,1563
3888,610,2343,3483,2137,3734,1105,3008,3063,5055,1026,1803,2370,1681,2873,3269,2711,3643,628,1598
3827,640,2379,3469,2105,3878,1144,3062,3173,4870,998,1846,2331,1755,2699,3285,2760,3545,702,1515
3711,654,2354,3615,2136,3682,1162,3025,3130,5049,975,1801,2413,1691,2943,3191,2768,3526,619,1594
3756,633,2248,3632,2058,3678,1163,3044,3093,5014,1030,1815,2366,1664,2832,3331,2747,3579,632,1617
3939,657,2411,3712,1980,3713,1179,3135,3177,4980,935,1817,2351,1786,2821,3198,2646,3553,622,1536
3786,642,2452,3546,2117,3805,1163,3150,3150,4930,922,1829,2321,1690,2724,3346,2675,3577,673,1558
3772,635,2301,3421,2114,3742,1203,3093,3193,5076,1045,1784,2390,1722,2762,3309,2702,3460,715,1587
3820,618,2399,3517,2111,3790,1119,3055,3014,5011,985,1830,2373,1610,2773,3340,2676,3663,650,1618
3741,628,2358,3558,2026,3779,1163,3146,3054,4996,965,1864,2364,1688,2763,3255,2805,3612,633,1650
3764,588,2342,3634,2115,3849,1158,3029,3187,5097,1024,1844,2296,1720,2758,3292,2590,3515,628,1584
3784,671,2455,3566,2061,3787,1119,3178,3113,4997,991,1720,2388,1682,2746,3313,2627,3554,650,1624
3756,607,2425,3504,2120,3713,1161,3027,3135,5048,1006,1755,2408,1725,2770,3288,2757,3411,671,1602
3756,673,2445,3573,2099,3690,1098,3052,3077,4978,1043,1744,2483,1692,2699,3338,2669,3579,627,1588
3830,629,2384,3524,2126,3767,1095,3043,3144,4942,978,1824,2269,1684,2900,3327,2634,3617,657,1622
3780,692,2277,3515,2028,3642,1178,3088,3071,5169,955,1774,2375,1730,2825,3263,2694,3553,680,1612
3854,681,2344,3562,2138,3803,1184,3065,3117,5146,963,1786,2413,1662,2723,3240,2728,3529,652,1606
3822,684,2331,3511,2080,3626,1177,3069,3094,5157,986,1757,2448,1651,2741,3282,2754,3557,648,1608
3812,648,2324,3475,2111,3704,1140,3133,3049,4976,1008,1829,2370,1773,2761,3242,2807,3552,657,1668
3699,674,2422,3655,2086,3782,1139,3036,3007,5061,1044,1741,2308,1686,2841,3225,2793,3566,655,1563
3938,625,2321,3495,2115,3672,1170,3171,3071,4989,975,1822,2393,1746,2810,3253,2689,3513,671,1660
3708,647,2400,3416,2091,3695,1161,3153,3086,5128,955,1823,2435,1744,2774,3305,2719,3557,713,1537
3889,585,2403,3530,2032,3662,1117,3092,3081,5023,1038,1736,2371,1733,2750,3289,2868,3607,638,1615
3701,646,2413,3593,2053,3688,1137,2966,3108,5090,1006,1812,2433,1670,2902,3368,2666,3503,633,1584
3890,660,2382,3576,2078,3696,1109,3081,3109,5012,1002,1801,2289,1778,2727,3335,2788,3527,676,1567
3743,657,2319,3606,2075,3603,1169,3148,3061,5131,1011,1725,2382,1746,2783,3232,2733,3547,654,1588
3729,627,2428,3571,2158,3768,1184,3116,3032,5126,966,1840,2474,1705,2827,3178,2630,3517,632,1543
