T,loN_lopH,loN_hipH,hiN_lopH,hiN_hipH
0,-11.264874,-11.264874,-11.264874,-11.264874
5,-10.991661,-10.991661,-10.991661,-10.991661
10,-10.725635,-10.725635,-10.725635,-10.725635
15,-10.467104,-10.467104,-10.467104,-10.467104
20,-10.215799,-10.215799,-10.215799,-10.215799
25,-9.97145,-9.97145,-9.97145,-9.97145
30,-9.733785,-9.733785,-9.733785,-9.733785
35,-9.502535,-9.502535,-9.502535,-9.502535
40,-9.277442,-9.277442,-9.277442,-9.277442
45,-9.058253,-9.058253,-9.058253,-9.058253
50,-8.844728,-8.844728,-8.844728,-8.844728
55,-8.636636,-8.636636,-8.636636,-8.636636
60,-8.433756,-8.433756,-8.433756,-8.433756
65,-8.235877,-8.235877,-8.235877,-8.235877
70,-8.042799,-8.042799,-8.042799,-8.042799
75,-7.85433,-7.85433,-7.85433,-7.85433
80,-7.670289,-7.670289,-7.670289,-7.670289
85,-7.490503,-7.490503,-7.490503,-7.490503
90,-7.314806,-7.314806,-7.314806,-7.314806
95,-7.143042,-7.143042,-7.143042,-7.143042
100,-6.975064,-6.975064,-6.975064,-6.975064
105,-6.810777,-6.810777,-6.810777,-6.810777
110,-6.65,-6.65,-6.65,-6.65
115,-6.492605,-6.492605,-6.492605,-6.492605
120,-6.338468,-6.338468,-6.338468,-6.338468
125,-6.187471,-6.187471,-6.187471,-6.187471
130,-6.0395,-6.0395,-6.0395,-6.0395
135,-5.894448,-5.894448,-5.894448,-5.894448
140,-5.752209,-5.752209,-5.752209,-5.752209
145,-5.612686,-5.612686,-5.612686,-5.612686
150,-5.475781,-5.475781,-5.475781,-5.475781
155,-5.341403,-5.341403,-5.341403,-5.341403
160,-5.209463,-5.209463,-5.209463,-5.209463
165,-5.079875,-5.079875,-5.079875,-5.079875
170,-4.952557,-4.952557,-4.952557,-4.952557
175,-4.827429,-4.827429,-4.827429,-4.827429
180,-4.704413,-4.704413,-4.704413,-4.704413
185,-4.583434,-4.583434,-4.583434,-4.583434
190,-4.464419,-4.464419,-4.464419,-4.464419
195,-4.347296,-4.347296,-4.347296,-4.347296
200,-4.231995,-4.231995,-4.231995,-4.231995
205,-4.118448,-4.118448,-4.118448,-4.118448
210,-4.006587,-4.006587,-4.006587,-4.006587
215,-3.896347,-3.896347,-3.896347,-3.896347
220,-3.787659,-3.787659,-3.787659,-3.787659
225,-3.68046,-3.68046,-3.68046,-3.68046
230,-3.574682,-3.574682,-3.574682,-3.574682
235,-3.470261,-3.470261,-3.470261,-3.470261
240,-3.367128,-3.367128,-3.367128,-3.367128
245,-3.265216,-3.265216,-3.265216,-3.265216
250,-3.164454,-3.164454,-3.164454,-3.164454
255,-3.064772,-3.064772,-3.064772,-3.064772
260,-2.966092,-2.966092,-2.966092,-2.966092
265,-2.868336,-2.868336,-2.868336,-2.868336
270,-2.77142,-2.77142,-2.77142,-2.77142
275,-2.675253,-2.675253,-2.675253,-2.675253
280,-2.579739,-2.579739,-2.579739,-2.579739
285,-2.484768,-2.484768,-2.484768,-2.484768
290,-2.390222,-2.390222,-2.390222,-2.390222
295,-2.295965,-2.295965,-2.295965,-2.295965
300,-2.201843,-2.201843,-2.201843,-2.201843
