T,loN_lopH,loN_hipH,hiN_lopH,hiN_hipH
0,-11.31767,-11.31767,-11.31767,-11.31767
5,-11.093675,-11.093675,-11.093675,-11.093675
10,-10.875087,-10.875087,-10.875087,-10.875087
15,-10.662253,-10.662253,-10.662253,-10.662253
20,-10.455031,-10.455031,-10.455031,-10.455031
25,-10.253252,-10.253252,-10.253252,-10.253252
30,-10.056741,-10.056741,-10.056741,-10.056741
35,-9.865315,-9.865315,-9.865315,-9.865315
40,-9.67879,-9.67879,-9.67879,-9.67879
45,-9.496986,-9.496986,-9.496986,-9.496986
50,-9.319725,-9.319725,-9.319725,-9.319725
55,-9.146837,-9.146837,-9.146837,-9.146837
60,-8.978154,-8.978154,-8.978154,-8.978154
65,-8.813517,-8.813517,-8.813517,-8.813517
70,-8.652772,-8.652772,-8.652772,-8.652772
75,-8.495773,-8.495773,-8.495773,-8.495773
80,-8.342379,-8.342379,-8.342379,-8.342379
85,-8.192455,-8.192455,-8.192455,-8.192455
90,-8.045873,-8.045873,-8.045873,-8.045873
95,-7.902508,-7.902508,-7.902508,-7.902508
100,-7.762248,-7.762248,-7.762248,-7.762248
105,-7.625016,-7.625016,-7.625016,-7.625016
110,-7.49067,-7.49067,-7.49067,-7.49067
115,-7.359108,-7.359108,-7.359108,-7.359108
120,-7.230233,-7.230233,-7.230233,-7.230233
125,-7.10395,-7.10395,-7.10395,-7.10395
130,-6.98017,-6.98017,-6.98017,-6.98017
135,-6.858808,-6.858808,-6.858808,-6.858808
140,-6.73978,-6.73978,-6.73978,-6.73978
145,-6.623007,-6.623007,-6.623007,-6.623007
150,-6.508415,-6.508415,-6.508415,-6.508415
155,-6.395929,-6.395929,-6.395929,-6.395929
160,-6.285479,-6.285479,-6.285479,-6.285479
165,-6.176999,-6.176999,-6.176999,-6.176999
170,-6.070422,-6.070422,-6.070422,-6.070422
175,-5.965686,-5.965686,-5.965686,-5.965686
180,-5.86273,-5.86273,-5.86273,-5.86273
185,-5.761494,-5.761494,-5.761494,-5.761494
190,-5.661923,-5.661923,-5.661923,-5.661923
195,-5.56396,-5.56396,-5.56396,-5.56396
200,-5.467552,-5.467552,-5.467552,-5.467552
205,-5.372645,-5.372645,-5.372645,-5.372645
210,-5.279188,-5.279188,-5.279188,-5.279188
215,-5.18713,-5.18713,-5.18713,-5.18713
220,-5.096423,-5.096423,-5.096423,-5.096423
225,-5.007016,-5.007016,-5.007016,-5.007016
230,-4.918862,-4.918862,-4.918862,-4.918862
235,-4.831911,-4.831911,-4.831911,-4.831911
240,-4.746115,-4.746115,-4.746115,-4.746115
245,-4.661426,-4.661426,-4.661426,-4.661426
250,-4.577793,-4.577793,-4.577793,-4.577793
255,-4.495168,-4.495168,-4.495168,-4.495168
260,-4.413498,-4.413498,-4.413498,-4.413498
265,-4.33273,-4.33273,-4.33273,-4.33273
270,-4.252807,-4.252807,-4.252807,-4.252807
275,-4.173672,-4.173672,-4.173672,-4.173672
280,-4.095261,-4.095261,-4.095261,-4.095261
285,-4.017506,-4.017506,-4.017506,-4.017506
290,-3.940332,-3.940332,-3.940332,-3.940332
295,-3.863658,-3.863658,-3.863658,-3.863658
300,-3.787389,-3.787389,-3.787389,-3.787389
