T,loN_lopH,loN_hipH,hiN_lopH,hiN_hipH,neutralpH_loN,neutralpH_hiN
0,-24.257396,-19.47631,-20.273158,-15.492072,-20.695549,-16.711311
5,-23.910883,-19.129797,-19.926645,-15.145559,-20.433196,-16.448958
10,-23.572888,-18.791803,-19.58865,-14.807564,-20.174572,-16.190333
15,-23.243952,-18.462866,-19.259714,-14.478628,-19.920542,-15.936304
20,-22.923846,-18.142761,-18.939608,-14.158522,-19.671286,-15.687047
25,-22.612309,-17.831223,-18.62807,-13.846985,-19.426877,-15.442639
30,-22.309056,-17.527971,-18.324818,-13.543732,-19.187319,-15.20308
35,-22.0138,-17.232714,-18.029561,-13.248476,-18.952567,-14.968329
40,-21.726247,-16.945162,-17.742009,-12.960923,-18.722546,-14.738308
45,-21.446112,-16.665026,-17.461874,-12.680788,-18.497157,-14.512919
50,-21.173112,-16.392026,-17.188874,-12.407788,-18.276287,-14.292049
55,-20.906974,-16.125889,-16.922736,-12.14165,-18.059815,-14.075576
60,-20.647435,-15.866349,-16.663197,-11.882111,-17.847611,-13.863373
65,-20.39424,-15.613154,-16.410002,-11.628916,-17.639546,-13.655308
70,-20.147145,-15.366059,-16.162906,-11.381821,-17.435488,-13.451249
75,-19.905915,-15.124829,-15.921677,-11.140591,-17.235304,-13.251066
80,-19.670326,-14.88924,-15.686088,-10.905002,-17.038866,-13.054628
85,-19.440164,-14.659078,-15.455925,-10.67484,-16.846045,-12.861807
90,-19.215222,-14.434136,-15.230984,-10.449898,-16.656715,-12.672477
95,-18.995305,-14.214219,-15.011067,-10.229981,-16.470753,-12.486515
100,-18.780229,-13.999143,-14.795991,-10.014905,-16.288047,-12.303809
105,-18.569865,-13.788779,-14.585626,-9.804541,-16.108552,-12.124314
110,-18.363994,-13.582908,-14.379756,-9.59867,-15.932088,-11.94785
115,-18.162453,-13.381367,-14.178215,-9.397129,-15.758547,-11.774309
120,-17.965085,-13.183999,-13.980847,-9.199761,-15.587821,-11.603583
125,-17.771741,-12.990656,-13.787503,-9.006417,-15.419811,-11.435573
130,-17.582278,-12.801192,-13.59804,-8.816954,-15.254416,-11.270178
135,-17.396557,-12.615471,-13.412319,-8.631233,-15.091539,-11.107301
140,-17.214447,-12.433362,-13.230209,-8.449123,-14.931088,-10.946849
145,-17.035823,-12.254737,-13.051584,-8.270499,-14.772971,-10.788733
150,-16.860561,-12.079476,-12.876323,-8.095237,-14.617101,-10.632862
155,-16.688547,-11.907461,-12.704309,-7.923223,-14.463392,-10.479154
160,-16.519668,-11.738582,-12.53543,-7.754344,-14.311763,-10.327525
165,-16.353815,-11.57273,-12.369577,-7.588492,-14.162131,-10.177893
170,-16.190886,-11.4098,-12.206648,-7.425562,-14.014419,-10.030181
175,-16.03078,-11.249694,-12.046541,-7.265456,-13.86855,-9.884312
180,-15.873398,-11.092312,-11.88916,-7.108074,-13.724445,-9.740207
185,-15.718648,-10.937562,-11.73441,-6.953324,-13.58203,-9.597792
190,-15.566437,-10.785351,-11.582199,-6.801113,-13.441227,-9.456989
195,-15.416676,-10.63559,-11.432438,-6.651352,-13.301959,-9.317721
200,-15.269278,-10.488193,-11.28504,-6.503954,-13.16415,-9.179911
205,-15.124158,-10.343073,-11.13992,-6.358834,-13.02772,-9.043482
210,-14.981233,-10.200147,-10.996995,-6.215909,-12.892591,-8.908353
215,-14.84042,-10.059334,-10.856181,-6.075096,-12.758682,-8.774444
220,-14.701638,-9.920552,-10.7174,-5.936314,-12.625911,-8.641673
225,-14.564807,-9.783721,-10.580569,-5.799483,-12.494192,-8.509954
230,-14.429848,-9.648763,-10.44561,-5.664524,-12.363442,-8.379203
235,-14.296682,-9.515597,-10.312444,-5.531358,-12.23357,-8.249332
240,-14.16523,-9.384144,-10.180992,-5.399906,-12.104488,-8.12025
245,-14.035413,-9.254327,-10.051174,-5.270089,-11.976101,-7.991863
250,-13.90715,-9.126064,-9.922911,-5.141826,-11.848314,-7.864076
255,-13.78036,-8.999274,-9.796122,-5.015036,-11.721027,-7.736789
260,-13.65496,-8.873875,-9.670722,-4.889636,-11.594136,-7.609897
265,-13.530867,-8.749781,-9.546628,-4.765543,-11.467535,-7.483297
270,-13.40799,-8.626904,-9.423752,-4.642666,-11.341111,-7.356873
275,-13.286239,-8.505153,-9.302001,-4.520915,-11.214746,-7.230508
280,-13.165516,-8.38443,-9.181277,-4.400192,-11.088313,-7.104074
285,-13.045716,-8.26463,-9.061478,-4.280392,-10.961674,-6.977436
290,-12.926727,-8.145641,-8.942489,-4.161403,-10.83468,-6.850442
295,-12.808425,-8.027339,-8.824187,-4.043101,-10.707163,-6.722925
300,-12.690669,-7.909583,-8.706431,-3.925345,-10.578928,-6.59469
