T,loN_lopH,loN_hipH,hiN_lopH,hiN_hipH,neutralpH_loN,neutralpH_hiN
0,-14.435953,-13.27852,-14.435953,-13.27852,-13.57368,-13.57368
5,-14.16399,-13.006557,-14.16399,-13.006557,-13.322091,-13.322091
10,-13.899225,-12.741792,-13.899225,-12.741792,-13.076541,-13.076541
15,-13.642057,-12.484623,-13.642057,-12.484623,-12.837506,-12.837506
20,-13.392284,-12.23485,-13.392284,-12.23485,-12.604885,-12.604885
25,-13.149678,-11.992245,-13.149678,-11.992245,-12.37853,-12.37853
30,-12.913998,-11.756565,-12.913998,-11.756565,-12.15827,-12.15827
35,-12.684998,-11.527565,-12.684998,-11.527565,-11.943917,-11.943917
40,-12.462431,-11.304997,-12.462431,-11.304997,-11.735277,-11.735277
45,-12.246053,-11.08862,-12.246053,-11.08862,-11.532153,-11.532153
50,-12.035628,-10.878195,-12.035628,-10.878195,-11.334348,-11.334348
55,-11.830927,-10.673494,-11.830927,-10.673494,-11.14167,-11.14167
60,-11.631728,-10.474295,-11.631728,-10.474295,-10.95393,-10.95393
65,-11.437819,-10.280386,-11.437819,-10.280386,-10.770947,-10.770947
70,-11.248996,-10.091563,-11.248996,-10.091563,-10.592542,-10.592542
75,-11.065065,-9.907632,-11.065065,-9.907632,-10.418548,-10.418548
80,-10.885839,-9.728405,-10.885839,-9.728405,-10.248799,-10.248799
85,-10.71114,-9.553707,-10.71114,-9.553707,-10.083141,-10.083141
90,-10.540799,-9.383366,-10.540799,-9.383366,-9.921421,-9.921421
95,-10.374654,-9.217221,-10.374654,-9.217221,-9.763496,-9.763496
100,-10.212555,-9.055122,-10.212555,-9.055122,-9.609233,-9.609233
105,-10.054394,-8.89696,-10.054394,-8.89696,-9.458545,-9.458545
110,-9.899993,-8.74256,-9.899993,-8.74256,-9.311263,-9.311263
115,-9.74922,-8.591786,-9.74922,-8.591786,-9.167268,-9.167268
120,-9.601947,-8.444514,-9.601947,-8.444514,-9.026445,-9.026445
125,-9.458053,-8.30062,-9.458053,-8.30062,-8.888684,-8.888684
130,-9.317423,-8.159989,-9.317423,-8.159989,-8.75388,-8.75388
135,-9.179945,-8.022512,-9.179945,-8.022512,-8.621933,-8.621933
140,-9.045515,-7.888082,-9.045515,-7.888082,-8.492746,-8.492746
145,-8.914033,-7.756599,-8.914033,-7.756599,-8.366228,-8.366228
150,-8.7854,-7.627967,-8.7854,-7.627967,-8.24229,-8.24229
155,-8.659527,-7.502093,-8.659527,-7.502093,-8.120848,-8.120848
160,-8.536324,-7.378891,-8.536324,-7.378891,-8.001822,-8.001822
165,-8.415707,-7.258274,-8.415707,-7.258274,-7.885131,-7.885131
170,-8.297596,-7.140163,-8.297596,-7.140163,-7.770704,-7.770704
175,-8.181914,-7.024481,-8.181914,-7.024481,-7.658469,-7.658469
180,-8.068587,-6.911154,-8.068587,-6.911154,-7.548356,-7.548356
185,-7.957544,-6.800111,-7.957544,-6.800111,-7.440299,-7.440299
190,-7.848718,-6.691285,-7.848718,-6.691285,-7.334235,-7.334235
195,-7.742044,-6.584611,-7.742044,-6.584611,-7.230101,-7.230101
200,-7.63746,-6.480027,-7.63746,-6.480027,-7.127838,-7.127838
205,-7.534908,-6.377475,-7.534908,-6.377475,-7.02739,-7.02739
210,-7.43433,-6.276897,-7.43433,-6.276897,-6.928699,-6.928699
215,-7.335672,-6.178239,-7.335672,-6.178239,-6.831713,-6.831713
220,-7.238882,-6.081449,-7.238882,-6.081449,-6.736378,-6.736378
225,-7.14391,-5.986477,-7.14391,-5.986477,-6.642644,-6.642644
230,-7.050709,-5.893276,-7.050709,-5.893276,-6.550461,-6.550461
235,-6.959231,-5.801798,-6.959231,-5.801798,-6.459781,-6.459781
240,-6.869434,-5.712001,-6.869434,-5.712001,-6.370558,-6.370558
245,-6.781274,-5.62384,-6.781274,-5.62384,-6.282744,-6.282744
250,-6.694709,-5.537276,-6.694709,-5.537276,-6.196294,-6.196294
255,-6.6097,-5.452267,-6.6097,-5.452267,-6.111165,-6.111165
260,-6.526209,-5.368775,-6.526209,-5.368775,-6.027312,-6.027312
265,-6.444196,-5.286763,-6.444196,-5.286763,-5.944693,-5.944693
270,-6.363626,-5.206193,-6.363626,-5.206193,-5.863264,-5.863264
275,-6.284462,-5.127028,-6.284462,-5.127028,-5.782983,-5.782983
280,-6.206667,-5.049234,-6.206667,-5.049234,-5.703806,-5.703806
285,-6.130207,-4.972774,-6.130207,-4.972774,-5.62569,-5.62569
290,-6.055046,-4.897613,-6.055046,-4.897613,-5.548591,-5.548591
295,-5.981149,-4.823716,-5.981149,-4.823716,-5.472463,-5.472463
300,-5.90848,-4.751047,-5.90848,-4.751047,-5.397257,-5.397257
