"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","pI.down","pI.up","pI.diff","GRAVY.down","GRAVY.up","GRAVY.diff","nAA.down","nAA.up","nAA.diff"
KSA+02_NaCl,"_Synechocystis_ sp. PCC 6803 in 0.5 M NaCl vs control",,36,62,-0.1509,-0.1432,0.0076,-1.0707,-1.0467,0.024,5.025,5.305,0.28,-0.2089,-0.147,0.0619,198.5,231.5,33
KSA+02_sorbitol,"_Synechocystis_ sp. PCC 6803 in 0.5 M sorbitol vs control",,32,45,-0.1509,-0.1534,-0.0026,-1.0491,-1.0607,-0.0117,5.06,5.31,0.25,-0.1951,-0.2106,-0.0156,200.5,199,-1.5
WJ02,"_Escherichia coli_ in 0.4 M NaCl vs control",,102,41,-0.1478,-0.1389,0.0089,-1.0217,-0.9872,0.0345,5.93,6.01,0.08,-0.2062,-0.2144,-0.0082,279.5,248,-31.5
HZP+05_HSS,"_Yersinia pestis_ in 0.5 M NaCl vs control",,13,103,-0.152,-0.1582,-0.0062,-1.0125,-1.034,-0.0215,6.55,6.17,-0.38,-0.1953,-0.2065,-0.0112,190,245,55
HZP+05_HOS,"_Yersinia pestis_ in 0.5 M sorbitol vs control",,40,103,-0.1573,-0.1465,0.0108,-1.0175,-1.0729,-0.0554,6.42,6.06,-0.36,-0.1532,-0.218,-0.0649,205,386,181
LGW+05,"_Shewanella oneidensis_ MR-1 in 0.5 vs 0.1 M NaCl",,563,541,-0.1576,-0.156,0.0016,-1.0509,-1.0344,0.0166,6.06,6,-0.06,-0.1463,-0.1396,0.0066,312,293,-19
SLA+05,"_Synechocystis_ sp. PCC 6803 in 0.5 M sorbitol vs control",,27,53,-0.1543,-0.1357,0.0186,-1.0639,-1.024,0.0399,5.82,5.2,-0.62,-0.1355,-0.2091,-0.0736,274,377,103
GCP08_30,"_Escherichia coli_ in 0.5 M vs 0 M NaCl at 30 deg C",,307,40,-0.1497,-0.1387,0.011,-1.0659,-1.0612,0.0046,6.73,6.38,-0.35,-0.1651,-0.2292,-0.0641,232,400,168
GCP08_43,"_Escherichia coli_ in 0.5 M vs 0 M NaCl at 43 deg C",,89,144,-0.1485,-0.1474,0.0011,-1.0729,-1.0524,0.0205,6.32,6.195,-0.125,-0.1404,-0.1382,0.0023,235,330.5,95.5
SBB+09_NaCl,"_Escherichia coli_ in ~2.7 Os/kg NaCl vs control",,35,26,-0.1451,-0.1795,-0.0344,-1.0456,-1.0246,0.0209,6.41,5.935,-0.475,-0.2545,-0.1043,0.1502,266,151,-115
SBB+09_Sucrose,"_Escherichia coli_ in ~2.7 Os/kg sucrose vs control",,28,37,-0.1376,-0.1691,-0.0315,-1.0631,-1.0676,-0.0045,6.02,6.28,0.26,-0.2651,-0.1139,0.1512,258.5,330,71.5
HMO+10_transcriptomics,"_Bacillus subtilis_ in 6% w/v NaCl vs control",,417,459,-0.1712,-0.1733,-0.0021,-1.0735,-1.0669,0.0066,5.93,6.23,0.3,-0.2653,-0.273,-0.0077,276,243,-33
BBWB12_37_2.5,"_Listeria monocytogenes_ strain H7858 in 6% NaCl at 2.5% lag-phase duration",,18,55,-0.1956,-0.1793,0.0163,-1.1279,-1.0597,0.0682,5.83,5.32,-0.51,-0.155,-0.2288,-0.0738,290.5,272,-18.5
BBWB12_37_5,"_Listeria monocytogenes_ strain H7858 in 6% NaCl at 5% lag-phase duration",,85,134,-0.1857,-0.179,0.0068,-1.0671,-1.0754,-0.0083,5.89,5.245,-0.645,-0.2142,-0.2239,-0.0097,291,221.5,-69.5
BBWB12_37_10,"_Listeria monocytogenes_ strain H7858 in 6% NaCl at 10% lag-phase duration",,136,156,-0.1864,-0.1798,0.0066,-1.0474,-1.0643,-0.0169,5.915,5.265,-0.65,-0.2234,-0.1994,0.024,290.5,225.5,-65
BBWB12_37_20,"_Listeria monocytogenes_ strain H7858 in 6% NaCl at 20% lag-phase duration",,58,44,-0.1822,-0.1804,0.0019,-1.111,-1.0611,0.0499,5.855,5.44,-0.415,-0.26,-0.1313,0.1288,285,324,39
LB12_NaCl,"_Synechococcus_ sp. strain PCC 7002 in 1.5 M NaCl vs control",,311,646,-0.1636,-0.158,0.0056,-1.0957,-1.0774,0.0184,6.19,5.58,-0.61,-0.1938,-0.1524,0.0414,253,255.5,2.5
QHT+13_Gene.24.h,"_Synechocystis_ sp. PCC 6803 Gene in 4% w/v vs 0% added NaCl for 24 h",,50,48,-0.1736,-0.1606,0.013,-1.0741,-1.024,0.0501,5.295,6.405,1.11,-0.1913,-0.1525,0.0388,172.5,246,73.5
QHT+13_Gene.48.h,"_Synechocystis_ sp. PCC 6803 Gene in 4% w/v vs 0% added NaCl for 48 h",,50,50,-0.1561,-0.1635,-0.0074,-1.0594,-1.1,-0.0406,5.65,6.41,0.76,-0.1786,-0.1514,0.0272,189,176.5,-12.5
QHT+13_Gene.72.h,"_Synechocystis_ sp. PCC 6803 Gene in 4% w/v vs 0% added NaCl for 72 h",,50,49,-0.1503,-0.1706,-0.0203,-1.0594,-1.0789,-0.0195,5.63,7.15,1.52,-0.2679,-0.1118,0.1561,176,244,68
WGB+13_N,"_Escherichia coli_ in 0.3 M NaCl vs control",,525,524,-0.1525,-0.1405,0.012,-1.053,-1.0867,-0.0336,6.59,7.25,0.66,-0.1632,-0.1085,0.0547,253,218.5,-34.5
WGB+13_U,"_Escherichia coli_ in 0.6 M urea vs control",,337,370,-0.1506,-0.1518,-0.0012,-1.0653,-1.0502,0.0151,6.31,7.835,1.525,-0.1207,-0.1564,-0.0357,272,197.5,-74.5
ADW+14_Gene,"_Bifidobacterium longum_ BBMN68 Gene with vs without 0.75 g/l ox bile",,160,76,-0.1241,-0.1124,0.0117,-1.0375,-1.0816,-0.0441,5.775,5.47,-0.305,-0.0962,-0.2656,-0.1694,323,276.5,-46.5
KKG+14_Gene_30min,"_Escherichia coli_ Gene in NaCl (0.967 aw) vs control for 30 min",,15,164,-0.1452,-0.1426,0.0026,-1.0814,-1.059,0.0224,7.11,6.465,-0.645,-0.3796,-0.2578,0.1219,193,200,7
KKG+14_Gene_80min,"_Escherichia coli_ Gene in NaCl (0.967 aw) vs control for 80 min",,409,727,-0.1501,-0.1392,0.0109,-1.0508,-1.0586,-0.0079,6.11,6.3,0.19,-0.16,-0.2137,-0.0537,283,248,-35
KKG+14_Gene_310min,"_Escherichia coli_ Gene in NaCl (0.967 aw) vs control for 310 min",,319,571,-0.151,-0.1438,0.0071,-1.0498,-1.0688,-0.019,6.28,6.2,-0.08,-0.1382,-0.2093,-0.0711,290,252,-38
KSM+14_NaCl,"_Bacillus subtilis_ in 1.2 M NaCl vs control",,687,642,-0.1648,-0.1708,-0.006,-1.0769,-1.0895,-0.0125,6.1,6.215,0.115,-0.2869,-0.2238,0.0632,253,257.5,4.5
KSM+14_GB,"_Bacillus subtilis_ with vs without glycine betaine in 1.2 M NaCl",,311,559,-0.1697,-0.1612,0.0085,-1.085,-1.0644,0.0207,6.19,5.98,-0.21,-0.2511,-0.2667,-0.0156,255,259,4
MGM+14_3.5,"_Escherichia coli_ in 3.5 vs 2% NaCl (with glycine betaine)",,169,64,-0.153,-0.1462,0.0068,-1.0249,-1.0226,0.0023,6.22,6.47,0.25,-0.1598,-0.165,-0.0053,273,284,11
MGM+14_4.5,"_Escherichia coli_ in 4.5 vs 2% NaCl (with glycine betaine)",,740,579,-0.1427,-0.1521,-0.0094,-1.0154,-1.0678,-0.0524,5.92,6.52,0.6,-0.2347,-0.0676,0.1671,257.5,313,55.5
MGM+14_5,"_Escherichia coli_ in 5 vs 2% NaCl (with glycine betaine)",,43,82,-0.1399,-0.1318,0.0082,-0.9976,-1.0184,-0.0208,5.56,5.905,0.345,-0.1302,-0.2296,-0.0993,209,245.5,36.5
MGM+14_5.5,"_Escherichia coli_ in 5.5 vs 2% NaCl (with glycine betaine)",,79,84,-0.1476,-0.1325,0.0151,-1.0151,-1.0272,-0.0121,6.11,6.415,0.305,-0.1869,-0.2029,-0.0161,251,233,-18
SLM+14_5,"_Enterococcus faecalis_ in 6.5% NaCl vs control at 5 min",,113,69,-0.1765,-0.1828,-0.0063,-1.0952,-1.0911,0.0041,5.39,6.13,0.74,-0.2434,-0.1641,0.0793,216,298,82
SLM+14_30,"_Enterococcus faecalis_ in 6.5% NaCl vs control at 30 min",,125,175,-0.1799,-0.1839,-0.004,-1.0332,-1.0651,-0.0319,5.47,5.95,0.48,-0.162,-0.1641,-0.0021,288,249,-39
SLM+14_60,"_Enterococcus faecalis_ in 6.5% NaCl vs control at 60 min",,170,172,-0.175,-0.1721,0.0029,-0.9972,-1.0808,-0.0836,6.83,5.31,-1.52,-0.279,-0.2323,0.0468,227.5,294.5,67
FRH+15_NaCl_1h,"_Salmonella enterica_ in NaCl vs control for 1h h",,113,60,-0.1662,-0.1504,0.0158,-1.125,-1.0135,0.1115,8.06,6.21,-1.85,-0.182,-0.1272,0.0547,244,316.5,72.5
FRH+15_NaCl_6h,"_Salmonella enterica_ in NaCl vs control for 6h h",,255,149,-0.1547,-0.1474,0.0073,-1.0699,-1.0319,0.038,6.47,6.4,-0.07,-0.1631,-0.1739,-0.0108,254,316,62
FRH+15_NaCl_24h,"_Salmonella enterica_ in NaCl vs control for 24h h",,163,60,-0.1524,-0.152,4e-04,-1.0106,-1.0722,-0.0616,6.06,6.415,0.355,-0.1183,-0.184,-0.0657,254,203,-51
FRH+15_KCl_1h,"_Salmonella enterica_ in KCl vs control for 1h h",,92,45,-0.1689,-0.1558,0.0131,-1.1061,-1.0415,0.0646,8.42,6.28,-2.14,-0.1455,-0.1268,0.0187,225,330,105
FRH+15_KCl_6h,"_Salmonella enterica_ in KCl vs control for 6h h",,349,264,-0.1543,-0.1515,0.0028,-1.0694,-1.0509,0.0185,6.89,6.795,-0.095,-0.1078,-0.1881,-0.0803,265,247.5,-17.5
FRH+15_KCl_24h,"_Salmonella enterica_ in KCl vs control for 24h h",,403,182,-0.1526,-0.1376,0.015,-1.045,-1.054,-0.009,6.2,6.075,-0.125,-0.1548,-0.2076,-0.0529,253,318.5,65.5
FRH+15_glycerol_1h,"_Salmonella enterica_ in glycerol vs control for 1h h",,300,333,-0.1451,-0.1527,-0.0077,-1.0443,-1.0301,0.0142,6.2,6.31,0.11,-0.1534,-0.1475,0.006,291,273,-18
FRH+15_glycerol_6h,"_Salmonella enterica_ in glycerol vs control for 6h h",,261,132,-0.1451,-0.1629,-0.0178,-1.0287,-1.0853,-0.0566,6.11,6.575,0.465,-0.159,-0.0993,0.0596,298,248.5,-49.5
FRH+15_glycerol_24h,"_Salmonella enterica_ in glycerol vs control for 24h h",,164,67,-0.1509,-0.1506,4e-04,-1.0251,-1.0742,-0.0491,5.93,6.2,0.27,-0.1055,-0.1404,-0.0349,272,231,-41
KLB+15_trans-NaCl,"_Caulobacter crescentus_ Gene in 40/50 mM NaCl vs M2 minimal salts medium",,209,142,-0.136,-0.1265,0.0095,-0.9713,-1.0137,-0.0425,6.21,6.68,0.47,-0.2303,-0.121,0.1093,249,240.5,-8.5
