"Marker Id",Name,Description,"Length (bp)","Single copy (%)","Ubiquity (%)",OLN,"Name (XHZ+06)",CAI,"Karlin Index","Unique Peptides","Redundant Peptides","Avg Intensity",MW
PFAM_PF00410.20,Ribosomal_S8,"Ribosomal protein S8",126,90.53,91.31,MMP1414,"rpsH SSU ribosomal protein S8P",0.753,1.668,7,204,19817189,14323
PFAM_PF00466.21,Ribosomal_L10,"Ribosomal protein L10",100,90.02,90.77,MMP0259,"LSU ribosomal protein L10E",0.756,1.663,20,189,20048163,35805
PFAM_PF00687.22,Ribosomal_L1,"Ribosomal protein L1p/L10e family",204,90.27,91.48,MMP0260,"rplA LSU ribosomal protein L1P",0.595,1.307,14,636,12359278,23131
PFAM_PF00827.18,Ribosomal_L15e,"Ribosomal L15",189,88.52,90.8,MMP0298,"rpl15 LSU ribosomal protein L15E ",0.789,1.81,5,111,29021509,22220
PFAM_PF00900.21,Ribosomal_S4e,"Ribosomal family S4e",75,89.11,89.67,MMP1411,"SSU ribosomal protein S4E",0.754,1.207,14,337,20993414,27070
PFAM_PF01000.27,RNA_pol_A_bac,"RNA polymerase Rpb3/RpoA insert domain",112,91.69,92.43,MMP1322,"rpoD DNA-directed RNA polymerase, subunit D",0.681,0.738,8,73,15151411,20138
PFAM_PF01015.19,Ribosomal_S3Ae,"Ribosomal S3Ae family",195,89.1,90.51,MMP0669,"SSU ribosomal protein S3AE",0.768,1.807,11,142,9164474,25432
PFAM_PF01090.20,Ribosomal_S19e,"Ribosomal protein S19e",137,90.32,91.19,MMP0156,"Ribosomal protein S19E (S16A)",0.762,1.581,7,150,31775666,15601
PFAM_PF01200.19,Ribosomal_S28e,"Ribosomal protein S28e",64,91.34,91.94,MMP0640,"SSU ribosomal protein S28E",0.789,1.79,2,58,47600548,8457
PFAM_PF01280.21,Ribosomal_L19e,"Ribosomal protein L19e",144,90.25,91.4,MMP1417,"LSU ribosomal protein L19E",0.693,1.221,5,178,18102704,17301
PFAM_PF04919.13,DUF655,"Protein of unknown function (DUF655)",181,91.6,92.89,MMP0091,"conserved hypothetical archaeal protein",0.606,0.566,8,91,12001652,23123
PFAM_PF07541.13,EIF_2_alpha,"Eukaryotic translation initiation factor 2 alpha subunit",114,89.3,90.32,MMP1707,"aIF2 alpha translation initiation factor aIF-2, subunit alpha",0.669,0.746,14,103,8984067,29894
TIGR_TIGR00037,eIF_5A,"translation elongation factor IF5A",130,89.86,90.56,MMP0952,"aIF-5A translation initiation factor IF-5a",0.839,1.782,6,188,15432168,14323
TIGR_TIGR00064,ftsY,"signal recognition particle-docking protein FtsY",279,88,88.55,MMP0683,"ftsY signal recognition particle receptor Sralpha",0.67,0.411,11,39,4860923,42007
TIGR_TIGR00111,pelota,"mRNA surveillance protein pelota",351,79.57,80.41,MMP0085,"conserved hypothetical protein",0.607,0.364,3,10,2328448,39474
TIGR_TIGR00134,gatE_arch,"glutamyl-tRNA(Gln) amidotransferase, subunit E",622,88.79,91.09,MMP1265,"Glutamyl-tRNA(Gln) amidotransferase subunit E",0.68,0.535,24,274,5868066,71171
TIGR_TIGR00279,uL16_euk_arch,"ribosomal protein uL16",172,89.5,90.27,MMP1289,"Ribosomal protein L10E",0.781,1.59,7,230,11348182,19371
TIGR_TIGR00291,RNA_SBDS,"rRNA metabolism protein, SBDS family",231,91.41,92.15,MMP0250,"conserved hypothetical protein",0.569,0.649,9,90,3777936,26500
TIGR_TIGR00323,eIF-6,"putative translation initiation factor eIF-6",215,77.24,77.59,MMP0061,"aIF6 Translation initiation factor IF6",0.629,0.815,4,12,658500,24595
TIGR_TIGR00335,primase_sml,"putative DNA primase, eukaryotic-type, small subunit",324,72.14,73.33,MMP0071,"DNA primase, small subunit",0.606,0.367,2,2,3178855,42294
TIGR_TIGR00373,TIGR00373,"transcription factor E",162,66.77,69.13,MMP0036,"tfe Transcription factor E",0.603,0.462,3,5,36575269,22048
