"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","pI.down","pI.up","pI.diff","GRAVY.down","GRAVY.up","GRAVY.diff","nAA.down","nAA.up","nAA.diff"
KSA+02_NaCl,"_Synechocystis_ sp. PCC 6803 in 0.5 M NaCl vs control",,36,62,-0.1509,-0.1432,0.0076,-0.7536,-0.7392,0.0144,5.025,5.305,0.28,-0.2089,-0.147,0.0619,198.5,231.5,33
KSA+02_sorbitol,"_Synechocystis_ sp. PCC 6803 in 0.5 M sorbitol vs control",,32,45,-0.1509,-0.1534,-0.0026,-0.7388,-0.7457,-0.0069,5.06,5.31,0.25,-0.1951,-0.2106,-0.0156,200.5,199,-1.5
WJ02,"_Escherichia coli_ in 0.4 M NaCl vs control",,102,41,-0.1478,-0.1389,0.0089,-0.7214,-0.7241,-0.0027,5.93,6.01,0.08,-0.2062,-0.2144,-0.0082,279.5,248,-31.5
HZP+05_HSS,"_Yersinia pestis_ in 0.5 M NaCl vs control",,13,103,-0.152,-0.1582,-0.0062,-0.6971,-0.7261,-0.029,6.55,6.17,-0.38,-0.1953,-0.2065,-0.0112,190,245,55
HZP+05_HOS,"_Yersinia pestis_ in 0.5 M sorbitol vs control",,40,103,-0.1573,-0.1465,0.0108,-0.7097,-0.7567,-0.047,6.42,6.06,-0.36,-0.1532,-0.218,-0.0649,205,386,181
LGW+05,"_Shewanella oneidensis_ MR-1 in 0.5 vs 0.1 M NaCl",,563,541,-0.1576,-0.156,0.0016,-0.7345,-0.7193,0.0152,6.06,6,-0.06,-0.1463,-0.1396,0.0066,312,293,-19
SLA+05,"_Synechocystis_ sp. PCC 6803 in 0.5 M sorbitol vs control",,27,53,-0.1543,-0.1357,0.0186,-0.7372,-0.7086,0.0286,5.82,5.2,-0.62,-0.1355,-0.2091,-0.0736,274,377,103
GCP08_30,"_Escherichia coli_ in 0.5 M vs 0 M NaCl at 30 deg C",,307,40,-0.1497,-0.1387,0.011,-0.753,-0.75,0.0029,6.73,6.38,-0.35,-0.1651,-0.2292,-0.0641,232,400,168
GCP08_43,"_Escherichia coli_ in 0.5 M vs 0 M NaCl at 43 deg C",,89,144,-0.1485,-0.1474,0.0011,-0.7352,-0.7451,-0.0099,6.32,6.195,-0.125,-0.1404,-0.1382,0.0023,235,330.5,95.5
SBB+09_NaCl,"_Escherichia coli_ in ~2.7 Os/kg NaCl vs control",,35,26,-0.1451,-0.1795,-0.0344,-0.7446,-0.7176,0.0271,6.41,5.935,-0.475,-0.2545,-0.1043,0.1502,266,151,-115
